Name,City,State,ROR,Major,Minor/Concentration,Program Link,Faculty Link,Schedule Link
Albion College,Albion,MI,05nnk3913,1.0,1.0,https://www.albion.edu/academics/programs/computer-science-major-minor/,https://www.albion.edu/departments/mathematics-and-computer-science/faculty-and-staff/,https://adminpagesprod02.albion.edu:7443/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Albright College,Reading,PA,029eaeb35,1.0,0.0,https://www.albright.edu/academics/undergraduate-programs/computer-science,https://www.albright.edu/academics/undergraduate-programs/computer-science#fs-panel-10027,https://selfservice.albright.edu/SELFSERV/Search/Section?&eventId=CSC
Allegheny College,Meadville,PA,02jgzjj54,1.0,1.0,https://allegheny.edu/academics/programs/computer-science/,https://allegheny.edu/about/campus-department-resources/faculty-and-staff-directory/associated-program/computer-science/,https://selfservice.allegheny.edu/Student/Courses/Search?subjects=CMPSC
Amherst College,Amherst,MA,028vqfs63,1.0,0.0,https://www.amherst.edu/academiclife/departments/computer_science,https://www.amherst.edu/academiclife/departments/computer_science/faculty,https://www.amherst.edu/academiclife/departments/computer_science/courses/2526S
Augustana College,Rock Island,IL,04bqrfs31,1.0,1.0,https://www.augustana.edu/academics/areas-of-study/computer-science,https://www.augustana.edu/academics/faculty-directory?search=&field_specializations_target_id=All&field_areas_of_study_target_id=231,https://selfservice.augustana.edu/Student/Courses/Search?subjects=CSC
Austin College,Sherman,TX,052k56z27,1.0,1.0,https://www.austincollege.edu/academics/majors-and-minors/computer-science/,https://www.austincollege.edu/academics/majors-and-minors/computer-science/,https://hopper.austincollege.edu/hlive/webhopper?CONSTITUENCY=WBAP&type=P&pid=ST-XWEBS006
Ave Maria University,Ave Maria,FL,00xwqff48,1.0,1.0,https://www.avemaria.edu/degree-programs/computer-science,https://www.avemaria.edu/degree-programs/computer-science,https://selfservice.avemaria.edu/Search/Section?&keywords=computer%20science
Bard College,Annandale on Hudson,NY,04yrgt058,1.0,0.0,https://cs.bard.edu/,https://cs.bard.edu/faculty/,https://inside.bard.edu/academic/courses/current/computer.html
Barnard College,New York,NY,04rt94r53,1.0,1.0,https://cs.barnard.edu/,https://cs.barnard.edu/faculty-and-staff-3,https://cs.barnard.edu/course-catalogue
Beloit College,Beloi,WI,009yr1d55,1.0,1.0,https://www.beloit.edu/academics/computer-science/,https://www.beloit.edu/academics/computer-science/faculty-staff/,https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Bennington College,Bennington,VT,01pq38j30,1.0,0.0,https://www.bennington.edu/academics/areas-of-study-curriculum/science-mathematics/computer-science,https://www.bennington.edu/academics/areas-of-study-curriculum/science-mathematics/computer-science,https://www.bennington.edu/curriculum
Berea College,Berea,KY,05kmcre68,1.0,1.0,https://www.berea.edu/academics/departments-programs/computer-science,https://www.berea.edu/academics/departments-programs/computer-science/faculty-staff,https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Bethany College (WV),Bethany,WV,04a6tv155,1.0,1.0,https://www.bethanywv.edu/academics/areas-of-study/computer-science/,https://www.bethanywv.edu/academics/areas-of-study/computer-science/,
Bethany Lutheran College,Mankato,MN,03z2kds18,1.0,1.0,https://blc.edu/academics/programs/computer-science-major/,https://blc.edu/academics/programs/computer-science-major/#faculty,https://my.blc.edu/ICS/Portal_Homepage.jnz?portlet=Course_Info_and_Syllabi
Bowdoin College,Brunswick,ME,03gh96r95,1.0,1.0,https://www.bowdoin.edu/computer-science/,https://www.bowdoin.edu/computer-science/faculty-and-staff/index.html,https://www.bowdoin.edu/registrar/course-information/index.html
Bridgewater College,Bridgewater,VA,016119s16,1.0,1.0,https://www.bridgewater.edu/academics/divisions/mathematics-computer-science/computer-science-major/,https://www.bridgewater.edu/academics/faculty/#filter=.math-computer-science,https://www.bridgewater.edu/life-at-bridgewater/services-for-students/registrar/
Bryn Athyn College,Bryn Athyn,PA,01befse58,1.0,0.0,https://brynathyn.edu/academics/undergraduate/department/computer-science-id.html,https://brynathyn.edu/faculty/index.html,https://brynathyn.jenzabarcloud.com/GENSRsC.cfm
Bryn Mawr College,Bryn Mawr,PA,05sjwtp51,1.0,1.0,https://www.brynmawr.edu/inside/academic-information/departments-programs/computer-science,https://www.brynmawr.edu/inside/academic-information/departments-programs/computer-science/faculty-staff,https://www.brynmawr.edu/inside/academic-information/registrar/tri-co-course-search/results?semester%5B0%5D=spring_2026&department%5B0%5D=Computer+Science&college%5B0%5D=bryn_mawr&page=1&per_page=50
Bucknell University,Lewisburg,PA,00fc1qt65,1.0,1.0,https://www.bucknell.edu/academics/college-engineering/majors-departments/computer-science,https://www.bucknell.edu/academics/college-engineering/majors-departments/computer-science/faculty-staff,https://pubapps.bucknell.edu/CourseInformation/#/lookup
Carleton College,Northfield,MN,03jep7677,1.0,0.0,https://www.carleton.edu/computer-science/,https://www.carleton.edu/computer-science/faculty/,https://www.carleton.edu/catalog/current/search/?subject=CS
Central College,Pella,IA,059y9v737,1.0,1.0,https://departments.central.edu/cs/,https://departments.central.edu/cs/department-directory/,https://web.central.edu/registrar/searchcourse/
Centre College,Danville,KY,00yvyvt82,1.0,1.0,https://www.centre.edu/academics/majors-minors-programs/computer-science,https://www.centre.edu/about/faculty-staff?type=96&offices=All&programs=1011,https://centrenet.centre.edu/ICS/icsfs/mm/fa23.pdf?target=32825768-f507-4b50-b04f-ff27355c0a96
Claflin University,Orangeburg,SC,052rx6v10,1.0,1.0,https://www.claflin.edu/academics-research/schools-departments/school-of-natural-sciences-and-mathematics/department-of-mathematics-computer-science/computer-science,https://www.claflin.edu/academics-research/schools-departments/school-of-natural-sciences-and-mathematics/meet-our-faculty,https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claremont McKenna College,Claremont,CA,04n1me355,1.0,1.0,https://www.cmc.edu/math/cs,https://www.cmc.edu/academic/faculty?field_department_target_id=746&combine=,https://hyperschedule.io/
Coe College,Cedar Rapids,IA,03chkg278,1.0,0.0,https://www.coe.edu/academics/majors-areas-study/mathematics-computer-science,https://www.coe.edu/academics/majors-areas-study/mathematics-computer-science/faculty,https://www.coe.edu/application/files/4616/7769/1498/Fall_23_course_schedule_accessible.3.1.23.pdf
Colby College,Waterville,ME,00fvyjk73,1.0,1.0,https://cs.colby.edu/,https://cs.colby.edu/faculty.php,https://cs.colby.edu/courses.php
Colgate University,Colgate,NY,05d23ve83,1.0,1.0,https://www.colgate.edu/academics/departments-programs/department-computer-science,https://www.colgate.edu/academics/departments-programs/department-computer-science/faculty-and-staff-computer-science,
College of St Benedict,St. Joseph,MN,00watgv28,1.0,1.0,https://www.csbsju.edu/computer-science,https://www.csbsju.edu/computer-science/faculty,https://registration.csbsju.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
College of the Holy Cross,Worcester,MA,05dwp6855,1.0,1.0,https://www.holycross.edu/academics/programs/mathematics-and-computer-science/about#CS,https://www.holycross.edu/academics/faculty/directory?keyword=&department=Mathematics+%26+Computer+Science&program=Computer+Science&type=Faculty,https://www.holycross.edu/about-holy-cross/offices-services/registrar/schedule-of-classes/
College of Wooster,Wooster,OH,029zqs055,1.0,1.0,https://wooster.edu/area/computer-science/,https://wooster.edu/area/computer-science/,https://inside.wooster.edu/registrar/courses/
Colorado College,Colorado Springs,CO,03tg3h819,1.0,0.0,https://www.coloradocollege.edu/academics/dept/mathcs/,https://www.coloradocollege.edu/academics/dept/mathcs/people/faculty.html,https://www.coloradocollege.edu/academics/curriculum/catalog/schedule.html
Concordia College,Moorhead,MN,00ppb2x90,1.0,1.0,https://www.concordiacollege.edu/academics/programs-of-study/offutt-school-of-business/computer-science/,https://www.concordiacollege.edu/academics/programs-of-study/offutt-school-of-business/computer-science/computer-science-faculty/,https://banner.cord.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Connecticut College,New London,CT,01hpqfm28,1.0,1.0,https://www.conncoll.edu/academics/majors-departments-programs/departments/computer-science/,https://www.conncoll.edu/academics/majors-departments-programs/departments/computer-science/faculty--staff/,https://reg-prod.ec.conncoll.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Cornell College,Mount Vernon,IA,01wvxpc32,1.0,1.0,https://www.cornellcollege.edu/computer-science/,https://www.cornellcollege.edu/computer-science/faculty.shtml,
Covenant College,Lookout Mountain,GA,03xg8pv73,1.0,1.0,https://covenant.edu/academics/cs/index.html,https://covenant.edu/academics/cs/faculty/,https://covenant.edu/academics/records/class-schedules.html
Davidson College,Davidson,NC,02f7k4z58,1.0,1.0,https://www.davidson.edu/academic-departments/mathematics-and-computer-science/computer-science-major-and-minor,https://www.davidson.edu/academic-departments/mathematics-and-computer-science/faculty-staff,https://course-schedule.davidson.edu/#/schedule?departments=CSC&limit=100&offset=0&term_code=202502
Denison University,Granville,OH,05pqx1c24,1.0,0.0,https://denison.edu/academics/computer-science,https://denison.edu/academics/computer-science/contacts,https://banner.denison.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
DePauw University,Greencastle,IN,02mks6v46,1.0,1.0,https://www.depauw.edu/academics/departments-programs/computer-science/,https://www.depauw.edu/academics/departments-programs/computer-science/faculty-staff/,https://my.depauw.edu/e/reg/soc-view/index.asp
Dickinson College,Carlisle,PA,02ydh7m84,1.0,1.0,https://www.dickinson.edu/homepage/57/computer_science,https://www.dickinson.edu/homepage/529/computer_science_department_faculty,https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
Dillard University,New Orleans,LA,00bz6qm80,1.0,1.0,https://www.dillard.edu/programs/computer-science/,https://dillard.catalog.acalog.com/content.php?catoid=7&navoid=186,https://mydu.dillard.edu/ICS/Guest/DU_Guest_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Drew University,Madison,NJ,04gds4h28,1.0,1.0,https://drew.edu/math-computer-science-department/,https://drew.edu/academics/mathematics/mathematics-computer-science-faculty/,https://selfservice.drew.edu/prod/bwckctlg.p_disp_dyn_ctlg
Earlham College,Richmond,IN,0566sj483,1.0,1.0,https://earlham.edu/academics/majors-minors-programs/computer-science/,https://earlham.edu/faculty-staff/?department=computer-science&full_name=,https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
East-West University,Chicago,IL,01597w461,1.0,0.0,https://www.eastwest.edu/academic-programs/computer-information-science,https://www.eastwest.edu/computer-information-science/faculty/,
Eckerd College,St. Petersburg,FL,04d4qrf43,1.0,1.0,https://www.eckerd.edu/computer-science/why-computer-science-at-eckerd/,https://www.eckerd.edu/computer-science/faculty/,https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/term/termSelection?mode=search
