college,academic_year,term,course_code,section,course_name,instructor,time,url
Amherst College,2021-22,F,COSC-105,01,Introduction to Computing and The Arts,Mihaela Malita,,https://www.amherst.edu/academiclife/departments/courses/2122F/COSC/COSC-105-2122F
Amherst College,2021-22,F,COSC-111,,Introduction to Computer Science I,Lee Spector,,https://www.amherst.edu/academiclife/departments/courses/2122F/COSC/COSC-111-2122F
Amherst College,2021-22,F,COSC-112,01,Introduction to Computer Science II,Mihaela Malita,,https://www.amherst.edu/academiclife/departments/courses/2122F/COSC/COSC-112-2122F
Amherst College,2021-22,F,COSC-163,01,Introduction to Computer Architecture,Scott F. Kaplan,,https://www.amherst.edu/academiclife/departments/courses/2122F/COSC/COSC-163-2122F
Amherst College,2021-22,F,COSC-171,01,Computer Systems,Scott F. Kaplan,,https://www.amherst.edu/academiclife/departments/courses/2122F/COSC/COSC-171-2122F
Amherst College,2021-22,F,COSC-211,,Data Structures,Will Rosenbaum,,https://www.amherst.edu/academiclife/departments/courses/2122F/COSC/COSC-211-2122F
Amherst College,2021-22,F,COSC-241,,Artificial Intelligence,Scott P. Alfeld,,https://www.amherst.edu/academiclife/departments/courses/2122F/COSC/COSC-241-2122F
Amherst College,2021-22,F,COSC-311,,Algorithms,John E. Rager,,https://www.amherst.edu/academiclife/departments/courses/2122F/COSC/COSC-311-2122F
Amherst College,2021-22,S,COSC-111,01,Intro Computer Science I,Lee Spector,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-111-2122S
Amherst College,2021-22,S,COSC-111,02,Intro Computer Science I,Mihaela Malita,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-111-2122S
Amherst College,2021-22,S,COSC-112,01,Intro Comp Science II,Scott P. Alfeld,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-112-01J-2122S
Amherst College,2021-22,S,COSC-112,01J,Intro Comp Science II,TBA,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-112-01J-2122S
Amherst College,2021-22,S,COSC-112,02,Intro Comp Science II,Mihaela Malita,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-112-01J-2122S
Amherst College,2021-22,S,COSC-171,01,Computer Systems,TBA,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-171-2122S
Amherst College,2021-22,S,COSC-211,01,Data Structures,Will Rosenbaum,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-211-2122S
Amherst College,2021-22,S,COSC-231,01,Programming Language Paradigms,TBA,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-231-2122S
Amherst College,2021-22,S,COSC-283,01,Networks,TBA,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-283-2122S
Amherst College,2021-22,S,COSC-373,01,Distributed Algorithms,Will Rosenbaum,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-373-2122S
Amherst College,2021-22,S,COSC-452,01,Seminar in Computer Science: Evolutionary Computation,Lee Spector,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-452-2122S
Amherst College,2021-22,S,COSC-454,01,Seminar in Computer Science: Adversarial Methods,Scott P. Alfeld,,https://www.amherst.edu/academiclife/departments/courses/2122S/COSC/COSC-454-2122S
Amherst College,2022-23,F,COSC-111,01,Introduction to Computer Science I,Matteo Riondato,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-111-2223F
Amherst College,2022-23,F,COSC-111,02,Introduction to Computer Science I,Mihaela Malita,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-111-2223F
Amherst College,2022-23,F,COSC-111,03,Introduction to Computer Science I,Lillian C. Pentecost,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-111-2223F
Amherst College,2022-23,F,COSC-111L,,Intro Computer Sci Lab,Lillian C. Pentecost,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-111L-2223F
Amherst College,2022-23,F,COSC-111L,,Intro Computer Sci Lab,Matteo Riondato,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-111L-2223F
Amherst College,2022-23,F,COSC-111L,,Intro Computer Sci Lab,Mihaela Malita,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-111L-2223F
Amherst College,2022-23,F,COSC-112,01,Introduction to Computer Science II,John E. Rager,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-112-2223F
Amherst College,2022-23,F,COSC-112,02,Introduction to Computer Science II,Mihaela Malita,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-112-2223F
Amherst College,2022-23,F,COSC-112L,,Intro CompSci II Lab,John E. Rager,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-112L-2223F
Amherst College,2022-23,F,COSC-112L,,Intro CompSci II Lab,Mihaela Malita,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-112L-2223F
Amherst College,2022-23,F,COSC-171,01,Computer Systems,Lillian C. Pentecost,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-171-2223F
Amherst College,2022-23,F,COSC-211,,Data Structures,Kristy Gardner,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-211-2223F
Amherst College,2022-23,F,COSC-241,01,Artificial Intelligence,Scott P. Alfeld,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-241-2223F
Amherst College,2022-23,F,COSC-247,01,Machine Learning,Lee Spector,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-247-2223F
Amherst College,2022-23,F,COSC-311,,Algorithms,Will Rosenbaum,,https://www.amherst.edu/academiclife/departments/courses/2223F/COSC/COSC-311-2223F
