college,academic_year,term,course_code,section,course_name,instructor,time,url
Augustana College,2025-26,S,CSC-121,01,Explorations in Computing,"Manasco, Bob",T/Th 8:30 AM - 10:10 AM,
Augustana College,2026-27,F,CSC-121,01,Explorations in Computing,"Staff,",T/Th 8:30 AM - 10:10 AM,
Augustana College,2026-27,F,CSC-121,02,Explorations in Computing,"Staff,",T/Th 10:25 AM - 12:05 PM,
Augustana College,2026-27,S,CSC-121,01,Explorations in Computing,"Staff,",T/Th 8:30 AM - 10:10 AM,
Augustana College,2026-27,W,CSC-150,01,Artful Computing,"Dickerson, Rob",M/T/W/Th/F 12:30 PM - 3:30 PM,
Augustana College,2025-26,S,CSC-201,01,Intro to Computer Science,"Dickerson, Rob",M/W/F 10:00 AM - 11:15 AM,
Augustana College,2025-26,S,CSC-201,02,Intro to Computer Science,"Dickerson, Rob",M/W/F 11:30 AM - 12:45 PM,
Augustana College,2025-26,S,CSC-201,03,Intro to Computer Science,"Manasco, Bob",M/W/F 8:30 AM - 9:45 AM,
Augustana College,2026-27,F,CSC-201,01,Intro to Computer Science,"Mourya, Nidhi",M/W/F 8:30 AM - 9:45 AM,
Augustana College,2026-27,F,CSC-201,02,Intro to Computer Science,"Mourya, Nidhi",M/W/F 10:00 AM - 11:15 AM,
Augustana College,2026-27,F,CSC-201,03,Intro to Computer Science,"Mourya, Nidhi",M/W/F 11:30 AM - 12:45 PM,
Augustana College,2026-27,F,CSC-201,04,Intro to Computer Science,"Staff,",M/W/F 2:15 PM - 3:30 PM,
Augustana College,2026-27,S,CSC-201,01,Intro to Computer Science,"Staff,",M/W/F 8:30 AM - 9:45 AM,
Augustana College,2026-27,S,CSC-201,02,Intro to Computer Science,"Dickerson, Rob",M/W/F 10:00 AM - 11:15 AM,
Augustana College,2026-27,S,CSC-201,03,Intro to Computer Science,"Mourya, Nidhi",M/W/F 2:15 PM - 3:30 PM,
Augustana College,2025-26,S,CSC-202,01,Data Structures,"Mueller, Diane",M/W/F 11:30 AM - 12:45 PM,
Augustana College,2025-26,S,CSC-202,02,Data Structures,"Mueller, Diane",M/W/F 2:15 PM - 3:30 PM,
Augustana College,2026-27,F,CSC-202,01,Data Structures,"Dickerson, Rob",M/W/F 2:15 PM - 3:30 PM,
Augustana College,2026-27,S,CSC-202,01,Data Structures,"Staff,",M/W/F 11:30 AM - 12:45 PM,
Augustana College,2026-27,S,CSC-202,02,Data Structures,"Staff,",M/W/F 2:15 PM - 3:30 PM,
Augustana College,2025-26,S,CSC-202L,01,Lab component of CSC-202,"Mueller, Diane",T 12:15 PM - 2:05 PM,
Augustana College,2025-26,S,CSC-202L,02,Lab component of CSC-202,"Mueller, Diane",T 2:15 PM - 4:05 PM,
Augustana College,2026-27,F,CSC-202L,01,Lab component of CSC-202,"Dickerson, Rob",T 8:20 AM - 10:10 AM,
Augustana College,2026-27,S,CSC-202L,01,Lab component of CSC-202,"Staff,",T 12:15 PM - 2:05 PM,
Augustana College,2026-27,S,CSC-202L,02,Lab component of CSC-202,"Staff,",T 2:15 PM - 4:05 PM,
Augustana College,2026-27,W,CSC-215,01,Web Programming,"Li, Zhengyi",M/T/W/Th/F 12:30 PM - 3:30 PM,
Augustana College,2026-27,F,CSC-305,01,Software Development,"Dickerson, Rob",T/Th 12:20 PM - 2:00 PM,
Augustana College,2026-27,F,CSC-305,02,Software Development,"Dickerson, Rob",T/Th 2:15 PM - 3:55 PM,
Augustana College,2025-26,S,CSC-310,01,Database Management,"Mourya, Nidhi",M/W/F 2:15 PM - 3:30 PM,
Augustana College,2025-26,S,CSC-320,01,Principles of A. I.,"Li, Zhengyi",T/Th 8:30 AM - 10:10 AM,
Augustana College,2025-26,S,CSC-320,02,Principles of A. I.,"Li, Zhengyi",T/Th 10:25 AM - 12:05 PM,
Augustana College,2026-27,F,CSC-325,01,Machine Learning,"Li, Zhengyi",T/Th 8:30 AM - 10:10 AM,
Augustana College,2026-27,F,CSC-325,02,Machine Learning,"Li, Zhengyi",T/Th 10:25 AM - 12:05 PM,
Augustana College,2025-26,S,CSC-330,01,Principles of Computer Systems,"Mourya, Nidhi",M/W/F 8:30 AM - 9:45 AM,
Augustana College,2025-26,S,CSC-330,02,Principles of Computer Systems,"Mourya, Nidhi",M/W/F 10:00 AM - 11:15 AM,
Augustana College,2026-27,S,CSC-330,01,Principles of Computer Systems,"Mourya, Nidhi",M/W/F 8:30 AM - 9:45 AM,
Augustana College,2026-27,S,CSC-330,02,Principles of Computer Systems,"Mourya, Nidhi",M/W/F 10:00 AM - 11:15 AM,
Augustana College,2026-27,F,CSC-335,01,Networking Fundamentals,"Li, Zhengyi",M/W/F 8:30 AM - 9:45 AM,
Augustana College,2026-27,F,CSC-336,01,Internet and Cybersecurity,"Li, Zhengyi",M/W/F 8:30 AM - 9:45 AM,
Augustana College,2026-27,F,CSC-371,01,Algorithms & Comp Theory,"Stonedahl, Forrest",M/W/F 10:00 AM - 11:15 AM,
Augustana College,2026-27,F,CSC-371,02,Algorithms & Comp Theory,"Stonedahl, Forrest",M/W/F 11:30 AM - 12:45 PM,
Augustana College,2026-27,W,CSC-380,01,Soc Media Analysis,"Staff,",M/T/W/Th/F 8:30 AM - 11:30 AM,
Augustana College,2025-26,S,CSC-400,FS,Neural Data Science,"Stonedahl, Forrest",TBD,
Augustana College,2025-26,S,CSC-400,FS1,A.I. Research Study,"Stonedahl, Forrest",TBD,
Augustana College,2025-26,S,CSC-490,01,Senior Inquiry,"Stonedahl, Forrest",T/Th 10:25 AM - 12:05 PM,
Augustana College,2025-26,S,CSC-490,02,Senior Inquiry,"Stonedahl, Forrest",T/Th 12:20 PM - 2:00 PM,
Augustana College,2026-27,S,CSC-490,01,Senior Inquiry,"Stonedahl, Forrest",T/Th 10:25 AM - 12:05 PM,
Augustana College,2026-27,S,CSC-490,02,Senior Inquiry,"Stonedahl, Forrest",T/Th 12:20 PM - 2:00 PM,
