college,academic_year,term,course_code,section,course_name,instructor,time,url
Beloit College,2021-22,F,CSCI 111,01,Intro Object-Oriented Prog(1S),"Haj Said, Fadi","MW 1:45 PM-3:35 PM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,F,CSCI 111,02,Intro Object-Oriented Prog(1S),"Kwon, Donghwoon","TR 2:35 PM-3:50 PM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,F,CSCI 175,01,Computer Architecture,"Haj Said, Fadi","MW 7:15 PM-9:00 PM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,F,CSCI 204,01,Data Structures & Algorithms,"Haj Said, Eyad","TR 1:00 PM-3:50 PM; Beloit College, Center for the Sciences, SC - 117-School for Health Sciences",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,F,CSCI 335,01,Threads & Operating Systems,"Haj Said, Eyad","TR 8:00 AM-9:45 AM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,F,CSCI 367,01,Database Capstone (CP),"Haj Said, Eyad","TR 10:00 AM-11:45 AM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,F,CSCI 390,01,Special Projects*,"Haj Said, Eyad","Beloit College, Arranged (TBA), To Be Announced",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,S,CSCI 111,01,Intro Object-Oriented Prog(1S),"Chavey, Darrah P","MWF 10:15 AM-12:05 PM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,S,CSCI 204,01,Data Structures & Algorithms,"Haj Said, Eyad","TR 1:00 PM-3:50 PM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,S,CSCI 245,01,Computer Networks,"Haj Said, Eyad","TR 10:00 AM-11:45 AM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,S,CSCI 377,01,Software Engineering Capstone (CP),"Chavey, Darrah P; Kwon, Donghwoon","MWF 2:50 PM-3:50 PM; Beloit College, Center for the Sciences, SC - 116 CS Lab | MWF 2:50 PM-3:50 PM; Beloit College, Center for the Sciences, SC - 150 Auditorium",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,S,CSCI 390,01,Special Projects*,"Bonnie, Kristin","Beloit College, Arranged (TBA), To Be Announced",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2021-22,S,CSCI 390,C1,Special Projects*,"Haj Said, Eyad","Beloit College, Arranged (TBA), To Be Announced",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2022-23,F,CSCI 111,01,Intro Object-Oriented Prog(1S),"Chavey, Darrah P","MWF 10:15 AM-12:05 PM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2022-23,F,CSCI 111,02,Intro Object-Oriented Prog(1S),"Chavey, Darrah P","MWF 8:00 AM-9:50 AM; Beloit College, Center for the Sciences, SC - 116 CS Lab",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Beloit College,2022-23,F,CSCI 171,01,Intro Artificial Intelligence (1S),"Stucky, Benjamin Waltner","TR 8:30 AM-9:45 AM; Beloit College, Center for the Sciences, SC - 201",https://my.beloit.edu/ICS/Course_Search/Default_Page.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
