college,academic_year,term,course_code,section,course_name,instructor,time,url
Berea College,2022-23,F,CSC 114,0,Business App & Prog (BUS),"Boggs, Jacci",TTh 13:00-14:50 (D 114),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 124,0,Building Better Apps,"Jones, Jasmine",MWF 10:40-11:50 (DT 108A),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 186,DW,Intro to Web Development,"Wilborne, Deanna",MWF 08:00-09:10 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 186,DW2,Intro to Web Development,"Wilborne, Deanna",MWF 09:20-10:30 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 226,A,Software Design & Implement,"Shepherd, Patrick",MWF 12:00-13:10 (DT 108A),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 226,B,Software Design & Implement,"Shepherd, Patrick",MWF 13:20-14:30 (DT 108A),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 236,A,Data Structures,"Nakazawa, Mario",MWF 13:20-14:30 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 236,B,Data Structures,"Nakazawa, Mario",MWF 14:40-15:50 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 301,0,Human-Centered Computing,"Jones, Jasmine",TTh 10:00-11:50 (DT 111),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 336,0,E-Commerce (BUS),"Boggs, Jacci",MW 12:40-14:30 (D 103),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 410,0,Computational Intelligence,"Nakazawa, Mario",MWF 10:40-11:50 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 412,0,Networking,"Heggen, Scott",TTh 13:00-14:50 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 445,0,Comp Complexity & Modeling,"Shepherd, Patrick",TTh 10:00-11:50 (DT 108A),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 450,0,Computer Security,"Heggen, Scott",TTh 08:00-09:50 (DT 108A),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 490B,SH,Game Development,"Heggen, Scott",,https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,F,CSC 493,0,Computing Design Practicum,"Wilborne, Deanna",TTh 13:00-14:50 (DT B12),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,S,CSC 110,0,Craft of Computing,"Jones, Jasmine",TTh 10:00-11:50 (DT B12),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,S,CSC 111,0,Storytelling-Comp Animation,"Wilborne, Deanna",MWF 13:20-14:30 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,S,CSC 114,0,Business App & Prog (BUS),"Boggs, Jacci",TTh 08:00-09:50 (D 308),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,S,CSC 221,0,Management Info. Systems (BUS),"Boggs, Jacci",MW 12:40-14:30 (D 103),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,S,CSC 226,A,Software Design & Implement,"Shepherd, Patrick",MWF 09:20-10:30 (DT 108A),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,S,CSC 226,B,Software Design & Implement,"Shepherd, Patrick",MWF 10:40-11:50 (DT 108A),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,S,CSC 236,A,Data Structures,"Nakazawa, Mario",MWF 09:20-10:30 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
Berea College,2022-23,S,CSC 236,B,Data Structures,"Nakazawa, Mario",MWF 10:40-11:50 (DT 104),https://b9student-prod.berea.edu:8444/StudentRegistrationSsb/ssb/classSearch/classSearch
