college,academic_year,term,course_code,section,course_name,instructor,time,url
Bowdoin College,2021-22,F,CSCI 1101,A,Intro to Computer Science,"Byrd, David","M W 2:50pm-4:15pm, Searles Science Building-128",
Bowdoin College,2021-22,F,CSCI 1101,B,Intro to Computer Science,"Freire, Cibele","T R 1:15pm-2:40pm, Searles Science Building-128",
Bowdoin College,2021-22,F,CSCI 1101,C,Intro to Computer Science,"Houser, Stephen","M W F 11:40am-1:05pm, Searles Science Building-128",
Bowdoin College,2021-22,F,CSCI 1101,LA1,Intro to Computer Science,"Byrd, David","R 11:40am-1:05pm, Searles Science Building-128",
Bowdoin College,2021-22,F,CSCI 1101,LB1,Intro to Computer Science,"Freire, Cibele","W 1:15pm-2:40pm, Searles Science Building-128",
Bowdoin College,2021-22,F,CSCI 1103,,Programming with Data,"Chown, Eric","T R 10:05am-11:30am, Hatch Science Building-212",
Bowdoin College,2021-22,F,CSCI 1103,L1,Programming with Data,"Chown, Eric","F 11:40am-1:05pm, Hatch Science Building-212",
Bowdoin College,2021-22,F,CSCI 2101,A,Data Structures,"Majercik, Stephen","T R 8:30am-9:55am, Searles Science Building-128",
Bowdoin College,2021-22,F,CSCI 2101,B,Data Structures,"Barker, Sean","M W F 10:05am-11:30am, Searles Science Building-128",
Bowdoin College,2021-22,F,CSCI 2101,LA1,Data Structures,"Majercik, Stephen","M 8:30am-9:55am, Searles Science Building-128",
Bowdoin College,2021-22,F,CSCI 2200,,Algorithms,"Toma, Laura","M W F 10:05am-11:30am, Searles Science Building-223",
Bowdoin College,2021-22,F,CSCI 2210,,Theory of Computation,"Freire, Cibele","T R 11:40am-1:05pm, Searles Science Building-223",
Bowdoin College,2021-22,F,CSCI 2330,,Computer Systems,"Barker, Sean","M W F 11:40am-1:05pm, Searles Science Building-223",
Bowdoin College,2021-22,F,CSCI 2400,,Artificial Intelligence,"Byrd, David","T R 2:50pm-4:15pm, Searles Science Building-223",
Bowdoin College,2021-22,F,CSCI 3210,,Computational Game Theory,"Irfan, Mohammad","T R 11:40am-1:05pm, Visual Arts Center-SOUTH",
Bowdoin College,2021-22,F,CSCI 3250,,Computational Geometry,"Toma, Laura","M W 1:15pm-2:40pm, Searles Science Building-126",
Bowdoin College,2021-22,F,CSCI 3420,,Optimization and Uncertainty,"Majercik, Stephen","T R 10:05am-11:30am, Searles Science Building-126",
Bowdoin College,2021-22,S,CSCI 1101,,Intro to Computer Science,"Freire, Cibele","M W 1:15pm-2:40pm, Searles Science Building-128",
Bowdoin College,2021-22,S,CSCI 1101,L1,Intro to Computer Science,"Freire, Cibele","F 1:15pm-2:40pm, Searles Science Building-128",
Bowdoin College,2021-22,S,CSCI 2101,A,Data Structures,"Majercik, Stephen","M T R 8:30am-9:55am, Searles Science Building-128",
Bowdoin College,2021-22,S,CSCI 2101,B,Data Structures,"Toma, Laura","M W F 10:05am-11:30am, Searles Science Building-128",
Bowdoin College,2021-22,S,CSCI 2200,,Algorithms,"Toma, Laura","M W F 11:40am-1:05pm, Searles Science Building-223",
Bowdoin College,2021-22,S,CSCI 2320,,Principles of Programming Lang,"Irfan, Mohammad","T R 1:15pm-2:40pm, Visual Arts Center-NORTH",
Bowdoin College,2021-22,S,CSCI 2330,,Computer Systems,"Houser, Stephen","T R F 2:50pm-4:15pm, Searles Science Building-223",
Bowdoin College,2021-22,S,CSCI 2350,,Social and Economic Networks,"Irfan, Mohammad","T R 10:05am-11:30am, Visual Arts Center-NORTH",
Bowdoin College,2021-22,S,CSCI 3325,,Distributed Systems,"Barker, Sean","T R 11:40am-1:05pm, Searles Science Building-223",
Bowdoin College,2021-22,S,CSCI 3445,,Nature-Inspired Computation,"Majercik, Stephen","T R 10:05am-11:30am, Searles Science Building-126",
Bowdoin College,2021-22,S,CSCI 3465,,Financial Machine Learning,"Byrd, David","M W 2:50pm-4:15pm, Searles Science Building-126",
Bowdoin College,2022-23,F,CSCI 1101,A,Intro to Computer Science,"Freire, Cibele","T R 10:05am-11:30am, Searles Science Building-128",
Bowdoin College,2022-23,F,CSCI 1101,B,Intro to Computer Science,"Houser, Stephen","M W 1:15pm-2:40pm, Searles Science Building-128",
Bowdoin College,2022-23,F,CSCI 1101,LA1,Intro to Computer Science,"Freire, Cibele","W 10:05am-11:30am, Searles Science Building-128",
Bowdoin College,2022-23,F,CSCI 1101,LB1,Intro to Computer Science,"Houser, Stephen","F 1:15pm-2:40pm, Searles Science Building-128",
Bowdoin College,2022-23,F,CSCI 1103,,Programming with Data,"Presler-Marshall, Kai","T R 1:15pm-2:40pm, Searles Science Building-128",
Bowdoin College,2022-23,F,CSCI 1103,L1,Programming with Data,"Presler-Marshall, Kai","F 2:50pm-4:15pm, Searles Science Building-128",
Bowdoin College,2022-23,F,CSCI 2101,A,Data Structures,"Harmon, Sarah","T R 8:30am-9:55am, Searles Science Building-128",
Bowdoin College,2022-23,F,CSCI 2101,B,Data Structures,"Byrd, David","M W F 11:40am-1:05pm, Searles Science Building-128",
