college,academic_year,term,course_code,section,course_name,instructor,time,url
Bryn Mawr College,2021-22,F,CMSCB113,001,Computer Science I,"Murphy,Chris",TTh 12:55pm-02:15pm,
Bryn Mawr College,2021-22,F,CMSCB113,002,Computer Science I,"Murphy,Chris",MW 01:10pm-02:30pm,
Bryn Mawr College,2021-22,F,CMSCB113,00A,Computer Science I,"Murphy,Chris",T 02:25pm-03:15pm,
Bryn Mawr College,2021-22,F,CMSCB113,00B,Computer Science I,"Murphy,Chris",Th 11:55am-12:45pm,
Bryn Mawr College,2021-22,F,CMSCB113,00C,Computer Science I,"Murphy,Chris",W 02:40pm-04:00pm,
Bryn Mawr College,2021-22,F,CMSCB151,002,Intro to Data Structures,"Towell,Geoffrey",TTh 12:55pm-02:15pm / T 02:25pm-04:15pm,
Bryn Mawr College,2021-22,F,CMSCB231,001,Discrete Mathematics I,"Normoyle,Aline",TTh 09:55am-11:15am,
Bryn Mawr College,2021-22,F,CMSCB245,001,Principles of Program Lang.,"Towell,Geoffrey",MW 01:10pm-02:30pm,
Bryn Mawr College,2021-22,F,CMSCB245,00A,Principles of Program Lang.,"Towell,Geoffrey",M 02:40pm-04:00pm,
Bryn Mawr College,2021-22,F,CMSCB317,001,Computer Animation,"Normoyle,Aline",TTh 12:55pm-02:15pm / Th 02:25pm-03:45pm,
Bryn Mawr College,2021-22,F,CMSCB340,001,Analysis of Algorithms,"Xu,Dianna",TTh 09:55am-11:15am / W 11:40am-01:00pm,
Bryn Mawr College,2021-22,F,CMSCB355,001,Operating Systems,"Xu,Dianna",TTh 11:25am-12:45pm / W 01:10pm-02:30pm,
Bryn Mawr College,2021-22,F,CMSCB373,001,Intro Artificial Intelligence,"Kumar,Deepak",MW 10:10am-11:30am / M 11:40am-01:00pm,
Bryn Mawr College,2021-22,S,CMSCB113,001,Computer Science I,"Kumar,Deepak",TTh 12:55pm-02:15pm,
Bryn Mawr College,2021-22,S,CMSCB113,00A,Computer Science I,"Kumar,Deepak",T 02:25pm-03:15pm,
Bryn Mawr College,2021-22,S,CMSCB113,00B,Computer Science I,"Kumar,Deepak",Th 11:55am-12:45pm,
Bryn Mawr College,2021-22,S,CMSCB113,00Z,Computer Science I,"Kumar,Deepak",,
Bryn Mawr College,2021-22,S,CMSCB151,001,Intro to Data Structures,"Towell,Geoffrey",TTh 12:55pm-02:15pm / Th 02:25pm-03:45pm,
Bryn Mawr College,2021-22,S,CMSCB223,001,Systems Programming,"Normoyle,Aline",TTh 12:55pm-02:15pm / Th 02:25pm-03:45pm,
Bryn Mawr College,2021-22,S,CMSCB240,001,Computer Organization,"Murphy,Chris",TTh 11:25am-12:45pm / T 02:25pm-03:45pm,
Bryn Mawr College,2021-22,S,CMSCB337,001,Algorithms: Design & Practice,"Kumar,Deepak",MWF 10:10am-11:30am,
Bryn Mawr College,2021-22,S,CMSCB353,001,Software Engineering,"Murphy,Chris",MW 01:10pm-02:30pm / M 02:40pm-04:00pm,
Bryn Mawr College,2021-22,S,CMSCB383,001,Recent Advances in Comp Sci-Database Systems in Practice,"Towell,Geoffrey",MW 11:40am-01:00pm / W 02:40pm-04:00pm,
Bryn Mawr College,2021-22,S,CMSCB399,001,Senior Conference,"Normoyle,Aline",F 02:10pm-04:00pm,
Bryn Mawr College,2021-22,S,CMSCB403,001,Independent Study,"Murphy,Chris",,
Bryn Mawr College,2022-23,F,CMSCB109,001,Introduction to Computing,"Kumar,Deepak",MW 01:10pm-02:30pm,
Bryn Mawr College,2022-23,F,CMSCB109,00A,Introduction to Computing,"Kumar,Deepak",M 02:40pm-04:00pm,
Bryn Mawr College,2022-23,F,CMSCB113,001,Computer Science I,"Normoyle,Aline",MW 01:10pm-02:30pm,
Bryn Mawr College,2022-23,F,CMSCB113,002,Computer Science I,"Poliak,Adam",TTh 12:55pm-02:15pm,
Bryn Mawr College,2022-23,F,CMSCB113,00A,Computer Science I,"Poliak,Adam",T 02:25pm-03:15pm,
Bryn Mawr College,2022-23,F,CMSCB113,00B,Computer Science I,"Poliak,Adam",Th 11:55am-12:45pm,
Bryn Mawr College,2022-23,F,CMSCB113,00C,Computer Science I,"Normoyle,Aline",W 02:40pm-04:00pm,
Bryn Mawr College,2022-23,F,CMSCB151,001,Intro to Data Structures,"Towell,Geoffrey",TTh 09:55am-11:15am,
Bryn Mawr College,2022-23,F,CMSCB151,00A,Intro to Data Structures,"Towell,Geoffrey",Th 11:25am-12:45pm,
Bryn Mawr College,2022-23,F,CMSCB223,001,Systems Programming,"Normoyle,Aline",TTh 12:55pm-02:15pm / T 02:25pm-03:45pm,
Bryn Mawr College,2022-23,F,CMSCB231,001,Discrete Mathematics I,"Xu,Dianna",TTh 12:55pm-02:15pm,
Bryn Mawr College,2022-23,F,CMSCB245,001,Principles of Program Lang.,"Towell,Geoffrey",MW 01:10pm-02:30pm,
Bryn Mawr College,2022-23,F,CMSCB245,00A,Principles of Program Lang.,"Towell,Geoffrey",W 11:40am-01:00pm,
Bryn Mawr College,2022-23,F,CMSCB283,001,Topics in Computer Science,"Murphy,Chris",TTh 12:55pm-02:15pm,
Bryn Mawr College,2022-23,F,CMSCB283,00A,Topics in Computer Science,"Murphy,Chris",Th 02:25pm-03:45pm,
Bryn Mawr College,2022-23,F,CMSCB325,001,Computational Linguistics,"Kumar,Deepak",MW 10:10am-11:30am / M 11:40am-01:00pm,
Bryn Mawr College,2022-23,F,CMSCB340,001,Analysis of Algorithms,"Xu,Dianna",TTh 11:25am-12:45pm / W 01:10pm-02:30pm,
Bryn Mawr College,2022-23,F,CMSCB403,001,Independent Study,"Murphy,Chris",,
Bryn Mawr College,2022-23,F,CMSCB403,002,Independent Study,"Normoyle,Aline",,
Bryn Mawr College,2022-23,F,CMSCB403,003,Independent Study,"Towell,Geoffrey",,
Bryn Mawr College,2022-23,F,CMSCB403,004,Independent Study,"Xu,Dianna",,
Bryn Mawr College,2022-23,S,CMSCB113,001,Computer Science I,"Poliak,Adam",TTh 12:55pm-02:15pm,
Bryn Mawr College,2022-23,S,CMSCB113,00A,Computer Science I,"Poliak,Adam",T 02:25pm-03:45pm,
Bryn Mawr College,2022-23,S,CMSCB151,001,Intro to Data Structures,"Xu,Dianna",TTh 12:55pm-02:15pm / W 01:10pm-02:30pm,
Bryn Mawr College,2022-23,S,CMSCB223,001,Systems Programming,"Normoyle,Aline",MW 01:10pm-02:30pm / M 02:40pm-04:00pm,
Bryn Mawr College,2022-23,S,CMSCB240,001,Computer Organization,"Murphy,Chris",MW 11:40am-01:00pm / W 10:10am-11:30am,
Bryn Mawr College,2022-23,S,CMSCB311,001,Computational Geometry,"Xu,Dianna",TTh 11:25am-12:45pm / W 11:40am-01:00pm,
Bryn Mawr College,2022-23,S,CMSCB313,001,Computer Graphics,"Normoyle,Aline",TTh 12:55pm-02:15pm / Th 02:25pm-03:45pm,
Bryn Mawr College,2022-23,S,CMSCB337,001,Algorithms: Design & Practice,"Towell,Geoffrey",TTh 09:55am-11:15am / Th 11:25am-12:45pm,
Bryn Mawr College,2022-23,S,CMSCB353,001,Software Engineering,"Murphy,Chris",MW 01:10pm-02:30pm / M 02:40pm-04:00pm,
Bryn Mawr College,2022-23,S,CMSCB383,001,Recent Advances in Comp Sci-Computational Text Analysis,"Poliak,Adam",MW 10:10am-11:30am / M 11:40am-01:00pm,
Bryn Mawr College,2022-23,S,CMSCB399,001,Senior Conference,"Towell,Geoffrey",F 02:10pm-04:00pm,
Bryn Mawr College,2022-23,S,CMSCB403,001,Independent Study-Augmented Reality Controllers,"Normoyle,Aline",,
Bryn Mawr College,2023-24,F,CMSCB109,001,Introduction to Computing,"Moskol,Ann E.",MW 01:10pm-02:30pm / W 11:40am-01:00pm,
Bryn Mawr College,2023-24,F,CMSCB113,001,Computer Science I,"Towell,Geoffrey",MW 01:10pm-02:30pm / M 02:40pm-04:00pm,
Bryn Mawr College,2023-24,F,CMSCB113,002,Computer Science I,"Poliak,Adam",TTh 12:55pm-02:15pm / Th 02:25pm-03:45pm,
Bryn Mawr College,2023-24,F,CMSCB151,001,Intro to Data Structures,"Poliak,Adam",MW 01:10pm-02:30pm / W 02:40pm-04:00pm,
Bryn Mawr College,2023-24,F,CMSCB223,001,Systems Programming,"Kumar,Deepak",MW 01:10pm-02:30pm / M 02:40pm-04:00pm,
Bryn Mawr College,2023-24,F,CMSCB231,001,Discrete Mathematics I,"Moskol,Ann E.",TTh 09:55am-11:15am,
Bryn Mawr College,2023-24,F,CMSCB245,001,Principles of Program Lang.,"Towell,Geoffrey",TTh 09:55am-11:15am / T 12:55pm-02:15pm,
Bryn Mawr College,2023-24,F,CMSCB340,001,Analysis of Algorithms,"Xu,Dianna",TTh 11:25am-12:45pm / W 11:40am-01:00pm,
Bryn Mawr College,2023-24,F,CMSCB373,001,Intro Artificial Intelligence,"Kumar,Deepak",MW 10:10am-11:30am / W 02:40pm-04:00pm,
Bryn Mawr College,2023-24,F,CMSCB403,001,Independent Study,"Poliak,Adam",,
Bryn Mawr College,2023-24,S,CMSCB113,001,Computer Science I,"Dinella,Elizabeth A.",TTh 12:55pm-02:15pm / Th 02:25pm-03:45pm,
Bryn Mawr College,2023-24,S,CMSCB151,001,Intro to Data Structures,"Dinella,Elizabeth A.",MW 01:10pm-02:30pm / M 02:40pm-04:00pm,
Bryn Mawr College,2023-24,S,CMSCB231,001,Discrete Mathematics I,"Zhou,Yuxin",TTh 11:25am-12:45pm,
Bryn Mawr College,2023-24,S,CMSCB240,001,Computer Organization,"Kumar,Deepak",TTh 12:55pm-02:15pm / T 02:25pm-03:45pm,
Bryn Mawr College,2023-24,S,CMSCB337,001,Algorithms: Design & Practice,"Towell,Geoffrey",MW 10:10am-11:30am / W 02:40pm-04:00pm,
Bryn Mawr College,2023-24,S,CMSCB355,001,Operating Systems,"Xu,Dianna",MW 01:10pm-02:30pm / W 11:40am-01:00pm,
Bryn Mawr College,2023-24,S,CMSCB383,001,Recent Advances in Comp Sci-Database Systems in Practice,"Towell,Geoffrey",TTh 09:55am-11:15am / Th 12:55pm-02:15pm,
Bryn Mawr College,2023-24,S,CMSCB383,002,Recent Advances in Comp Sci-Deep Learning/Lrg Lang Models,"Gandhi,Ratnik",T 07:10pm-08:30pm / Th 06:10pm-07:30pm / Th 07:40pm-09:00pm,
Bryn Mawr College,2023-24,S,CMSCB399,001,Senior Conference,"Kumar,Deepak",F 02:10pm-04:00pm,
Bryn Mawr College,2024-25,F,CMSCB113,001,Computer Science I,"Poliak,Adam",TTh 01:10pm-02:30pm / T 02:40pm-04:00pm,
Bryn Mawr College,2024-25,F,CMSCB151,001,Intro to Data Structures,"Dinella,Elizabeth A.",MW 01:10pm-02:30pm / W 02:40pm-04:00pm,
Bryn Mawr College,2024-25,F,CMSCB223,001,Systems Programming,"Normoyle,Aline",TTh 11:40am-01:00pm / Th 02:40pm-04:00pm,
Bryn Mawr College,2024-25,F,CMSCB231,001,Discrete Mathematics I,"Zhou,Yuxin",TTh 10:10am-11:30am,
Bryn Mawr College,2024-25,F,CMSCB245,001,Principles of Program Lang.,"Kumar,Deepak",TTh 10:10am-11:30am / T 01:10pm-02:30pm,
Bryn Mawr College,2024-25,F,CMSCB283,001,Topics in Computer Science-Game Programming,"Normoyle,Aline",TTh 01:10pm-02:30pm / T 02:40pm-04:00pm,
