college,academic_year,term,course_code,section,course_name,instructor,time,url
Bucknell University,2021-22,F,CSCI 187,01,Creative Computing and Society,"Fuchsberger, Alexander",TTh 10:20-11:40 (BRKI 164); W 17:10-18:50 (BRKI 164),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 1NT,01,CSCI Non-traditional Study,"King, Brian R.",,https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 201,01,Computer Science Seminar,"Dancy, Chris L.",T 10:20-11:40 (DANA 113),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203,01,Intro to Computer Science,"Fuchsberger, Alexander",MWF 08:30-09:20 (BRKI 165),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203,02,Intro to Computer Science,"Fuchsberger, Alexander",MWF 09:50-10:40 (DANA 115),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203,03,Intro to Computer Science,"Baish, Susan R.",MWF 11:10-12:00 (BRKI 066),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203,04,Intro to Computer Science,"Baish, Susan R.",MWF 12:30-13:20 (DANA 319),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203,05,Intro to Computer Science,"Ross, Anne S.",MWF 15:10-16:00 (DANA 115),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203L,60,Lab for Intro to Comp Sci,"Dancy, Chris L.",T 08:30-10:10 (DANA 213),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203L,61,Lab for Intro to Comp Sci,"Baish, Susan R.",T 10:30-12:10 (DANA 213),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203L,62,Lab for Intro to Comp Sci,"Fuchsberger, Alexander",T 13:20-15:00 (DANA 213),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203L,63,Lab for Intro to Comp Sci,"Baish, Susan R.",T 15:20-17:00 (DANA 213),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 203L,64,Lab for Intro to Comp Sci,"Ross, Anne S.",T 08:30-10:10 (BRKI 164),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 204,01,Data Structures & Algorithms,"Gutekunst, Samuel",MWF 12:30-13:20 (DANA 137),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 204,02,Data Structures & Algorithms,"Dancy, Chris L.",MWF 08:30-09:20 (BRKI 066),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 204,03,Data Structures & Algorithms,"Stough, Joshua V.",MWF 13:50-14:40 (BRKI 065),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 204L,60,Data Structures & Algorithms,"Stough, Joshua V.",Th 08:30-10:10 (DANA 213),https://pubapps.bucknell.edu/CourseInformation/#/lookup
Bucknell University,2021-22,F,CSCI 204L,61,Data Structures & Algorithms,"Gutekunst, Samuel",Th 10:20-12:10 (DANA 213),https://pubapps.bucknell.edu/CourseInformation/#/lookup
