college,academic_year,term,course_code,section,course_name,instructor,time,url,category
Central College,2025-26,S,COSC 109,A,Intro to Information Mgmt,"Weber, W",TR 09:30AM-10:45AM / VSC 141,https://central.edu/academics/course-catalog/searchable-schedule/,Databases
Central College,2025-26,S,COSC 110,A,Intro to Computer Science,"Insko, E",MWF 11:00AM-11:50AM / VSC 269,https://central.edu/academics/course-catalog/searchable-schedule/,Core
Central College,2025-26,S,COSC 110H,A,Hnrs Enrich: Intro to Comp Sci,"Insko, E",,https://central.edu/academics/course-catalog/searchable-schedule/,Core
Central College,2025-26,S,COSC 346,A,Cybersecurity,"Fyfe, S",MWF 08:00AM-08:50AM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Computer security & privacy
Central College,2025-26,S,COSC 362,A,Computer Graphics,"Thompson, M",MTWF 01:00PM-01:50PM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Computer graphics
Central College,2025-26,S,COSC 420,A,Senior Project,"Thompson, M",MWF 10:00AM-10:50AM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Misc
Central College,2026-27,F,COSC 110,A,Intro to Computer Science,"Fyfe, S",MWF 11:00AM-11:50AM / VSC 269,https://central.edu/academics/course-catalog/searchable-schedule/,Core
Central College,2026-27,F,COSC 220,A,Software Design,"Fyfe, S",MTWF 10:00AM-10:50AM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Software engineering
Central College,2026-27,F,COSC 245,A,Comp Org & Architecture,"Fyfe, S",MTWF 08:00AM-08:50AM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Computer architecture
Central College,2026-27,F,COSC 250,A,Databases and Big Data,"Thompson, M",TR 02:30PM-03:45PM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Databases
Central College,2026-27,S,COSC 110,A,Intro to Computer Science,"Thompson, M",MWF 11:00AM-11:50AM / VSC 269,https://central.edu/academics/course-catalog/searchable-schedule/,Core
Central College,2026-27,S,COSC 130,A,Data Structures,"Thompson, M",MWF 02:00PM-02:50PM / VSC 143,https://central.edu/academics/course-catalog/searchable-schedule/,Core
Central College,2026-27,S,COSC 325,A,Mobile Application Development,"Fyfe, S",MWF 08:00AM-08:50AM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Mobile computing
Central College,2026-27,S,COSC 345,A,Computer Systems,"Fyfe, S",MWF 02:00PM-02:50PM / VSC 243 / T 02:30PM-03:20PM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Computer architecture
Central College,2026-27,S,COSC 420,A,Senior Project,"Thompson, M",MWF 10:00AM-10:50AM / VSC 243,https://central.edu/academics/course-catalog/searchable-schedule/,Misc
