college,academic_year,term,course_code,section,course_name,instructor,time,url
Claflin University,2024-25,F,CSCI 101,01,Introduction to Computer Technology,"Sriram, Ramaier","MWF 2:00 PM-2:50 PM; Main Campus, James S. Thomas, Room 310",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 101,02,Introduction to Computer Technology,"Sriram, Ramaier","TR 12:30 PM-1:45 PM; Main Campus, James S. Thomas, Room 323",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 201,01,Programming for Everyone l,Instructor-TBA,"MTWRFSU; Online Program, Online",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 206,01,Fundamentals of Programming,"Boulware, Raquel","MTWF 10:00 AM-10:50 AM; Main Campus, James S. Thomas, Room 208",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 206,02,Fundamentals of Programming,"Boulware, Raquel","MWRF 10:00 AM-10:50 AM; Main Campus, James S. Thomas, Room 208",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 206,03,Fundamentals of Programming,"Boulware, Raquel","MWRF 8:00 AM-8:50 AM; Main Campus, James S. Thomas, Room 310",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 207,01,Intro to Obj-Oriented Programming,"Rhujittawiwat, Theppatorn","MTWF 4:00 PM-4:50 PM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 208,01,Intro to Information Assurance,"Sahu, Pratap K.","TR 3:30 PM-4:45 PM; Main Campus, James S. Thomas, 108 PHYSICS LAB",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 225,01,Intro to Digital Logic Design,"Sahu, Pratap K.","MTWF 9:00 AM-9:50 AM; Main Campus, James S. Thomas, Room 310",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 225,02,Intro to Digital Logic Design,"Desoky, Abdelrahman","MTWF 10:00 AM-10:50 AM; Main Campus, James S. Thomas, JST Computer & Engineering Lab",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 237,01,Data Structures & Algorithms,"Rhujittawiwat, Theppatorn","MTWR 1:00 PM-1:50 PM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 239,02,Computer Org and Architecture,"Boulware, Raquel","MTWF 9:00 AM-9:50 AM; Main Campus, James S. Thomas, Room 327",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 291,01,Sophomore Seminar I,"Sriskanda, Nesan S.","F 1:00 PM-1:50 PM; Main Campus, JSTANNEX, Room 1",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 335,01,Numerical Methods,"Sriram, Ramaier","MWF 3:00 PM-3:50 PM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 337,01,Foundations of Computing,"Sahu, Pratap K.","MWF 11:00 AM-11:50 AM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 391,01,Junior Seminar I,"Livingston, Jessica A","W 1:00 PM-1:50 PM; Main Campus, James S. Thomas, 108 PHYSICS LAB",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 401,01,Senior Design Project,"Desoky, Abdelrahman","TR 12:30 PM-1:45 PM; Main Campus, James S. Thomas, Room 310",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 402,01,Internet Technologies,"Rhujittawiwat, Theppatorn","MWF 10:00 AM-10:50 AM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 438,01,System Analysis and Design,"Desoky, Abdelrahman","MW 4:00 PM-5:15 PM; Main Campus, James S. Thomas, 108 PHYSICS LAB",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 457,01,Special Topics: Research Methods,"Sriram, Ramaier","M 1:00 PM-1:50 PM; Main Campus, James S. Thomas, JST Computer & Engineering Lab",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 460,01,Special Topics: CCNA l,"Rhujittawiwat, Theppatorn","MTWRFSU; Online Program, Online",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,F,CSCI 491,01,Senior Seminar,"Pawar, Shrikant D.","F 1:00 PM-1:50 PM; Main Campus, James S. Thomas, Room 310",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 101,01,Introduction to Computer Technology,"Boulware, Raquel","MWF 3:00 PM-3:50 PM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 206,01,Fundamentals of Programming,"Boulware, Raquel","MWF 9:00 AM-9:50 AM; Main Campus, James S. Thomas, Room 323",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 206,01,Fundamentals of Programming Lab,"Boulware, Raquel","T 9:00 AM-9:50 AM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 207,01,Intro to Obj-Oriented Programming,"Rhujittawiwat, Theppatorn","MWF 10:00 AM-10:50 AM; Main Campus, James S. Thomas, Room 323",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 207,01,Intro to Object-Oriented Prog Lab,"Rhujittawiwat, Theppatorn","T 10:00 AM-10:50 AM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 207,02,Intro to Object-Oriented Prog Lab,"Rhujittawiwat, Theppatorn","R 10:00 AM-10:50 AM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 208,01,Intro to Information Assurance,"Sahu, Pratap K.","TR 12:30 PM-1:45 PM; Main Campus, James S. Thomas, IOWA ROOM 131",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 225,01,Intro to Digital Logic Design,"Sahu, Pratap K.","MTWF 3:00 PM-3:50 PM; Main Campus, James S. Thomas, Room 310",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 237,01,Data Structures & Algorithms,"Rhujittawiwat, Theppatorn","MWF 2:00 PM-2:50 PM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 237,01,Data Structures & Algoeithms Lab,"Rhujittawiwat, Theppatorn","R 2:00 PM-2:50 PM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 241,01,Computer Systems,"Desoky, Abdelrahman","MWRF 3:00 PM-3:50 PM; Main Campus, James S. Thomas, Room 323",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 292,01,Sophomore Seminar II,"Sriskanda, Nesan S.","F 1:00 PM-1:50 PM; Main Campus, JSTANNEX, Room 1",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 306,01,Programming Languages,"Desoky, Abdelrahman","MWF 9:00 AM-9:50 AM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 315,01,Cyber Security Plan & Managemenrt,"Rhujittawiwat, Theppatorn","MTWRFS; Online Program, Online, Online Course",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 392,01,Junior Seminar II,"Boulware, Raquel","F 1:00 PM-1:50 PM; Main Campus, James S. Thomas, 108 PHYSICS LAB",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 415,01,Introduction to Database System,"Sahu, Pratap K.","MWF 9:00 AM-9:50 AM; Main Campus, James S. Thomas, 108 PHYSICS LAB",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 436,01,Computer Network Design & Analysis,"Desoky, Abdelrahman","TR 12:30 PM-1:45 PM; Main Campus, James S. Thomas, COMPUTER SCIENCE LAB 109",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 437,01,Software Engineering,"Sahu, Pratap K.","MWF 2:00 PM-2:50 PM; Main Campus, James S. Thomas, 108 PHYSICS LAB",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 442,01,Software Security,"Desoky, Abdelrahman","MWF 11:00 AM-11:50 AM; Main Campus, James S. Thomas, JST Computer & Engineering Lab",https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Claflin University,2024-25,S,CSCI 451,01,Design Studio IND,"Liles, Karina",Main Campus,https://my.claflin.edu/ics/Portal_Homepage.jnz?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
