college,academic_year,term,course_code,section,course_name,instructor,time,url
College of St Benedict,2021-22,F,CSCI 150,01T,"INTRO TO COMPUTING (NS,AS,Q)",Peter Ohmann,MWF 09:30-10:25 (MAIN 002),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 150,02T,"INTRO TO COMPUTING (NS,AS,Q)",Channa Kumarage,MWF 10:40-11:35 (MAIN 002),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 150,03T,"INTRO TO COMPUTING (NS,AS,Q)",Peter Ohmann,MWF 13:00-13:55 (MAIN 002),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 150L,01A,Laboratory,Paul Schumacher,TTh 08:20-09:40 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 150L,02A,Laboratory,Paul Schumacher,TTh 09:55-11:15 (MAIN 270),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 150L,03A,Laboratory,Heather Amthauer,TTh 09:55-11:15 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 150L,04A,Laboratory,Channa Kumarage,TTh 11:30-12:50 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 150L,05A,Laboratory,Imad Rahal,TTh 14:40-16:00 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 150L,06A,Laboratory,Paul Schumacher,TTh 13:05-14:25 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 160,01A,PROBLEM-SOLV/PROG/COMP,Channa Kumarage,MWF 11:50-12:45 (MAIN 002),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 160L,01A,Laboratory,Channa Kumarage,TTh 08:20-09:40 (MAIN 270),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 160L,02A,Laboratory,Heather Amthauer,TTh 13:05-14:25 (MAIN 270),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 200,01A,DATA STRUCTURES,Imad Rahal,TTh 09:55-11:15 (MAIN 002),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 200,02A,DATA STRUCTURES,Imad Rahal,TTh 13:05-14:25 (MAIN 002),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 200L,01A,Laboratory,Imad Rahal,W 08:20-10:25 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 200L,02A,Laboratory,Imad Rahal,W 11:50-13:55 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 200L,03A,Laboratory,Paul Schumacher,W 14:10-16:15 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 217D,01A,VOLUNTEERING & OUTREACH,Peter Ohmann,W,https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 239,01A,DISCRETE COMPUTATIONAL STRUCT,Robert Hesse,TTh 11:30-12:50 (MAIN 002),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
College of St Benedict,2021-22,F,CSCI 239L,01A,Laboratory,Robert Hesse,M 08:20-10:25 (MAIN 251),https://registration.csbsju.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
