college,academic_year,term,course_code,section,course_name,instructor,time,url
Concordia College,2021-22,F,CSC 104,0,Software Applications for Business Data,"Lampl, Damian",MWF 13:20-14:30 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 104,0,Software Applications for Business Data,"Mahlen, Nancy",(DL DL-1),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 104,0,Software Applications for Business Data,"Mahlen, Nancy",TTh 12:50-14:30 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 125,0,Introduction to Computer Science,"Axvig, Nathan",MWF 10:30-11:40 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 125,0,Introduction to Computer Science,"Axvig, Nathan",MWF 11:50-13:00 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 310,0,Web Design and Programming,"Lampl, Damian",TTh 10:30-11:45 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 330,0,Introduction to Database Management,"Kamel, Ahmed",MW 10:30-11:45 (GRANT 014),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 335,0,Operations Management/Research,"Tanner, Gregory",MWF 14:40-15:50 (ISC 257),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 340,0,Principles of Software Engineering,"Lampl, Damian",TTh 08:00-09:15 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 390,0,Cooperative Education,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 390,0,Cooperative Education,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 410,0,Artificial Intelligence,"Kamel, Ahmed",MW 11:50-13:05 (GRANT 028),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 430,0,Principles of Programming Languages,"Kamel, Ahmed",MW 13:20-14:35 (GRANT 028),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 480,0,Independent Study,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 487,0,Directed Research,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,F,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 104,0,Software Applications for Business Data,"Lampl, Damian",MWF 13:20-14:30 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 104,0,Software Applications for Business Data,"Mahlen, Nancy",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 104,0,Software Applications for Business Data,"Martinson, Francis",MWF 14:40-15:50 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 125,0,Introduction to Computer Science,"Axvig, Nathan",MWF 11:50-13:00 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 225,0,Fundamental Structures,"Lampl, Damian",TTh 12:50-14:30 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 225,0,Fundamental Structures,"Lampl, Damian",TTh 14:40-16:20 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 390,0,Cooperative Education,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 390,0,Cooperative Education,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 420,0,Operating Systems,"Kamel, Ahmed",MW 11:50-13:05 (GRANT 028),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 445,0,Intro to Computer Security,"Kamel, Ahmed",MW 13:20-14:35 (GRANT 032),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 470,0,Applied Software Project,"Lampl, Damian",TTh 10:30-11:45 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 480,0,Independent Study,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 487,0,Directed Research,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 487,0,Directed Research,"Axvig, Nathan",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 487,0,Directed Research,"Kamel, Ahmed",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2021-22,S,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 104,0,Software Applications for Business,"Mahlen, Nancy",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 125,0,Introduction to Computer Science,"Ashtari Mahini, Rahil",MWF 11:50-13:00 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 125,0,Introduction to Computer Science,"Lampl, Damian",MWF 10:30-11:40 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 310,0,Web Design and Programming,"Lampl, Damian",TTh 10:30-11:45 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 330,0,Introduction to Database Management,"Kamel, Ahmed",MW 10:30-11:45 (GRANT 014),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 335,0,Operations Management/Research,"Tanner, Gregory",MWF 14:40-15:50 (ISC 257),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 345,0,Computer Networks,"Lampl, Damian",TTh 08:00-09:15 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 390,0,Cooperative Education,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 390,0,Cooperative Education,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 430,0,Principles of Programming Languages,"Kamel, Ahmed",MW 13:20-14:35 (GRANT 028),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 445,0,Intro to Computer Security,"Kamel, Ahmed",MW 11:50-13:05 (GRANT 028),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 480,0,Independent Study,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 487,0,Directed Research,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,F,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 104,0,Software Applications for Business,"Martinson, Francis",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 125,0,Introduction to Computer Science,"Lampl, Damian",MWF 10:30-11:40 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 225,0,Fundamental Structures,"Lampl, Damian",TTh 12:50-14:30 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 311,0,Mobile Applications Development,"Lampl, Damian",TTh 08:00-09:15 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 390,0,Cooperative Education,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 480,0,Independent Study,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 480,0,Independent Study,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 480,0,Independent Study,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 487,0,Directed Research,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 487,0,Directed Research,"Axvig, Nathan",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 487,0,Directed Research,"Kamel, Ahmed",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2022-23,S,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 104,0,Software Applications for Business,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 125,0,Introduction to Computer Science,"Axvig, Nathan",MWF 10:30-11:40 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 125,0,Introduction to Computer Science,"Axvig, Nathan",MWF 11:50-13:00 (GRANT 118),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 225,0,Fundamental Structures,"Lampl, Damian",TTh 12:50-14:30 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 310,0,Web Design and Programming,"Lampl, Damian",TTh 10:30-11:45 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 330,0,Introduction to Database Management,"Kamel, Ahmed",MW 11:50-13:05 (GRANT 028),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 335,0,Operations Management/Research,"Tanner, Gregory",MWF 14:40-15:50 (ISC 257),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 340,0,Principles of Software Engineering,"Lampl, Damian",TTh 08:00-09:15 (GRANT 117),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 390,0,Academic Internship,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 410,0,Artificial Intelligence,"Kamel, Ahmed",MW 09:00-10:15 (GRANT 215),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 430,0,Principles of Programming Languages,"Kamel, Ahmed",MW 14:40-15:55 (GRANT 028),https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 480,0,Independent Study,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 487,0,Directed Research,,,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,F,CSC 487,0,Directed Research,"Lampl, Damian",,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Concordia College,2023-24,S,CSC 104,0,Software Applications for Business,"Lampl, Damian",TTh 10:30-11:45,https://banner.cord.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
