college,academic_year,term,course_code,section,course_name,instructor,time,url
Covenant College,2025-26,S,COS 150,1,Advanced Programming Methodology,"Zhou, Zeyu",TR 8:00 am–9:15 am,https://docs.google.com/spreadsheets/d/168tyF3rTVZfRVooVUrVeZSGkiJSeGakT_dfVXU0B5vo
Covenant College,2025-26,S,COS 230,1,Data Structures & Algorithms,"Zhou, Zeyu",MWF 10:00 am–10:50 am,https://docs.google.com/spreadsheets/d/168tyF3rTVZfRVooVUrVeZSGkiJSeGakT_dfVXU0B5vo
Covenant College,2025-26,S,COS 270,1,"AI, Algorithms, and Society","Humphries, Jeffrey",MWF 9:00 am–9:50 am,https://docs.google.com/spreadsheets/d/168tyF3rTVZfRVooVUrVeZSGkiJSeGakT_dfVXU0B5vo
Covenant College,2025-26,S,COS 417,1,Software Security Engineering,"Humphries, Jeffrey",MWF 1:00 pm–1:50 pm,https://docs.google.com/spreadsheets/d/168tyF3rTVZfRVooVUrVeZSGkiJSeGakT_dfVXU0B5vo
Covenant College,2025-26,S,COS 450,1,Introduction to Computer Organization,"Humphries, Jeffrey",MWF 11:45 am–12:35 pm,https://docs.google.com/spreadsheets/d/168tyF3rTVZfRVooVUrVeZSGkiJSeGakT_dfVXU0B5vo
Covenant College,2025-26,S,COS 480,1,Artificial Intelligence,"Zhou, Zeyu",MWF 8:00 am–8:50 am,https://docs.google.com/spreadsheets/d/168tyF3rTVZfRVooVUrVeZSGkiJSeGakT_dfVXU0B5vo
Covenant College,2025-26,S,COS 499,1,Special Topics: Modern Cryptography,"Humphries, Jeffrey",MWF 10:00 am–10:50 am,https://docs.google.com/spreadsheets/d/168tyF3rTVZfRVooVUrVeZSGkiJSeGakT_dfVXU0B5vo
Covenant College,2026-27,F,COS 130,1,Computer Programming Methodology,"Zhou, Zeyu",MWF 9:00 am–9:50 am,https://docs.google.com/spreadsheets/d/1y2SLSwqlztfM5EwxjG8sluoFjC2NDiGwbH0odBtx5Fg/
Covenant College,2026-27,F,COS 131,1,Computing For Engineers,"Stern, Curt",MWF 3:00 pm–3:50 pm,https://docs.google.com/spreadsheets/d/1y2SLSwqlztfM5EwxjG8sluoFjC2NDiGwbH0odBtx5Fg/
Covenant College,2026-27,F,COS 200,1,Data Science,"Zhou, Zeyu",MWF 10:00 am–10:50 am,https://docs.google.com/spreadsheets/d/1y2SLSwqlztfM5EwxjG8sluoFjC2NDiGwbH0odBtx5Fg/
Covenant College,2026-27,F,COS 210,1,Discrete Structures in Computing,"Zhou, Zeyu",TR 8:00 am–9:15 am,https://docs.google.com/spreadsheets/d/1y2SLSwqlztfM5EwxjG8sluoFjC2NDiGwbH0odBtx5Fg/
Covenant College,2026-27,F,COS 311,1,Computer and Information Security,"Humphries, Jeffrey",MWF 10:00 am–10:50 am,https://docs.google.com/spreadsheets/d/1y2SLSwqlztfM5EwxjG8sluoFjC2NDiGwbH0odBtx5Fg/
Covenant College,2026-27,F,COS 326,1,Operating Systems,"Humphries, Jeffrey",MWF 9:00 am–9:50 am,https://docs.google.com/spreadsheets/d/1y2SLSwqlztfM5EwxjG8sluoFjC2NDiGwbH0odBtx5Fg/
Covenant College,2026-27,F,COS 440,1,Programming Paradigms,"Bosma, Craig",MWF 2:00 pm–2:50 pm,https://docs.google.com/spreadsheets/d/1y2SLSwqlztfM5EwxjG8sluoFjC2NDiGwbH0odBtx5Fg/
Covenant College,2026-27,F,COS 492,1,Capstone Project,"Humphries, Jeffrey",,https://docs.google.com/spreadsheets/d/1y2SLSwqlztfM5EwxjG8sluoFjC2NDiGwbH0odBtx5Fg/
