college,academic_year,term,course_code,section,course_name,instructor,time,url
Davidson College,2022-23,F,CSC 110,0,Data Science & Society,J Pulaj,"TR 1215 - 0130pm, Watson Life Sciences Building 132",
Davidson College,2022-23,F,CSC 121,A,Programming & Problem Solving,H Mendes,"MWF 0930 - 1020am, Watson Life Sciences Building 132",
Davidson College,2022-23,F,CSC 121,B,Programming & Problem Solving,C Nemitz,"TR 0815 - 0930am, Wall Academic Center 380",
Davidson College,2022-23,F,CSC 121,C,Programming & Problem Solving,C Nemitz,"TR 0940 - 1055am, Wall Academic Center 380",
Davidson College,2022-23,F,CSC 209,0,Bioinformatics Programming,L Heyer,"TR 1215 - 0130pm, E.H. Little Library B110",
Davidson College,2022-23,F,CSC 220,A,Discrete Structures,J Pulaj,"MWF 1230 - 0120pm, Chambers Building 3106",
Davidson College,2022-23,F,CSC 220,B,Discrete Structures,J Pulaj,"MWF 0130 - 0220pm, Chambers Building 3106",
Davidson College,2022-23,F,CSC 221,A,Data Structures,T Peck,"MW 0230 - 0345pm, Wall Academic Center B05",
Davidson College,2022-23,F,CSC 221,B,Data Structures,T Peck,"TR 0140 - 0255pm, Watson Life Sciences Building 132",
Davidson College,2022-23,F,CSC 250,0,Computer Organization,B Wiedenbeck,"MW 0805 - 0920am, Watson Life Sciences Building 132",
Davidson College,2022-23,F,CSC 321,0,Analysis of Algorithms,B Wiedenbeck,"MWF 0930 - 1020am, Watson Life Sciences Building 147",
Davidson College,2022-23,F,CSC 352,0,Blockchains,H Mendes,"MWF 0230 - 0320pm, Watson Life Sciences Building 132",
Davidson College,2022-23,F,CSC 358,0,Real-Time Systems,C Nemitz,"TR 0140 - 0255pm, Watson Life Sciences Building 119",
Davidson College,2022-23,F,CSC 361,0,Computer Graphics,T Peck,"TR 1215 - 0130pm, Wall Academic Center 380",
Davidson College,2022-23,F,CSC 381,0,Deep Learning,B Wiedenbeck,"MW 0230 - 0345pm, Chambers Building LRC",
Davidson College,2022-23,F,CSC 391,A,Applications on Financial Tech,J Pulaj,TBA ,
Davidson College,2022-23,F,CSC 391,B,Machine Learning Methods,"M Kuchera, R Ramanujan",TBA ,
Davidson College,2022-23,F,CSC 391,C,VR Empathy,T Peck,TBA ,
Davidson College,2022-23,F,CSC 391,D,Anomaly Detect Semantic Seg,M Kuchera,TBA ,
Davidson College,2022-23,F,CSC 391,E,VR Gender Neutral,T Peck,TBA ,
Davidson College,2022-23,F,CSC 391,F,Educational App Development,L Heyer,TBA ,
Davidson College,2022-23,F,CSC 391,H,Simulation-based Modeling,B Wiedenbeck,TBA ,
Davidson College,2022-23,F,CSC 392,A,Concurrent Priority Queues,H Mendes,TBA ,
Davidson College,2022-23,F,CSC 392,B,Advanced Algorithms,J Pulaj,TBA ,
Davidson College,2022-23,F,CSC 393,0,Scheduling Concurrent Delivery,C Nemitz,TBA ,
Davidson College,2022-23,F,CSC 394,A,Research in Computer Science,J Pulaj,TBA ,
Davidson College,2022-23,F,CSC 491,A,ChartJunk in DataVisualization,T Peck,TBA ,
Davidson College,2022-23,F,CSC 491,B,Deep Learning for Game Theory,B Wiedenbeck,TBA ,
Davidson College,2022-23,F,CSC 491,C,WLASL Recognition,B Wiedenbeck,TBA ,
Davidson College,2022-23,F,CSC 492,A,Peer to Peer B-Plus Tree,H Mendes,TBA ,
Davidson College,2022-23,S,CSC 110,0,Data Science & Society,L Heyer,"TR 0940 - 1055am, E.H. Little Library B110",
Davidson College,2022-23,S,CSC 120,0,Programming in the Humanities,J Kabala,"TR 0305 - 0420pm, Chambers Building 2146",
Davidson College,2022-23,S,CSC 121,A,Programming & Problem Solving,H Mendes,"MWF 0930 - 1020am, Watson Life Sciences Building 132",
Davidson College,2022-23,S,CSC 121,B,Programming & Problem Solving,H Mendes,"MWF 1030 - 1120am, Watson Life Sciences Building 132",
Davidson College,2022-23,S,CSC 200,0,Computational Physics,M Kuchera,"TR 0305 - 0420pm, Wall Academic Center B05",
Davidson College,2022-23,S,CSC 210,0,Mathematical Modeling,L Heyer,"TR 0140 - 0255pm, Wall Academic Center B05",
Davidson College,2022-23,S,CSC 220,A,Discrete Structures,C Thomson,"TR 1215 - 0130pm, E.H. Little Library B110; TR 1215 - 0130pm, Dana Science Building 153",
Davidson College,2022-23,S,CSC 220,B,Discrete Structures,F Chan,"TR 0140 - 0255pm, E.H. Little Library B110; TR 0140 - 0255pm, Dana Science Building 153",
Davidson College,2022-23,S,CSC 221,A,Data Structures,C Nemitz,"TR 0815 - 0930am, Watson Life Sciences Building 132",
Davidson College,2022-23,S,CSC 221,B,Data Structures,T Peck,"TR 0140 - 0255pm, Watson Life Sciences Building 132",
Davidson College,2022-23,S,CSC 250,0,Computer Organization,B Wiedenbeck,"MW 0805 - 0920am, Watson Life Sciences Building 132",
Davidson College,2022-23,S,CSC 315,0,Numerical Analysis,M Kuchera,"MWF 1130 - 1220pm, Watson Life Sciences Building 147",
Davidson College,2022-23,S,CSC 321,0,Analysis of Algorithms,C Nemitz,"TR 0140 - 0255pm, E.H. Little Library TUTOR AREA",
Davidson College,2022-23,S,CSC 322,0,Programming Languages,J Pulaj,"TR 0305 - 0420pm, Chambers Building 3084",
Davidson College,2022-23,S,CSC 324,0,Theory of Computation,R Ramanujan,"TR 0305 - 0420pm, Watson Life Sciences Building 157",
Davidson College,2022-23,S,CSC 351,0,Operating Systems,H Mendes,"MWF 0130 - 0220pm, Watson Life Sciences Building 132",
Davidson College,2022-23,S,CSC 362,0,Data Visualization,T Peck,"TR 0940 - 1055am, Watson Life Sciences Building 132",
Davidson College,2022-23,S,CSC 370,0,Machine Reasoning,R Ramanujan,"TR 0815 - 0930am, Watson Life Sciences Building 157",
Davidson College,2022-23,S,CSC 371,0,Machine Learning,R Ramanujan,"TR 1215 - 0130pm, Watson Life Sciences Building 157",
Davidson College,2022-23,S,CSC 383,0,Algorithmic Game Theory,B Wiedenbeck,"MW 0230 - 0345pm, Watson Life Sciences Building 132",
Davidson College,2022-23,S,CSC 385,0,Linear & Discrete Optimization,J Pulaj,"TR 0940 - 1055am, Chambers Building 2146",
