college,academic_year,term,course_code,section,course_name,instructor,time,url
Denison University,2021-22,F,CS 109,01,Discovering Computer Science,"Kell, Nat",MTWF 13:30-14:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 111,01,Discovering Computer Science: Scientific Data and Dynamics,"Havill, Jessen",T 09:00-09:50 (OLIN 217); MWF 10:30-11:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 111,02,Discovering Computer Science: Scientific Data and Dynamics,"Truex, Stacey",MTWF 11:30-12:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 112,01,"Discovering Computer Science: Markets, Polls, and Social Networks","Agarwal, Archita",Th 09:00-09:50 (OLIN 217); MWF 09:30-10:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 112,02,"Discovering Computer Science: Markets, Polls, and Social Networks","Kretchmar, Matt",MTWF 12:30-13:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 119,01,Seminar: Programming Problems,"Lall, Ashwin",T 14:30-15:30 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 173,01,Intermediate Computer Science,"Agarwal, Archita",MWThF 15:00-15:50 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 181,01,Data Systems,"Kell, Nat",MTWF 11:30-12:20 (HIGL 105),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 181,02,Data Systems,"Lall, Ashwin",MTWF 13:30-14:20 (OLIN 221),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 234,01,Mathematical Foundations of Computer Science,"Lall, Ashwin",MTWF 12:30-13:20 (OLIN 311),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 271,01,Data Structures,"Havill, Jessen",MTWF 13:30-14:20 (OLIN 220),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 281,01,Introduction to Computer Systems,"Kretchmar, Matt",T 08:00-09:50 (OLIN 220); MWF 08:30-09:20 (OLIN 220),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 309,01,Computational Biology,"Havill, Jessen",MWF 12:30-13:20 (OLIN 221),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 361,90,Directed Study,"Staff, Faculty",,https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 363,90,Independent Study,"Staff, Faculty",,https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 395,01,Technical Communication I,"Kell, Nat",W 14:30-16:20 (OLIN 114),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 401,01,Data Privacy,"Truex, Stacey",MWF 15:00-15:50 (OLIN 220),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 451,90,Senior Research,"Staff, Faculty",,https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,F,CS 495,01,Technical Communication II,"Kretchmar, Matt",,https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 111,01,Discovering Computer Science,"Truex, Stacey",MTWF 11:30-12:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 111,02,Discovering Computer Science,"Amert, Tanya",MTWF 12:30-13:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 112,01,Discovering Computer Science,"Lall, Ashwin",MWF 10:30-11:20 (OLIN 217); Th 15:00-15:50 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 173,01,Intermediate Computer Science,"Agarwal, Archita",MWThF 15:00-15:50 (OLIN 221),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 173,02,Intermediate Computer Science,"Havill, Jessen",Th 09:00-09:50 (FELL 100); MWF 09:30-10:20 (FELL 100),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 181,01,Data Systems,"Amert, Tanya",T 08:00-08:50 (OLIN 217); MWF 09:30-10:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 181,02,Data Systems,"Kell, Nat",MTWF 11:30-12:20 (OLIN 222),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 200,01,Res Methods/Reinforce Learning,"Kretchmar, Matt",Th 10:30-11:20 (OLIN 220),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 234,01,Mathematical Foundations of Computer Science,"Lall, Ashwin",MWThF 13:30-14:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 271,01,Data Structures,"Truex, Stacey",MTWF 15:00-15:50 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 281,01,Introduction to Computer Systems,"Kretchmar, Matt",Th 08:00-09:50 (OLIN 221); MWF 08:30-09:20 (OLIN 221),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 334,01,Theory of Computation,"Kell, Nat",MWF 13:30-14:20 (OLIN 220),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 362,90,Directed Study,"Staff, Faculty",,https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 364,90,Independent Study,"Staff, Faculty",,https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 371,01,Algorithm Design and Analysis,"Agarwal, Archita",MWF 09:30-10:20 (OLIN 215),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 375,01,Computer Networks,"Havill, Jessen",MWF 10:30-11:20 (OLIN 221),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 395,01,Technical Communication I,"Kell, Nat",W 14:30-16:20 (OLIN 222),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 452,90,Senior Research,"Staff, Faculty",,https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2021-22,S,CS 495,01,Technical Communication II,"Kretchmar, Matt",,https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2022-23,F,CS 109,01,Discovering Computer Science,"Kell, Nat",T 08:00-08:50 (OLIN 217); MWF 09:30-10:20 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2022-23,F,CS 109,02,Discovering Computer Science,"Kell, Nat",MWF 08:30-09:20 (OLIN 217); T 09:00-09:50 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Denison University,2022-23,F,CS 109,03,Discovering Computer Science,"Buell, Duncan",TTh 13:30-14:50 (OLIN 217),https://banner.denison.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
