college,academic_year,term,course_code,section,course_name,instructor,time,url
Dickinson College,2021-22,F,COMP 130,01,Introduction to Computing,"Fruchter, Lev",MWF 09:30-10:20 (TOME 118); T 15:00-17:00 (TOME 120),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 130,02,Introduction to Computing,"Skalak, Michael",MWF 11:30-12:20 (TOME 118); W 15:00-17:00 (TOME 118),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 132,01,Principles of Object-Oriented Design,"Skalak, Michael",MWF 10:30-11:20 (TOME 118); T 15:00-17:00 (TOME 118),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 180,01,Introduction to Data Science,"Forrester, Jeffrey",TTh 09:00-10:15 (TOME 121),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 180,02,Introduction to Data Science,"Bilen, Eren",TTh 10:30-11:45 (TOME 121),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 190,01,Tools and Techniques for Software Development,"Braught, Grant",W 13:30-14:45 (TOME 231),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 190,02,Tools and Techniques for Software Development,"Skalak, Michael",W 13:30-14:45 (TOME 118),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 203,01,Information Security,"Whitmore, Jim",TTh 09:00-10:15 (TOME 231),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 232,01,Data Structures and Problem Solving,"MacCormick, John",TTh 10:30-11:45 (ALTHSE 106),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 331,01,Operations Research,"Forrester, Dick",MWF 09:30-10:20 (TOME 121),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 332,01,Analysis of Algorithms,"Forrester, Dick",MTh 13:30-14:45 (TOME 231),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 356,01,Programming Language Structures,"Siddiqui, Farhan",TF 15:00-16:15 (TOME 231),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 491,01,Fall Senior Seminar,"Braught, Grant",TF 13:30-14:45 (TOME 231),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,F,COMP 491,02,Fall Senior Seminar,"MacCormick, John",TF 13:30-14:45 (TOME 232),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,S,COMP 130,01,Introduction to Computing,"Fruchter, Lev",MWF 11:30-12:20 (TOME 118); W 15:00-17:00 (TOME 118),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,S,COMP 130,02,Introduction to Computing,"Skalak, Michael",MWF 09:30-10:20 (TOME 118); Th 15:00-17:00 (TOME 118),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,S,COMP 132,01,Principles of Object-Oriented Design,"Siddiqui, Farhan",MWF 10:30-11:20 (TOME 118); M 13:00-14:59 (TOME 118),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,S,COMP 180,01,Introduction to Data Science,"Liu, Xiexin",TTh 09:00-10:15 (TOME 121),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,S,COMP 180,02,Introduction to Data Science,"Liu, Xiexin",TTh 10:30-11:45 (TOME 121),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,S,COMP 200,01,Database Systems and Data Management for Data Analytics,"Forrester, Dick",MTh 13:30-14:45 (TOME 121),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Dickinson College,2021-22,S,COMP 241,02,Computational Mathematics,"Forrester, Dick",MWF 10:30-11:20 (TOME 121),https://bannercprod.dickinson.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
