college,academic_year,term,course_code,section,course_name,instructor,time,url
Drew University,2021-22,F,CSCI 150,C1,Intro to Comp Sci in Python,Emily M. Hill,MWF 9:10 am - 10:15 am (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=11148
Drew University,2021-22,F,CSCI 150,E2,Intro to Comp Sci in Python,Emily M. Hill,MWF 10:25 am - 11:30 am (Online),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=10514
Drew University,2021-22,F,CSCI 150,J2,Intro to Comp Sci in Python,Diane Liporace,MWF 1:15 pm - 2:20 pm (Brothers College 201),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=10251
Drew University,2021-22,F,CSCI 151,G2,Object Oriented Prog. in Java,Diane Liporace,MWF 11:50 am - 12:55 pm (Brothers College 204),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=10253
Drew University,2021-22,F,CSCI 250,K1,Web Application Development,Ziyuan Meng,TR 1:15 pm - 2:30 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=11042
Drew University,2021-22,F,CSCI 260,C1,Computer Systems and Architecture,Ziyuan Meng,MWF 9:10 am - 10:15 am (Online),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=10516
Drew University,2021-22,F,CSCI 270,F1,Cybersecurity: Philosophy and Ethics,Ziyuan Meng,TR 10:25 am - 11:40 am (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=11036
Drew University,2021-22,F,CSCI 330,T1,Information Management,Steven Neil Kass,MW 2:40 pm - 3:55 pm (Hall of Sciences S4),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=10894
Drew University,2021-22,F,CSCI 335,T2,Functional Programming,Barry Burd,MWF 2:40 pm - 3:45 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=10895
Drew University,2021-22,F,CSCI 340,G1,Software Engineering,Emily M. Hill,MW 11:50 am - 1:05 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=10458
Drew University,2021-22,F,CSCI 345,J2,Mobile Application Development,Barry Burd,MWF 1:15 pm - 2:20 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202210&crn_in=10254
Drew University,2021-22,S,CSCI 150,E1,Intro to Comp Sci in Python,Diane Liporace,MWF 10:25 am - 11:40 am (Online),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30162
Drew University,2021-22,S,CSCI 150,J2,Introduction to Computer Science in Python,Diane Liporace,MWF 1:15 pm - 2:20 pm (Brothers College 120),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30944
Drew University,2021-22,S,CSCI 151,G1,Object Oriented Programming in Java,Diane Liporace,MWF 11:50 am - 1:05 pm (Brothers College 120),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30163
Drew University,2021-22,S,CSCI 230,C2,Data Structures,Emily M. Hill,MW 9:00 am - 10:15 am (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30309
Drew University,2021-22,S,CSCI 235,T2,Quantum Computing,Barry Burd,MWF 2:40 pm - 3:45 pm (Hall of Sciences S139),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30945
Drew University,2021-22,S,CSCI 255,T2,Principles of Cybersecurity,Ziyuan Meng,MWF 2:40 pm - 3:45 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30781
Drew University,2021-22,S,CSCI 350,Z,Computer Networks & Security,Ziyuan Meng,TR 2:40 pm - 3:55 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30580
Drew University,2021-22,S,CSCI 352,F1,Secure Code Analysis,Ziyuan Meng,TR 10:25 am - 11:40 am (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30947
Drew University,2021-22,S,CSCI 370,G2,Algorithm Analysis and Computability,Barry Burd,MWF 11:50 am - 12:55 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30165
Drew University,2021-22,S,CSCI 390,E1,Advanced Topics in Computer Science: Software Engineering Team Project,Emily M. Hill,MW 10:25 am - 11:40 am (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30166
Drew University,2021-22,S,CSCI 400,E1,Applications of Computing to Other Disciplines,Emily M. Hill,MW 10:25 am - 11:40 am (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202230&crn_in=30743
Drew University,2021-22,Su,CSCI 150,S1,Intro to Comp Sci in Python,Diane Liporace,TWR 10:00 am - 12:30 pm (Online),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202240&crn_in=40083
Drew University,2021-22,Su,CSCI 150,S2,Intro to Comp Sci in Python,Adam S Michlin,TWR 10:00 am - 1:10 pm (Brothers College 117),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202240&crn_in=40006
Drew University,2021-22,Su,CSCI 151,S2,Object Oriented Prog. in Java,Diane Liporace,TWR 10:00 am - 12:30 pm (Online),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202240&crn_in=40085
Drew University,2021-22,Su,CSCI 260,S2,Computer Systems and Architecture,Adam S Michlin,TWR 2:30 pm - 5:40 pm (Brothers College 117),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202240&crn_in=40008
Drew University,2022-23,F,CSCI 150,E2,Introduction to Computer Science in Python,Ziyuan Meng,MWF 10:25 am - 11:30 am (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10406
Drew University,2022-23,F,CSCI 150,E21,Introduction to Computer Science in Python,Diane Liporace,MWF 10:25 am - 11:30 am (Brothers College 120),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10804
Drew University,2022-23,F,CSCI 150,J2,Introduction to Computer Science in Python,Diane Liporace,MWF 1:15 pm - 2:20 pm (Online),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10215
Drew University,2022-23,F,CSCI 151,G2,Object Oriented Programming in Java,Diane Liporace,MWF 11:50 am - 12:55 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10216
Drew University,2022-23,F,CSCI 250,J2,Web Application Development,Ziyuan Meng,MWF 1:15 pm - 2:20 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10701
Drew University,2022-23,F,CSCI 260,T2,Computer Systems and Architecture,Valerie (Siyuan) Feng,MWF 2:40 pm - 3:45 pm (Brothers College 120),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10408
Drew University,2022-23,F,CSCI 270,F1,Cybersecurity: Philosophy and Ethics,Ziyuan Meng,TR 10:25 am - 11:40 am (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10695
Drew University,2022-23,F,CSCI 330,Z,Databases and Information Management,Alexander Rudniy,TR 2:40 pm - 3:55 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10571
Drew University,2022-23,F,CSCI 340,H,Software Engineering,Alexander Rudniy,TR 11:50 am - 1:05 pm (Brothers College 21),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10378
Drew University,2022-23,F,CSCI 345,E2,Mobile Application Development,Barry Burd,MWF 10:25 am - 11:30 am (Hall of Sciences S139),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202310&crn_in=10217
Drew University,2022-23,S,CSCI 149,G2,Introduction to Computer Science in JavaScript,Barry Burd,MWF 11:50 am - 12:55 pm (Hall of Sciences S308),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202330&crn_in=31203
Drew University,2022-23,S,CSCI 150,E1,Introduction to Computer Science in Python,Diane Liporace,MWF 10:25 am - 11:40 am (Brothers College 215),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202330&crn_in=30141
Drew University,2022-23,S,CSCI 150,J2,Introduction to Computer Science in Python,Diane Liporace,MWF 1:15 pm - 2:20 pm (Brothers College 215),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202330&crn_in=30578
Drew University,2022-23,S,CSCI 151,G1,Object Oriented Programming in Java,Diane Liporace,MWF 11:50 am - 1:05 pm (Brothers College 215),https://selfservice.drew.edu/prod/bwckschd.p_disp_detail_sched?term_in=202330&crn_in=30142
