college,academic_year,term,course_code,section,course_name,instructor,time,url
Earlham College,2021-22,F,CS 128,1,Programming & Problem Solving,Sofia Noelle Lemons,TTh 12:40-16:00 (Ctr for Science and Technology 317),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 256,0,Data Structures,Douglas E Harms,TTh 12:40-16:00 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 266,1,Computing Skills,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 266,2,Computing Skills,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 281,0,Applied Groups,David Michael Barbella,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 310,0,Algorithms,David Michael Barbella,TTh 12:40-16:00 (Ctr for Science and Technology 314),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 385,0,Independent Study,,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 388,0,Methods For Research and Dissemination in Computer Science,David Michael Barbella,TTh 12:40-16:00 (Ctr for Science and Technology 229),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 420,0,Operating Systems,Douglas E Harms,TTh 08:00-11:20 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 440,0,Programming Languages,Sofia Noelle Lemons,MWF 12:40-16:00 (Ctr for Science and Technology 227),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 481,0,Applied CS Internship,,,https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 481,1,Applied CS Internship,David Michael Barbella,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 481,2,Applied CS Internship,Sofia Noelle Lemons,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 485,1,Independent Study,David Michael Barbella,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 486,1,Student Research,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,F,CS 488,0,Senior Capstone Experience,Charles Franklin Peck,TTh 08:00-11:20 (Ctr for Science and Technology 316),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 128,0,Programming & Problem Solving,Igor Minevich,MWF 10:00-10:50 (Ctr for Science and Technology 300),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 240,0,Computing For Social Good,Douglas E Harms,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 256,0,Data Structures,Douglas E Harms,MWF 10:00-10:50 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 266,0,Computing Skills,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 266,1,Computing Skills,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 266,2,Computing Skills,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 281,0,Applied Groups,"Charles Franklin Peck, Douglas E Harms, Sofia Noelle Lemons",TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 320,0,Principles in Computer Organization,Douglas E Harms,TTh 08:30-09:50 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 335,0,Advanced Data Structures,Igor Minevich,MTh 13:00-14:20 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 360,0,Parallel & Distributed Computation,David Michael Barbella,TF 14:30-15:50 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 365,0,Artificial Intelligence and Machine Learning,Sofia Noelle Lemons,MTh 14:30-15:50 (Ctr for Science and Technology 318),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 388,0,Methods For Research and Dissemination in Computer Science,David Michael Barbella,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 430,0,Database Systems,David Michael Barbella,MWF 11:00-11:50 (Ctr for Science and Technology 317),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 481,0,Applied CS Internship,,,https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 481,1,Applied CS Internship,David Michael Barbella,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 481,2,Applied CS Internship,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 485,0,Independent Study,,,https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 486,1,Student Research,"Emmett Malinda Smith, Seth Hancock Hopper, Charles Franklin Peck",TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 488,0,Senior Capstone Experience,Charles Franklin Peck,W 14:30-15:50 (Ctr for Science and Technology 317),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2021-22,S,CS 488,2,Senior Capstone Experience,David Michael Barbella,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 128,1,Programming & Problem Solving,Sofia Noelle Lemons,MWF 10:00-10:50 (Ctr for Science and Technology 224); W 14:30-15:50 (Ctr for Science and Technology 315),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 128,2,Programming & Problem Solving,David Michael Barbella,MWF 10:00-10:50 (Ctr for Science and Technology 314); Th 08:30-09:50 (Ctr for Science and Technology 315),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 256,0,Data Structures,Douglas E Harms,MWF 10:00-10:50 (Ctr for Science and Technology 229); T 13:00-14:20 (Ctr for Science and Technology 229),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 266,1,Computing Skills,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 266,2,Computing Skills,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 275,0,Computing for Social Good,Douglas E Harms,MTh 14:30-15:50 (Ctr for Science and Technology 229),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 310,0,Algorithms,Sofia Noelle Lemons,MWF 09:00-09:50 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 355,0,Computer Game Design,David Michael Barbella,TF 14:30-15:50 (Ctr for Science and Technology 317),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 388,0,Methods For Research and Dissemination in Computer Science,David Michael Barbella,W 14:30-15:50 (Ctr for Science and Technology 314),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 410,0,Networks & Networking,Douglas E Harms,TTh 08:30-09:50 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 455,0,Computer Game Design Studio,David Michael Barbella,TF 14:30-15:50 (Ctr for Science and Technology 317),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 481,0,Applied CS Internship,,,https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 481,1,Applied CS Internship,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 481,2,Internship,Douglas E Harms,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 485,0,Independent Study,,,https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 486,1,Student Research,Charles Franklin Peck,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,F,CS 486,2,Student Research,Douglas E Harms,TBA (TBA),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
Earlham College,2022-23,S,CS 128,0,Programming & Problem Solving,David Michael Barbella,MWF 10:00-10:50 (Ctr for Science and Technology 224),https://ssb.earlham.edu/frog/bwckschd.p_disp_dyn_sched
