college,academic_year,term,course_code,section,course_name,instructor,time,url
Eckerd College,2021-22,F,CS 120M,001,Computer Programming Concepts,"Hilton, Michael",TTh 11:40-13:10 (MPC 207),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,F,CS 120M,002,Computer Programming Concepts,"Hilton, Michael",TTh 15:20-16:50 (MPC 207),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,F,CS 143,001,Intermediate Programming,"Mauch, Holger",TTh 11:40-13:10 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,F,CS 150M,001,Discrete Structures,"Mauch, Holger",TTh 15:20-16:50 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,F,CS 301,001,Theory of Computing,"Mauch, Holger",TTh 08:20-09:50 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,F,CS 350,001,Graphical User Interface Desgn,"Debure, Kelly",MWF 10:40-11:40 (MPC 206),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,F,CS 411,001,Operating Systems,"Hilton, Michael",TTh 10:00-11:30 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,S,CS 120M,001,Computer Programming Concepts,"Hilton, Michael",TTh 11:40-13:10 (MPC 207),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,S,CS 120M,002,Computer Programming Concepts,"Debure, Kelly",MTh 13:40-15:10 (BES 114),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,S,CS 143,001,Intermediate Programming,"Mauch, Holger",TTh 11:40-13:10 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,S,CS 221N,001,Data Structures,"Hilton, Michael",TTh 10:00-11:30 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,S,CS 330,001,Analysis of Algorithms,"Mauch, Holger",TTh 08:20-09:50 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2021-22,S,CS 498,001,Software Capstone,"Mauch, Holger",F 15:20-18:15 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2022-23,F,CS 120M,001,Computer Programming Concepts,"Debure, Kelly",TTh 11:40-13:10 (MPC 207),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2022-23,F,CS 120M,002,Computer Programming Concepts,"Mauch, Holger",TF 13:40-15:10 (MPC 207),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2022-23,F,CS 143,001,Intermediate Programming,"Mauch, Holger",TTh 11:40-13:10 (BES 114),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2022-23,F,CS 310,001,Computer Architecture (LEC),"Hilton, Michael",TTh 08:20-09:50 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2022-23,F,CS 310,002,Computer Architecture (LAB),"Hilton, Michael",T 13:40-17:00 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2022-23,F,CS 370,001,Data Science Fundamentals,"Hilton, Michael",TTh 10:00-11:30 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2022-23,F,CS 450,001,Computer Graphics,"Debure, Kelly",MWF 10:40-11:40 (MPC 216),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Eckerd College,2022-23,S,CS 120M,001,Computer Programming Concepts,"Hilton, Michael",TTh 10:00-11:30 (SE 104),https://regssb-prod.ban.eckerd.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
