college,academic_year,term,course_code,section,course_name,instructor,time,url
Gettysburg College,2022-23,F,CS 1000-JT,A,Cyberspace & Society,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 10051-SSI,A,Fundamentals & Technology of Computers,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 101-CGB,A,Computer Science I Intro to Programming,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 101-GH,A,Practical Computer Science,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 101-SSI,A,Programming I,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 102-CGB,A,Fundamentals of Computer Game Design & Development,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 102-GH,A,Technical Computer Science,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 103,A,Introduction to Computing,Richard Roth,MW 18:15-19:30 (Glatfelter Hall 201 Computer L),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 103,B,Introduction to Computing,Richard Roth,MW 19:45-21:00 (Glatfelter Hall 201 Computer L),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 103-GH,A,C++ Programming,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 1030-AC,A,IT Fundamentals,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 107,A,Introduction to Scientific Computation,Clif Presser,MWF 11:00-11:50 (Glatfelter Hall 201 Computer L),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 111,A,Computer Science I,Ivaylo Ilinkin,MWF 10:00-10:50 (Glatfelter Hall 112(lLinuxOper),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 111,B,Computer Science I,Ivaylo Ilinkin,MWF 11:00-11:50 (Glatfelter Hall 112(lLinuxOper),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 111,C,Computer Science I,Ivaylo Ilinkin,MWF 13:10-14:00 (Glatfelter Hall 112(lLinuxOper),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 112,A,Computer Science II,Todd Neller,MWF 09:00-09:50 (Glatfelter Hall 112(lLinuxOper),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 124-AW,A,Applied Programming,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 128-AW,A,Computers in Society,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 201,A,The Mathematics of Computation,Daniel White,MWF 12:00-12:50 (Masters Hall 117),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
Gettysburg College,2022-23,F,CS 201-CGB,A,Computer Science II Data Structures,To be Announced,TBA (TBA),https://psinfo1.gettysburg.edu/psc/SA8PROD/EMPLOYEE/HRMS/c/GBC_STUDENT_RECORDS.GBC_GUEST_CLS_SRCH.GBL
