college,academic_year,term,course_code,section,course_name,instructor,time,url
Gordon College,2025-26,S,CPS 121,,Introduction to Programming,"Crisman, K",MWF 13:50-14:50 (KOS 118),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 121,Lab,Introduction to Programming Lab,"Crisman, K",T 09:45-12:45 (KOS 118),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 122,,Object-Oriented Software Dev,"Guo, J",MWF 15:00-16:00 (KOS 124),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 122,Lab,Object-Oriented Software Dev Lab,"Zhang, S",T 13:15-16:15 (KOS 118),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 222,,Data Structures/Algorthms,"Zhang, S",MWF 12:40-13:40 (KOS 202),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 222,Lab,Data Structures/Algorthms Lab,"Zhang, S",T 09:45-12:45 (KOS 244),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 343,,Parallel & High-Performance Comput,"Senning, J",MF 13:50-14:50 (KOS 125),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 353,,Internet Programming,"Guo, J",MWF 09:10-10:10 (KOS 127),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 392,,Junior Seminar II,"Tuck, R",M 16:10-17:40 (KOS 124),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 425,,Internship,"Tuck, R",(TBA),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2025-26,S,CPS 492,,Software Engineering Project II,"Tuck, R",M 16:10-17:40 (KOS 124),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=SP
Gordon College,2026-27,F,CPS 101,,Decoding Computer Science,"Guo, J",MWF 12:40-13:40 (KOS 125),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
Gordon College,2026-27,F,CPS 121,,Introduction to Programming,"Zhang, S",MWF 12:40-13:40 (KOS 124),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
Gordon College,2026-27,F,CPS 121,Lab,Introduction to Programming Lab,"Guo, J",T 13:15-16:15 (KOS 118),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
Gordon College,2026-27,F,CPS 221,,Software Systems,"Zhang, S",MWF 13:50-14:50 (KOS 202),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
Gordon College,2026-27,F,CPS 221,Lab,Software Systems Lab,"Zhang, S",T 09:45-12:45 (KOS 244),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
Gordon College,2026-27,F,CPS 330,,Machine Learning,"Guo, J",MWF 15:00-16:00 (KOS 127),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
Gordon College,2026-27,F,CPS 391,,Junior Seminar I,"Guo, J",M 16:10-17:40 (KOS 127),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
Gordon College,2026-27,F,CPS 403,,Computers and Society,"Tuck, R",MWF 11:30-12:30 (TAV 126),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
Gordon College,2026-27,F,CPS 491,,Software Engineering Project I,"Tuck, R",M 16:10-17:40 (KOS 127),https://wwwapps.gordon.edu/apps/courses/schedule.cfm?strTerm=FA
