college,academic_year,term,course_code,section,course_name,instructor,time,url
Goucher College,2023-24,S,CS 119,001,Foundations of Computer Science,"Zimmerman, Jill",TuesThur 1:30 PM - 3:20 PM,
Goucher College,2023-24,S,CS 224,001,Prin Programing Language,"Zimmerman, Jill",TuesThur 9:30 AM - 11:20 AM,
Goucher College,2023-24,S,CS 224I,001,Prin Programming Lang (Pursued Ind),"Zimmerman, Jill",7:00 AM - 7:00 AM,
Goucher College,2023-24,S,CS 290,001,Internship: Computer Sci,"TBA, STAFF",7:00 AM - 7:00 AM,
Goucher College,2023-24,S,CS 290,002,Internship: Computer Sci,"Kelliher, Tom",7:00 AM - 7:00 AM,
Goucher College,2023-24,S,CS 299,001,Indepndt Work in Comp Sci,"Zimmerman, Jill",7:00 AM - 7:00 AM,
Goucher College,2023-24,S,CS 415,001,Computing Systems Security,"Kelliher, Tom",TuesThur 1:30 PM - 3:20 PM,
Goucher College,2023-24,S,CS 497,001,Senior Project,"Narock, Thomas",7:00 AM - 7:00 AM,
Goucher College,2023-24,S,CS 497,002,Senior Project,"Zimmerman, Jill",7:00 AM - 7:00 AM,
Goucher College,2023-24,S,CS 497,003,Senior Project,"Kelliher, Tom",7:00 AM - 7:00 AM,
Goucher College,2023-24,Su,CS 290,001,Internship: Computer Sci,"TBA, STAFF",7:00 AM - 7:00 AM,
Goucher College,2024-25,F,CS 116,001,Intro to Computer Science,"Zimmerman, Jill",MonWed 8:40 AM - 10:30 AM,
Goucher College,2024-25,F,CS 116,002,Intro to Computer Science,"Zimmerman, Jill",TuesThur 9:30 AM - 11:20 AM,
Goucher College,2024-25,F,CS 205,001,Software Development,"Kelliher, Tom",TuesThur 9:30 AM - 11:20 AM,
Goucher College,2024-25,F,CS 290,001,Internship: Computer Sci,"TBA, STAFF",7:00 AM - 7:00 AM,
Goucher College,2024-25,F,CS 290,002,Internship: Computer Sci,"Kelliher, Tom",7:00 AM - 7:00 AM,
Goucher College,2024-25,F,CS 299,001,Indepndt Work in Comp Sci,"Kelliher, Tom",7:00 AM - 7:00 AM,
Goucher College,2024-25,F,CS 299,002,Indepndt Work in Comp Sci,"Zimmerman, Jill",7:00 AM - 7:00 AM,
