college,academic_year,term,course_code,section,course_name,instructor,time,url
Grinnell College,2025-26,S,CSC-105,01,The Digital Age w/lab,Liz Rodrigues,T/Th 8:30 AM - 9:50 AM,
Grinnell College,2026-27,S,CSC-151,01,Functional Prob Solving w/lab,Samuel Rebelsky,M/W/F 8:00 AM - 9:20 AM,
Grinnell College,2026-27,S,CSC-151,02,Functional Prob Solving w/lab,Shawn Ong,M/W/F 1:10 PM - 2:30 PM,
Grinnell College,2026-27,F,CSC-151,01,Functional Prob Solving W/Lab,Samuel Rebelsky,M/W/F 8:00 AM - 9:20 AM,
Grinnell College,2026-27,F,CSC-151,02,Functional Prob Solving W/Lab,Samuel Rebelsky,M/W/F 9:30 AM - 10:50 AM,
Grinnell College,2026-27,F,CSC-151,03,Functional Prob Solving W/Lab,Samuel Rebelsky,M/W/F 2:40 PM - 4:00 PM,
Grinnell College,2025-26,S,CSC-151,01,Functional Prob Solving w/lab,Nicole Eikmeier,M/W/F 8:30 AM - 9:50 AM,
Grinnell College,2025-26,S,CSC-151,02,Functional Prob Solving w/lab,Nicole Eikmeier,M/W/F 10:00 AM - 11:20 AM,
Grinnell College,2025-26,S,CSC-151,03,Functional Prob Solving w/lab,Nicole Eikmeier,M/W/F 1:00 PM - 2:20 PM,
Grinnell College,2026-27,F,CSC-161,01,Imperative Prob Solving w/lab,Mr. Zachary J. Susag,M/W/F 8:00 AM - 9:20 AM,
Grinnell College,2026-27,F,CSC-161,02,Imperative Prob Solving w/lab,Mr. Zachary J. Susag,M/W/F 1:10 PM - 2:30 PM,
Grinnell College,2025-26,S,CSC-161,01,Imperative Prob Solving w/lab,Charlie Curtsinger,T/Th 8:00 AM - 9:50 AM,
Grinnell College,2025-26,S,CSC-161,02,Imperative Prob Solving w/lab,William L. Rebelsky,T/Th 2:00 PM - 3:50 PM,
Grinnell College,2026-27,S,CSC-161,01,Imperative Prob Solving w/lab,Charlie Curtsinger,T/Th 8:00 AM - 9:50 AM,
Grinnell College,2026-27,S,CSC-161,02,Imperative Prob Solving w/lab,Charlie Curtsinger,T/Th 2:10 PM - 4:00 PM,
Grinnell College,2025-26,S,CSC-207,01,"OO Prob Slvg, Data Struc/Alg",Peter-Michael S. Osera,M/W/F 10:00 AM - 11:20 AM,
Grinnell College,2026-27,F,CSC-207,01,"OO Prob Slvg, Data Struc/Alg",Fernanda M. Eliott,M/W/F 9:30 AM - 10:50 AM,
Grinnell College,2026-27,F,CSC-207,02,"OO Prob Slvg, Data Struc/Alg",Fernanda M. Eliott,M/W/F 1:10 PM - 2:30 PM,
Grinnell College,2026-27,S,CSC-207,01,"OO Prob Slvg, Data Struc/Alg",Samuel Rebelsky,M/W/F 9:30 AM - 10:50 AM,
Grinnell College,2026-27,S,CSC-207,02,"OO Prob Slvg, Data Struc/Alg",Mr. Zachary J. Susag,M/W/F 2:40 PM - 4:00 PM,
Grinnell College,2025-26,S,CSC-208,01,Discrete Structures,William L. Rebelsky,T/Th 8:00 AM - 9:50 AM,
Grinnell College,2026-27,F,CSC-208,01,Discrete Structures,William L. Rebelsky,T/Th 8:00 AM - 9:20 AM,
Grinnell College,2026-27,S,CSC-208,01,Discrete Structures,William L. Rebelsky,T/Th 8:00 AM - 9:20 AM,
Grinnell College,2025-26,S,CSC-211,01,Comp Org/Architecture w/lab,Jerod Weinman,M/W/F 10:00 AM - 11:50 AM,
Grinnell College,2025-26,S,CSC-211,02,Comp Org/Architecture w/lab,Jerod Weinman,M/W/F 2:00 PM - 3:50 PM,
Grinnell College,2026-27,S,CSC-211,01,Comp Org/Architecture w/lab,Jerod Weinman,M/W/F 10:00 AM - 11:50 AM,
Grinnell College,2026-27,S,CSC-211,02,Comp Org/Architecture w/lab,Jerod Weinman,M/W/F 2:10 PM - 4:00 PM,
Grinnell College,2026-27,F,CSC-213,01,Oper Sys/Paral Algor w/lab,Charlie Curtsinger,M/W/F 10:00 AM - 11:50 AM,
Grinnell College,2026-27,F,CSC-213,02,Oper Sys/Paral Algor w/lab,Charlie Curtsinger,M/W/F 2:10 PM - 4:00 PM,
Grinnell College,2025-26,S,CSC-261,01,Artificial Intelligence,Fernanda M. Eliott,M/W/F 10:00 AM - 11:20 AM,
Grinnell College,2026-27,F,CSC-262,01,Computer Vision,Jerod Weinman,T/Th 8:00 AM - 9:50 AM,
Grinnell College,2025-26,S,CSC-301,01,Analysis of Algorithms,Samuel Rebelsky,M/W/F 10:00 AM - 11:20 AM,
Grinnell College,2025-26,S,CSC-301,02,Analysis of Algorithms,Peter-Michael S. Osera,M/W/F 2:30 PM - 3:50 PM,
Grinnell College,2026-27,F,CSC-301,01,Analysis of Algorithms,William L. Rebelsky,T/Th 9:30 AM - 10:50 AM,
Grinnell College,2026-27,F,CSC-301,02,Analysis of Algorithms,William L. Rebelsky,T/Th 1:10 PM - 2:30 PM,
Grinnell College,2026-27,S,CSC-301,01,Analysis of Algorithms,William L. Rebelsky,T/Th 9:30 AM - 10:50 AM,
