college,academic_year,term,course_code,section,course_name,instructor,time,url
Gustavus Adolphus College,2025-26,S,MCS-115,001,Nature of Math,"Chen, Baili",T/Th 9:45 AM - 11:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-121,001,Calculus I,"Chen, Baili",M/W/F 10:30 AM - 11:35 AM,
Gustavus Adolphus College,2025-26,S,MCS-122,001,Calculus II,"Chen, Baili",M/W/F 11:45 AM - 12:50 PM,
Gustavus Adolphus College,2025-26,S,MCS-142,001,Intro Statistics,"Nienow, Aaron K.",M/W/F 8:00 AM - 9:05 AM,
Gustavus Adolphus College,2025-26,S,MCS-142,002,Intro Statistics,"Downey, Jillian D.",M/W/F 9:15 AM - 10:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-142,003,Intro Statistics,"Hildreth, Laura A.",M/W/F 10:30 AM - 11:35 AM,
Gustavus Adolphus College,2025-26,S,MCS-150,001,Discrete Mathematics,"Siehler, Jacob A.",M/W/F 11:45 AM - 12:50 PM,
Gustavus Adolphus College,2025-26,S,MCS-150,002,Discrete Mathematics,"Siehler, Jacob A.",M/W/F 1:00 PM - 2:05 PM,
Gustavus Adolphus College,2025-26,S,MCS-177,001,Computer Science I,"Salivia, Guarionex J.",M/W/F 9:15 AM - 10:05 AM,
Gustavus Adolphus College,2025-26,S,MCS-177,003,Comp Sci I Lab,"Salivia, Guarionex J.",T 8:30 AM - 10:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-177,004,Comp Sci I Lab,"Salivia, Guarionex J.",Th 8:30 AM - 10:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-177,005,Comp Sci I Lab,"Yu, Louis L.",Th 1:00 PM - 2:50 PM,
Gustavus Adolphus College,2025-26,S,MCS-178,001,Computer Science II,"Yu, Louis L.",M/W/F 10:30 AM - 11:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-178,003,Comp Sci II Lab,"Salivia, Guarionex J.",T 8:30 AM - 10:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-178,004,Comp Sci II Lab,"Salivia, Guarionex J.",Th 8:30 AM - 10:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-178,005,Comp Sci II Lab,"Yu, Louis L.",Th 1:00 PM - 2:50 PM,
Gustavus Adolphus College,2025-26,S,MCS-210,001,Computing in Society,"Salivia, Guarionex J.",M/W/F 1:00 PM - 2:05 PM,
Gustavus Adolphus College,2025-26,S,MCS-213,001,Algebraic Structures,"Ford, Jeffrey M.",M/W/F 10:30 AM - 11:35 AM,
Gustavus Adolphus College,2025-26,S,MCS-222,001,Multivariable Calculus,"Ford, Jeffrey M.",M/W/F 11:45 AM - 12:50 PM,
Gustavus Adolphus College,2025-26,S,MCS-240,001,Statistical Computing and Visu,"Nienow, Aaron K.",T/Th 8:00 AM - 9:35 AM,
Gustavus Adolphus College,2025-26,S,MCS-243,001,Design of Experiments,"Hildreth, Laura A.",T/Th 8:00 AM - 9:35 AM,
Gustavus Adolphus College,2025-26,S,MCS-250,001,Discrete Mathematics II,"Siehler, Jacob A.",M/W/F 9:15 AM - 10:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-287,001,Prin Program Languages,"Yu, Louis L.",M/W/F 8:00 AM - 9:05 AM,
Gustavus Adolphus College,2025-26,S,MCS-332,001,Topology,"Ford, Jeffrey M.",M/W/F 8:00 AM - 9:05 AM,
Gustavus Adolphus College,2025-26,S,MCS-342,001,Probability & Stats II,"Downey, Jillian D.",M/W/F 11:45 AM - 12:50 PM,
Gustavus Adolphus College,2025-26,S,MCS-349,001,Statistical Consulting,"Hildreth, Laura A.",M/W/F 9:15 AM - 10:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-374,001,Software Engineering,"Yu, Louis L. Salivia, Guarionex J.",T/Th 12:00 PM - 1:35 PM,
Gustavus Adolphus College,2025-26,S,MCS-376,001,Intro Systems II,"Million, Flint D. Downey, Jillian D.",T/Th 9:45 AM - 11:20 AM,
Gustavus Adolphus College,2025-26,S,MCS-394,001,ST: Game Development,"Salivia, Guarionex J. Yu, Louis L.",T/Th 1:45 PM - 3:20 PM,
Gustavus Adolphus College,2026-27,F,MCS-115,001,Nature of Math,"LoFaro, Thomas P.",T/Th 8:00 AM - 9:35 AM,
Gustavus Adolphus College,2026-27,F,MCS-115,002,Nature of Math,"Chen, Baili",T/Th 9:45 AM - 11:20 AM,
Gustavus Adolphus College,2026-27,F,MCS-121,001,Calculus I,"Ford, Jeffrey M.",M/W/F 8:00 AM - 9:05 AM,
Gustavus Adolphus College,2026-27,F,MCS-121,002,Calculus I,"Chen, Baili",M/W/F 11:45 AM - 12:50 PM,
Gustavus Adolphus College,2026-27,F,MCS-122,001,Calculus II,"LoFaro, Thomas P.",M/W/F 8:00 AM - 9:05 AM,
Gustavus Adolphus College,2026-27,F,MCS-142,001,Intro Statistics,"Nienow, Aaron K.",M/W/F 8:00 AM - 9:05 AM,
Gustavus Adolphus College,2026-27,F,MCS-142,002,Intro Statistics,"Hildreth, Laura A.",M/W/F 9:15 AM - 10:20 AM,
Gustavus Adolphus College,2026-27,F,MCS-142,003,Intro Statistics,"Hildreth, Laura A.",M/W/F 11:45 AM - 12:50 PM,
Gustavus Adolphus College,2026-27,F,MCS-142,004,Intro Statistics,"Kongyir, Benedict",M/W/F 1:00 PM - 2:05 PM,
Gustavus Adolphus College,2026-27,F,MCS-142,005,Intro Statistics,"Kongyir, Benedict",M/W/F 2:15 PM - 3:20 PM,
Gustavus Adolphus College,2026-27,F,MCS-150,001,Discrete Mathematics,"Siehler, Jacob A.",M/W/F 1:00 PM - 2:05 PM,
Gustavus Adolphus College,2026-27,F,MCS-150,002,Discrete Mathematics,"Siehler, Jacob A.",M/W/F 2:15 PM - 3:20 PM,
Gustavus Adolphus College,2026-27,F,MCS-177,001,Computer Science I,"Salivia, Guarionex J.",M/W/F 10:30 AM - 11:20 AM,
Gustavus Adolphus College,2026-27,F,MCS-177,003,Comp Sci I Lab,"Tan, Pan",T 8:30 AM - 10:20 AM,
Gustavus Adolphus College,2026-27,F,MCS-177,004,Comp Sci I Lab,"Tan, Pan",Th 8:30 AM - 10:20 AM,
Gustavus Adolphus College,2026-27,F,MCS-177,005,Comp Sci I Lab,"Salivia, Guarionex J.",Th 1:00 PM - 2:50 PM,
Gustavus Adolphus College,2026-27,F,MCS-178,001,Computer Science II,"Tan, Pan",M/W/F 2:15 PM - 3:05 PM,
Gustavus Adolphus College,2026-27,F,MCS-178,003,Comp Sci II Lab,"Tan, Pan",T 8:30 AM - 10:20 AM,
Gustavus Adolphus College,2026-27,F,MCS-178,004,Comp Sci II Lab,"Tan, Pan",Th 8:30 AM - 10:20 AM,
Gustavus Adolphus College,2026-27,F,MCS-178,005,Comp Sci II Lab,"Salivia, Guarionex J.",Th 1:00 PM - 2:50 PM,
Gustavus Adolphus College,2026-27,F,MCS-189,001,Introduction to Data,"Tan, Pan",M/W/F 11:45 AM - 12:50 PM,
Gustavus Adolphus College,2026-27,F,MCS-210,001,Computing in Society,"Salivia, Guarionex J.",T/Th 9:45 AM - 11:20 AM,
Gustavus Adolphus College,2026-27,F,MCS-221,001,Linear Algebra,"Ford, Jeffrey M.",M/W/F 1:00 PM - 2:05 PM,
