college,academic_year,term,course_code,section,course_name,instructor,time,url
Hampden-Sydney College,2021-22,F,COMS 161,01,Introduction to Computing/,"Hemler, Paul Francis","MWF 12:30 PM-1:20 PM; Main Campus, Johns Auditorium, Johns Auditorium 207",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,F,COMS 161,02,Introduction to Computing/,"Jaiyeola, Mercy Oluwadara","MWF 9:30 AM-10:20 AM; Main Campus, Johns Auditorium, Johns Auditorium 207",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,F,COMS 261,01,Computer Science I/,"Hemler, Paul Francis","MWF 8:30 AM-9:20 AM; Main Campus, Johns Auditorium, Johns Auditorium 008 | R 1:30 PM-3:50 PM; Main Campus, Johns Auditorium, Johns Auditorium 008",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,F,COMS 261,02,Computer Science I/,"Jaiyeola, Mercy Oluwadara","MWF 11:30 AM-12:20 PM; Main Campus, Johns Auditorium, Johns Auditorium 008 | T 1:30 PM-3:50 PM; Main Campus, Johns Auditorium, Johns Auditorium 008",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,F,COMS 361,01,Computer Organization/,"Hemler, Paul Francis","MWF 10:30 AM-11:20 AM; Main Campus, Johns Auditorium, Johns Auditorium 008",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,F,COMS 385,01,Special Topics in Computer Science/Data Science,"Jaiyeola, Mercy Oluwadara","MWF 1:30 PM-2:20 PM; Main Campus, Johns Auditorium, Johns Auditorium 008",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,F,COMS 461,01,Theory of Computing/,"Valente, Thomas","MWF 2:30 PM-3:20 PM; Main Campus, Morton Hall, Morton Hall 120",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,S,COMS 161,01,Introduction to Computing/,"Jaiyeola, Mercy Oluwadara","MWF 8:30 AM-9:20 AM; Main Campus, Gilmer Hall, N/A",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,S,COMS 261,01,Computer Science I/,"Jaiyeola, Mercy Oluwadara","MWF 10:30 AM-11:20 AM; Main Campus, Johns Auditorium, Johns Auditorium 008 | T 1:30 PM-3:20 PM; Main Campus, Johns Auditorium, Johns Auditorium 008",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,S,COMS 262,01,Computer Science II/,"Hemler, Paul Francis","MWF 9:30 AM-10:20 AM; Main Campus, Johns Auditorium, Johns Auditorium 008 | R 1:30 PM-3:20 PM; Main Campus, Johns Auditorium, Johns Auditorium 008",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,S,COMS 321,01,Cryptography/,"Jaiyeola, Mercy Oluwadara","MWF 2:30 PM-3:20 PM; Main Campus, Morton Hall, Morton Hall 217",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,S,COMS 362,01,Data Structure and Algorithms/,"Hemler, Paul Francis","MWF 11:30 AM-12:20 PM; Main Campus, Johns Auditorium, Johns Auditorium 008",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2021-22,S,COMS 480,01,Advanced Topics in Computer Science/,"Hemler, Paul Francis","MWF 1:30 PM-2:20 PM; Main Campus, Johns Auditorium, Johns Auditorium 008",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2022-23,F,COMS 161,01,Introduction to Computing/,"Hemler, Paul Francis","MWF 8:30 AM-9:20 AM; Main Campus, Pauley Science Center, Pauley Science Center 100 Computer Lab",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
Hampden-Sydney College,2022-23,F,COMS 261,02,Computer Science I/COMS 271 co-req required,"Hemler, Paul Francis","MWF 11:30 AM-12:20 PM; Main Campus, Pauley Science Center, Pauley Science Center 100 Computer Lab",https://tigerweb.hsc.edu/ICS/Course_Search.jnz?portlet=AddDrop_Courses_2014-08-05T12-46-04-281&screen=Advanced+Course+Search&screenType=next
