college,academic_year,term,course_code,section,course_name,instructor,time,url
Hartwick College,2026-27,F,CISC-118,1A,Game Programming,Dr. Mark B. Wolff,M/W/F 8:00 AM - 8:55 AM,
Hartwick College,2026-27,F,CISC-120,4B,Cracking the Code,Scott DeJong,M/W/F 11:15 AM - 12:10 PM,
Hartwick College,2025-26,S,CISC-150,2D,Foundations of Data Analytics,Weian Wang,M/W/F 9:05 AM - 10:00 AM,
Hartwick College,2026-27,F,CISC-150,6D,Foundations of Data Analytics,Weian Wang,M/W/F 1:25 PM - 2:20 PM,
Hartwick College,2026-27,F,CISC-150,3A,Introduction to Cybersecurity,Mr. Howard M. Lichtman,M/W/F 10:10 AM - 11:05 AM,
Hartwick College,2025-26,S,CISC-160,3C,Database Concepts,Scott DeJong,M/W/F 10:10 AM - 11:05 AM,
Hartwick College,2025-26,S,CISC-225,4A,Adv Programming Techniques,Mr. Howard M. Lichtman,M/W/F 11:15 AM - 12:10 PM,
Hartwick College,2025-26,S,CISC-250,6B,Software Code Control W/ Git,Scott DeJong,M/W/F 1:25 PM - 2:20 PM,
Hartwick College,2026-27,F,CISC-250,4C,Network and System Security,Mr. Howard M. Lichtman,M/W/F 11:15 AM - 12:10 PM,
Hartwick College,2026-27,F,CISC-260,2B,Designing Information Systems,Weian Wang,M/W/F 9:05 AM - 10:00 AM,
Hartwick College,2026-27,F,CISC-320,6D,Computing in the Cloud,Scott DeJong,M/W/F 1:25 PM - 2:20 PM,
Hartwick College,2025-26,S,CISC-345,3C,Computer Security,Mr. Howard M. Lichtman,M/W/F 10:10 AM - 11:05 AM,
