college,academic_year,term,course_code,section,course_name,instructor,time,url
Harvey Mudd College,2021-22,F,CSCI-005,01,Introduction to Computer Science,"Zachary Dodds, Alexandra Schofield",TR 8:00-9:15,
Harvey Mudd College,2021-22,F,CSCI-005,02,Introduction to Computer Science,Geoffrey Kuenning,TR 9:35-10:50,
Harvey Mudd College,2021-22,F,CSCI-005GR,01,Intro to Biology & Computer Sci,"Eliot Bush, Morgan Carr-Markell, Joseph Wirth",TR 9:35-10:50; R 13:15-15:15,
Harvey Mudd College,2021-22,F,CSCI-005L,01,Intro to Computer Science Lab,Staff,T 14:55-16:55,
Harvey Mudd College,2021-22,F,CSCI-005L,02,Intro to Computer Science Lab,Staff,T 18:15-20:15,
Harvey Mudd College,2021-22,F,CSCI-005L,03,Intro to Computer Science Lab,Staff,W 14:55-16:55,
Harvey Mudd College,2021-22,F,CSCI-005L,04,Intro to Computer Science Lab,Staff,W 18:15-20:15,
Harvey Mudd College,2021-22,F,CSCI-042,01,Principles & Practice: Comp Sci,Benjamin Wiedermann,TR 9:35-10:50,
Harvey Mudd College,2021-22,F,CSCI-060,01,Principles of Computer Science,"Yi-Chieh Wu, Katherine Breeden",TR 13:20-14:35,
Harvey Mudd College,2021-22,F,CSCI-070,01,Data Structures/Prgm Development,"Melissa O'Neill, Erin Talvitie",MW 9:35-10:50,
Harvey Mudd College,2021-22,F,CSCI-070,02,Data Structures/Prgm Development,"Erin Talvitie, Melissa O'Neill",MW 11:10-12:25,
Harvey Mudd College,2021-22,F,CSCI-070,03,Data Structures/Prgm Development,"Melissa O'Neill, Erin Talvitie",MW 13:20-14:35,
Harvey Mudd College,2021-22,F,CSCI-070,04,Data Structures/Prgm Development,"Melissa O'Neill, Erin Talvitie",MW 14:55-16:10,
Harvey Mudd College,2021-22,F,CSCI-081,01,Computability and Logic,Christopher Stone,TR 8:00-9:15,
Harvey Mudd College,2021-22,F,CSCI-081,02,Computability and Logic,Christopher Stone,TR 9:35-10:50,
Harvey Mudd College,2021-22,F,CSCI-105,01,Computer Systems,Katherine Trushkowsky,MW 11:10-12:25; F 13:20-14:35,
Harvey Mudd College,2021-22,F,CSCI-105,02,Computer Systems,Katherine Trushkowsky,MW 13:20-14:35; F 13:20-14:35,
Harvey Mudd College,2021-22,F,CSCI-124,01,Interaction Design,Neil Rhodes,MW 13:20-14:35,
Harvey Mudd College,2021-22,F,CSCI-124,02,Interaction Design,Neil Rhodes,MW 14:55-16:10,
Harvey Mudd College,2021-22,F,CSCI-125,01,Computer Networks,Geoffrey Kuenning,MW 11:10-12:25,
Harvey Mudd College,2021-22,F,CSCI-131,01,Programming Languages,Lucas Bang,MW 9:35-10:50; M 16:30-17:30; M 16:15-17:15,
Harvey Mudd College,2021-22,F,CSCI-131,02,Programming Languages,Lucas Bang,M 16:30-17:30; MW 11:10-12:25; M 16:15-17:15,
Harvey Mudd College,2021-22,F,CSCI-140,01,Algorithms,George Montanez,MW 13:20-14:35,
Harvey Mudd College,2021-22,F,CSCI-140,02,Algorithms,George Montanez,MW 14:55-16:10,
Harvey Mudd College,2021-22,F,CSCI-151,01,Artificial Intelligence,"Yi-Chieh Wu, James Boerkoel",MW 9:35-10:50,
Harvey Mudd College,2021-22,F,CSCI-153,01,Computer Vision,Calden Wloka,TR 13:20-14:35,
Harvey Mudd College,2021-22,F,CSCI-153,02,Computer Vision,Calden Wloka,TR 14:55-16:10,
Harvey Mudd College,2021-22,F,CSCI-159,01,Natural Language Processing,Alexandra Schofield,MW 9:35-10:50,
Harvey Mudd College,2021-22,F,CSCI-181AA,01,Software Engineering,Mark Kampe,TR 13:25-14:35; F 9:00-10:50,
Harvey Mudd College,2021-22,F,CSCI-181AB,01,Financial Modeling&Machine Learn,Elizabeth Sweedyk,TR 13:20-14:35,
Harvey Mudd College,2021-22,F,CSCI-181AB,02,Financial Modeling&Machine Learn,Elizabeth Sweedyk,TR 14:55-16:10,
Harvey Mudd College,2021-22,F,CSCI-183,01,Computer Science Clinic I,"Katherine Breeden, Staff",T 11:10-12:25; MW 7:40-8:30,
Harvey Mudd College,2021-22,F,CSCI-186,01,Comp Sci Research/Indep Study,Staff,,
Harvey Mudd College,2021-22,F,CSCI-189,01,Programming Practicum,Zachary Dodds,,
Harvey Mudd College,2021-22,F,CSCI-195,01,Computer Science Colloquium,Melissa O'Neill,R 16:30-17:45,
Harvey Mudd College,2021-22,F,CSCI-195,02,Computer Science Colloquium,Melissa O'Neill,,
Harvey Mudd College,2021-22,S,CSCI-005,01,Introduction to Computer Science,"Sarah Kavassalis, Alexandra Schofield",TR 13:15-14:30; T 14:45-16:45,
Harvey Mudd College,2021-22,S,CSCI-060,01,Principles of Computer Science,Yi-Chieh Wu,MW 13:15-14:30,
Harvey Mudd College,2021-22,S,CSCI-070,01,Data Structures/Prgm Development,"Melissa O'Neill, Erin Talvitie",TR 8:10-9:25,
Harvey Mudd College,2021-22,S,CSCI-070,02,Data Structures/Prgm Development,"Melissa O'Neill, Erin Talvitie",TR 9:35-10:50,
Harvey Mudd College,2021-22,S,CSCI-070,03,Data Structures/Prgm Development,"Melissa O'Neill, Erin Talvitie",TR 13:15-14:30,
Harvey Mudd College,2021-22,S,CSCI-070,04,Data Structures/Prgm Development,"Melissa O'Neill, Erin Talvitie",TR 14:45-16:00,
Harvey Mudd College,2021-22,S,CSCI-081,01,Computability and Logic,Christopher Stone,MW 11:00-12:15,
Harvey Mudd College,2021-22,S,CSCI-105,01,Computer Systems,Geoffrey Kuenning,TR 13:15-14:30; F 13:15-14:30,
Harvey Mudd College,2021-22,S,CSCI-105,02,Computer Systems,Geoffrey Kuenning,TR 14:45-16:00; F 13:15-14:30,
Harvey Mudd College,2021-22,S,CSCI-124,01,Interaction Design,Neil Rhodes,MW 13:15-14:30,
Harvey Mudd College,2021-22,S,CSCI-124,02,Interaction Design,Neil Rhodes,MW 14:45-16:00,
Harvey Mudd College,2021-22,S,CSCI-131,01,Programming Languages,Lucas Bang,MW 9:35-10:50,
Harvey Mudd College,2021-22,S,CSCI-131,02,Programming Languages,Lucas Bang,MW 11:00-12:15,
Harvey Mudd College,2021-22,S,CSCI-132,01,Compiler Design,Benjamin Wiedermann,TR 9:35-10:50,
Harvey Mudd College,2021-22,S,CSCI-133,01,Database Systems,Katherine Trushkowsky,MW 9:35-10:50,
Harvey Mudd College,2021-22,S,CSCI-133,02,Database Systems,Katherine Trushkowsky,MW 11:00-12:15,
Harvey Mudd College,2021-22,S,CSCI-134,01,Operating Systems,Mark Kampe,TR 13:15-14:30; F 9:00-9:50,
Harvey Mudd College,2021-22,S,CSCI-140,01,Algorithms,George Montanez,TR 13:15-14:30,
Harvey Mudd College,2021-22,S,CSCI-140,02,Algorithms,George Montanez,TR 14:45-16:00,
Harvey Mudd College,2021-22,S,CSCI-144,01,Scientific Computing,Allon Percus,MW 14:45-16:00,
Harvey Mudd College,2021-22,S,CSCI-153,01,Computer Vision,Calden Wloka,TR 13:15-14:30,
Harvey Mudd College,2021-22,S,CSCI-153,02,Computer Vision,Calden Wloka,TR 14:45-16:00,
Harvey Mudd College,2021-22,S,CSCI-159,01,Natural Language Processing,Ryan Jackson,MW 13:15-14:30,
Harvey Mudd College,2021-22,S,CSCI-159,02,Natural Language Processing,Ryan Jackson,MW 14:45-16:00,
Harvey Mudd College,2021-22,S,CSCI-181AC,01,Experiments in Human Vision,Katherine Breeden,M 14:45-17:30,
Harvey Mudd College,2021-22,S,CSCI-181AD,01,Advances in NLP w/Deep Learning,Aashita Kesarwani,T 16:15-17:30,
Harvey Mudd College,2021-22,S,CSCI-181Y,01,Computer Science for Inquiry,Zachary Dodds,M 19:00-21:45,
Harvey Mudd College,2021-22,S,CSCI-184,01,Computer Science Clinic II,"Zachary Dodds, Katherine Breeden, Staff",T 11:00-12:15; MW 8:00-8:50,
Harvey Mudd College,2021-22,S,CSCI-186,01,Comp Sci Research/Indep Study,Staff,,
Harvey Mudd College,2021-22,S,CSCI-189,01,Programming Practicum,Zachary Dodds,,
Harvey Mudd College,2021-22,S,CSCI-195,01,Computer Science Colloquium,Melissa O'Neill,R 16:15-17:30,
Harvey Mudd College,2021-22,S,CSCI-195,02,Computer Science Colloquium,Melissa O'Neill,,
Harvey Mudd College,2022-23,F,CSCI-005,01,Introduction to Computer Science,Zachary Dodds,TR 9:35-10:50,
Harvey Mudd College,2022-23,F,CSCI-005,02,Introduction to Computer Science,Geoffrey Kuenning,TR 9:35-10:50,
Harvey Mudd College,2022-23,F,CSCI-005L,01,Intro to Computer Science Lab,Staff,T 14:45-16:45,
Harvey Mudd College,2022-23,F,CSCI-005L,02,Intro to Computer Science Lab,Staff,W 14:45-16:45,
Harvey Mudd College,2022-23,F,CSCI-005L,03,Intro to Computer Science Lab,Staff,,
Harvey Mudd College,2022-23,F,CSCI-042,01,Principles & Practice: Comp Sci,Benjamin Wiedermann,TR 9:35-10:50,
Harvey Mudd College,2022-23,F,CSCI-060,01,Principles of Computer Science,"James Boerkoel, Benjamin Wiedermann, Ryan Jackson",TR 13:15-14:30,
Harvey Mudd College,2022-23,F,CSCI-070,01,Data Structures/Prgm Development,"Melissa O'Neill, Calden Wloka",MW 9:35-10:50,
Harvey Mudd College,2022-23,F,CSCI-070,02,Data Structures/Prgm Development,"Calden Wloka, Melissa O'Neill",MW 11:00-12:15,
Harvey Mudd College,2022-23,F,CSCI-070,03,Data Structures/Prgm Development,"Calden Wloka, Melissa O'Neill",MW 13:15-14:30,
Harvey Mudd College,2022-23,F,CSCI-070,04,Data Structures/Prgm Development,"Calden Wloka, Melissa O'Neill",MW 14:45-16:00,
Harvey Mudd College,2022-23,F,CSCI-081,01,Computability and Logic,George Montanez,MW 13:15-14:30,
Harvey Mudd College,2022-23,F,CSCI-081,02,Computability and Logic,George Montanez,MW 14:45-16:00,
Harvey Mudd College,2022-23,F,CSCI-105,01,Computer Systems,Elizabeth Sweedyk,MW 11:00-12:15; F 13:15-14:30,
Harvey Mudd College,2022-23,F,CSCI-105,02,Computer Systems,Elizabeth Sweedyk,MW 13:15-14:30; F 13:15-14:30,
Harvey Mudd College,2022-23,F,CSCI-131,01,Programming Languages,Lucas Bang,MW 9:35-10:50,
Harvey Mudd College,2022-23,F,CSCI-131,02,Programming Languages,Lucas Bang,MW 11:00-12:15,
Harvey Mudd College,2022-23,F,CSCI-137,01,File Systems,Geoffrey Kuenning,TR 13:15-14:30,
Harvey Mudd College,2022-23,F,CSCI-140,01,Algorithms,Alexandra Schofield,MW 13:15-14:30,
Harvey Mudd College,2022-23,F,CSCI-140,02,Algorithms,Alexandra Schofield,MW 14:45-16:00,
