college,academic_year,term,course_code,section,course_name,instructor,time,url
Haverford College,2021-22,F,CMSCH105A,001,Introduction to Computer Science,"Dougherty,John",MW 11:30am-01:00pm (HLS204),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH105A001
Haverford College,2021-22,F,CMSCH105A,002,Introduction to Computer Science,"Dougherty,John",MW 02:30pm-04:00pm (HLS204),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH105A002
Haverford College,2021-22,F,CMSCH105A,00A,Introduction to Computer Science,"Lindell,Suzanne",F 09:30am-10:30am (HLS110),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH105A00A
Haverford College,2021-22,F,CMSCH105A,00B,Introduction to Computer Science,"Lindell,Suzanne",F 10:30am-11:30am (HLS110),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH105A00B
Haverford College,2021-22,F,CMSCH105A,00C,Introduction to Computer Science,"Lindell,Suzanne",F 11:30am-12:30pm (HLS110),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH105A00C
Haverford College,2021-22,F,CMSCH105A,00D,Introduction to Computer Science,"Department staff,TBA",F 01:30pm-02:30pm,https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH105A00D
Haverford College,2021-22,F,CMSCH105A,00E,Introduction to Computer Science,"Department staff,TBA",F 02:30pm-03:30pm,https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH105A00E
Haverford College,2021-22,F,CMSCH107A,001,Introduction to Computer Science and Data Structures,"Dougherty,John",MW 11:30am-01:00pm (FDR220),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH107A001
Haverford College,2021-22,F,CMSCH107A,00A,Introduction to Computer Science and Data Structures,"Dougherty,John",T 09:30am-10:30am (HLS110),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH107A00A
Haverford College,2021-22,F,CMSCH107A,00B,Introduction to Computer Science and Data Structures,"Dougherty,John",T 10:30am-11:30am (HLS110),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH107A00B
Haverford College,2021-22,F,CMSCH107A,00C,Introduction to Computer Science and Data Structures,"Dougherty,John",T 11:30am-12:30pm (HLS110),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH107A00C
Haverford College,2021-22,F,CMSCH209A,001,Morphological Reinflection,"Chandlee,Jane",MW 02:30pm-04:00pm (STO102),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH209A001
Haverford College,2021-22,F,CMSCH231A,001,Discrete Mathematics,"Boudourides,Moses",MWF 09:30am-10:30am (TRLR-OBS),https://www.haverford.edu/academics/courses/haverford/fall_2021/HF21CMSCH231A001
