college,academic_year,term,course_code,section,course_name,instructor,time,url
Hope College,2021-22,F,CSCI 112,01B,Exploring Computer Science,"McFall, Ryan L.",MTWF 11:00am-11:50am,
Hope College,2021-22,F,CSCI 125,01,Software Design&Implementation,"Olagbemi, Omofolakunmi E.",MW 9:00am-10:20am / F 9:30am-10:20am,
Hope College,2021-22,F,CSCI 125,02,Software Design&Implementation,"Bassett, Bruce R.",MW 2:00pm-3:20pm / F 2:00pm-2:50pm,
Hope College,2021-22,F,CSCI 140,01,Business Computing,"Hilldore, Amanda J.",TR 9:30am-11:20am,
Hope College,2021-22,F,CSCI 140,02,Business Computing,"Hilldore, Amanda J.",TR 11:30am-1:20pm,
Hope College,2021-22,F,CSCI 195,01A,Studies in Computer Science,"McFall, Ryan L.",MTWF 11:00am-11:50am,
Hope College,2021-22,F,CSCI 235,01,Data Structures& Software Dsgn,"Olagbemi, Omofolakunmi E.",F 1:00pm-1:50pm / TR 1:30pm-2:50pm,
Hope College,2021-22,F,CSCI 245,01,Programming Lang & Paradigms,"DeJongh, Matthew",MWF 12:00pm-12:50pm,
Hope College,2021-22,F,CSCI 255,01,Algorithms & Discr Structures,"Cusack, Charles A.",MW 2:00pm-3:20pm / F 2:00pm-2:50pm,
Hope College,2021-22,F,CSCI 295,01,Studies in Computer Science,"Jipping, Michael J.",TR 12:00pm-1:20pm,
Hope College,2021-22,F,CSCI 336,01,Computer & Network Security,"Jipping, Michael J.",TR 9:30am-10:50am / F 9:30am-10:20am,
Hope College,2021-22,F,CSCI 392,01,Database Systems,"McFall, Ryan L.",TF 8:00am-9:20am / R 8:30am-9:20am,
Hope College,2021-22,F,CSCI 481,01,Senior Capstone Project I,"Jipping, Michael J.",MW 8:30am-9:20am,
Hope College,2021-22,F,CSCI 490,01,Research in Computer Science,"Cusack, Charles A.",TBA,
Hope College,2021-22,F,CSCI 490,02,Research in Computer Science,"DeJongh, Matthew",TBA,
Hope College,2021-22,F,CSCI 490,03,Research in Computer Science,"Jipping, Michael J.",TBA,
Hope College,2021-22,F,CSCI 490,04,Research in Computer Science,"McFall, Ryan L.",TBA,
Hope College,2021-22,F,CSCI 490,05,Research in Computer Science,"Olagbemi, Omofolakunmi E.",TBA,
Hope College,2021-22,F,CSCI 490R,01,Research in Computer Science,"Cusack, Charles A.",TBA,
Hope College,2021-22,F,CSCI 490R,02,Research in Computer Science,"DeJongh, Matthew",TBA,
Hope College,2021-22,F,CSCI 490R,03,Research in Computer Science,"Jipping, Michael J.",TBA,
Hope College,2021-22,F,CSCI 490R,04,Research in Computer Science,"McFall, Ryan L.",TBA,
Hope College,2021-22,F,CSCI 490R,05,Research in Computer Science,"Olagbemi, Omofolakunmi E.",TBA,
Hope College,2021-22,F,CSCI 491,01,Internship in Computer Science,"Jipping, Michael J.",TBA,
Hope College,2021-22,S,CSCI 112,01A,Exploring Computer Science,"McFall, Ryan L.",MTWF 11:00am-11:50am,
Hope College,2021-22,S,CSCI 125,01,Software Design&Implementation,"Olagbemi, Omofolakunmi E.",F 8:30am-9:20am / MW 9:00am-10:20am,
Hope College,2021-22,S,CSCI 125,02,Software Design&Implementation,"Bassett, Bruce R.",MW 2:00pm-3:20pm / F 2:00pm-2:50pm,
Hope College,2021-22,S,CSCI 140,01,Business Computing,"Hilldore, Amanda J.",TR 7:30am-9:20am,
Hope College,2021-22,S,CSCI 140,02,Business Computing,"Hilldore, Amanda J.",TR 11:30am-1:20pm,
Hope College,2021-22,S,CSCI 150,01,Web Design & Implementation,"McFall, Ryan L.",MWF 9:30am-10:20am,
Hope College,2021-22,S,CSCI 150,11,Web Design & Implementation,"McFall, Ryan L.",TR 9:30am-10:50am,
Hope College,2021-22,S,CSCI 195,01A,Studies in Computer Science,"Olagbemi, Omofolakunmi E.",MW 2:00pm-3:20pm / F 2:00pm-2:50pm,
Hope College,2021-22,S,CSCI 195,01B,Studies in Computer Science,"McFall, Ryan L.",MW 2:00pm-3:20pm / F 2:00pm-2:50pm,
Hope College,2021-22,S,CSCI 235,01,Data Structures& Software Dsgn,"Olagbemi, Omofolakunmi E.",TR 9:30am-10:50am / F 9:30am-10:20am,
Hope College,2021-22,S,CSCI 265,01,Intro Comp Org & Architecture,"Jipping, Michael J.",TR 8:00am-9:20am / F 8:30am-9:20am,
Hope College,2021-22,S,CSCI 354,01,Operating Systems,"Jipping, Michael J.",TR 12:00pm-1:20pm / F 12:00pm-12:50pm,
