college,academic_year,term,course_code,section,course_name,instructor,time,url
Houghton University,2025-26,F,CSCI 105,ONL1,Introduction to Cybersecurity,Unknown Faculty,ONLN TBA (Online),https://www.houghton.edu/wp-content/uploads/2025/09/2025-Fall-Undergraduate-Course-Offering-Houghton-University-2025.09.26.pdf
Houghton University,2025-26,F,CSCI 205,ONL1,Cybercrime and Governance,Unknown Faculty,ONLN TBA (Online),https://www.houghton.edu/wp-content/uploads/2025/09/2025-Fall-Undergraduate-Course-Offering-Houghton-University-2025.09.26.pdf
Houghton University,2025-26,F,CSCI 211,A,Programming I,Babafemi Sorinolu,TR 12:30 PM - 02:20 PM (PAINE 212),https://www.houghton.edu/wp-content/uploads/2025/09/2025-Fall-Undergraduate-Course-Offering-Houghton-University-2025.09.26.pdf
Houghton University,2025-26,F,CSCI 236,A,Data Structures and Algorithms,Babafemi Sorinolu,MWF 10:00 AM - 11:05 AM (PAINE 212),https://www.houghton.edu/wp-content/uploads/2025/09/2025-Fall-Undergraduate-Course-Offering-Houghton-University-2025.09.26.pdf
Houghton University,2025-26,F,CSCI 305,ONL1,Cyber Forensics,Unknown Faculty,ONLN TBA (Online),https://www.houghton.edu/wp-content/uploads/2025/09/2025-Fall-Undergraduate-Course-Offering-Houghton-University-2025.09.26.pdf
Houghton University,2025-26,F,CSCI 340,A,Databases,Babafemi Sorinolu,TR 08:00 AM - 09:50 AM (PAINE 212),https://www.houghton.edu/wp-content/uploads/2025/09/2025-Fall-Undergraduate-Course-Offering-Houghton-University-2025.09.26.pdf
Houghton University,2025-26,S,CSCI 105,ONL1,Introduction to Cybersecurity,Jamie Potter,ONLN TBA (Online),https://www.houghton.edu/wp-content/uploads/2026/01/2026-Spring-Undergraduate-Course-Offering-Houghton-University-2026.01.14.pdf
Houghton University,2025-26,S,CSCI 105,ONL2,Introduction to Cybersecurity,Jamie Potter,ONLN TBA (Online),https://www.houghton.edu/wp-content/uploads/2026/01/2026-Spring-Undergraduate-Course-Offering-Houghton-University-2026.01.14.pdf
Houghton University,2025-26,S,CSCI 205,ONL1,Cybercrime and Governance,Jamie Potter,ONLN TBA (Online),https://www.houghton.edu/wp-content/uploads/2026/01/2026-Spring-Undergraduate-Course-Offering-Houghton-University-2026.01.14.pdf
Houghton University,2025-26,S,CSCI 218,A,Programming II,Babafemi Sorinolu,TR 12:30 PM - 02:20 PM (PAINE 212),https://www.houghton.edu/wp-content/uploads/2026/01/2026-Spring-Undergraduate-Course-Offering-Houghton-University-2026.01.14.pdf
Houghton University,2025-26,S,CSCI 380,A,Collaboratv Research in Computer Science,Babafemi Sorinolu,TR 02:30 PM - 04:20 PM (PAINE 215),https://www.houghton.edu/wp-content/uploads/2026/01/2026-Spring-Undergraduate-Course-Offering-Houghton-University-2026.01.14.pdf
Houghton University,2025-26,S,CSCI 420,A,Networking,Jeremy Templeton,MWF 12:00 PM - 01:05 PM (PAINE 212),https://www.houghton.edu/wp-content/uploads/2026/01/2026-Spring-Undergraduate-Course-Offering-Houghton-University-2026.01.14.pdf
Houghton University,2025-26,S,CSCI 480,A,Senior Capstone: Computer Science Sem,Babafemi Sorinolu,TR 08:00 AM - 09:50 AM (PAINE 215),https://www.houghton.edu/wp-content/uploads/2026/01/2026-Spring-Undergraduate-Course-Offering-Houghton-University-2026.01.14.pdf
Houghton University,2026-27,F,CSCI 211,A,Programming I,Katrina Koehler,TR 12:30 PM - 02:20 PM (PAINE 212),https://www.houghton.edu/wp-content/uploads/2026/05/2026-Fall-Undergraduate-Course-Offering-Houghton-University-2026.05.06.pdf
Houghton University,2026-27,F,CSCI 214,A,Discrete Mathematics,Brandon Bate,MWF 02:30 PM - 03:35 PM (LIB 140),https://www.houghton.edu/wp-content/uploads/2026/05/2026-Fall-Undergraduate-Course-Offering-Houghton-University-2026.05.06.pdf
Houghton University,2026-27,F,CSCI 226,A,Computer Architecture,Babafemi Sorinolu,TR 12:30 PM - 02:20 PM (PAINE 207),https://www.houghton.edu/wp-content/uploads/2026/05/2026-Fall-Undergraduate-Course-Offering-Houghton-University-2026.05.06.pdf
Houghton University,2026-27,F,CSCI 345,A,Machine Learning,Babafemi Sorinolu,TR 08:00 AM - 09:50 AM (PAINE 212),https://www.houghton.edu/wp-content/uploads/2026/05/2026-Fall-Undergraduate-Course-Offering-Houghton-University-2026.05.06.pdf
