college,academic_year,term,course_code,section,course_name,instructor,time,url
Illinois College,2025-26,F,CS 160,000,Intro to Computer Science,"Soma, Takako","MTRF 8:00 AM-8:50 AM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,F,CS 250,000,Programming Practicum: Python,"Soma, Takako","MTRF 10:00 AM-10:50 AM; Illinois College, Baxter Hall, Baxter 100",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,F,CS 260,000,Data Structures & Algorithms,"Soma, Takako","MTRF 9:00 AM-9:50 AM; Illinois College, Baxter Hall, Baxter 100",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,F,CS 275,RIZ,Web Development,"Soma, Takako","W 11:00 AM-11:50 AM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,F,CS 275,RZA,Web Development,"Soma, Takako","W 11:00 AM-11:50 AM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,F,CS 320,RIZ,Application Development I,"Soma, Takako","W 11:00 AM-11:50 AM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,F,CS 465,TS,Independent Research,"Soma, Takako",BY ARRANGEMENT; Illinois College,https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 160,000,Intro Computer Science,"Soma, Takako","MTRF 10:00 AM-10:50 AM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 170,000,Introduction to Data Structures,"Soma, Takako","MTRF 8:00 AM-8:50 AM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 275,RIZ,Web Development,"Soma, Takako","T 2:00 PM-3:00 PM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 320,RIZ,Application Development I,"Soma, Takako","T 2:00 PM-3:00 PM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 322,RZA,Application Development II,"Soma, Takako","Online; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 360,000,Theory of Computation,"Soma, Takako","MTRF 9:00 AM-9:50 AM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 385,RIZ,Career Nav & Expl in Computer Scien,"Soma, Takako","T 2:00 PM-3:00 PM; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 461,TS,Ind Study in Computer Science,"Soma, Takako",BY ARRANGEMENT; Illinois College,https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 463,TS,Internship,"Soma, Takako",BY ARRANGEMENT; Illinois College,https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
Illinois College,2025-26,S,CS 475,RZA,Software Development,"Soma, Takako","Online; Illinois College, Crispin Hall, Crispin 211",https://connect2.ic.edu/ICS/default.aspx?portlet=Course_Schedules&screen=Advanced+Course+Search&screenType=next
