college,academic_year,term,course_code,section,course_name,instructor,time,url
Johnson C. Smith University,2024-25,F,CSC 131,A,Computs Society,"Chatterjee, Sanchari","TR 12:00 PM-1:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,B,Computs Society,"Worrell, Sonya Michelle","MWF 10:00 AM-10:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,C,Computs Society,"Worrell, Sonya Michelle","TR 1:30 PM-2:45 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,D,Computs Society,"Gompa, Raghuramaiah","MWF 9:00 AM-9:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,E,Computs Society,"Gompa, Raghuramaiah","MWF 11:00 AM-11:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,F,Computs Society,"Worrell, Sonya Michelle; Gompa, Raghuramaiah","MWF 1:00 PM-1:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,G,Computs Society,"Worrell, Sonya Michelle","MWF 12:00 PM-12:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,H,Computs Society,"Mazumder, Syeda Fatema","TR 9:30 AM-10:45 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,I,Computs Society,"Mazumder, Syeda Fatema","TR 12:00 PM-1:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,J,Computs Society,"Mazumder, Syeda Fatema","TR 1:30 PM-2:45 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,K,Computs Society,"Worrell, Sonya Michelle","MWF 2:00 PM-2:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 131,MO,Computs Society,"Blue, Lucinda","S 5:00 AM-5:01 AM; Main Campus, Online Courses, Online - Asynchronous Course",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 210,A,Career Prep I,"Chakraborty, Suryadip","R 11:00 AM-11:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Auditorium",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 230,A,Intro to Prog,"Bai, Ying","MWF 10:00 AM-10:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 233,A,Intro Dis Struc,"Faik, Ahmed","TR 12:00 PM-1:15 PM; Main Campus, New Science Hall, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 234,A,Dat Str & Algor,"Stukes, Felesia Artis PhD","TR 12:00 PM-1:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 238,A,Intro to Info S,"Chakraborty, Suryadip","MWF 11:00 AM-11:50 AM; Main Campus, Online Courses, Online - Synchronous Course",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 239,A,GIS Mapping,"Amin, Awatif T.","MWF 1:00 PM-1:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 241,A,Computer Prg,"Chakraborty, Suryadip","TR 12:00 PM-1:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom | W 12:00 PM-12:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 241,B,Computer Prg,"Chakraborty, Suryadip","TR 1:30 PM-2:45 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom | W 1:00 PM-1:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 241,C,Computer Prg,"Bai, Ying","TR 1:30 PM-2:45 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom | W 2:00 PM-2:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 242,A,Comp Prog II,"Amin, Awatif T.","MWF 12:00 PM-12:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom | W 2:00 PM-2:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 332,A,Computer Networ,"Worrell, Sonya Michelle","MWF 9:00 AM-9:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 333,AI,Csc Org & Archi,"Bai, Ying","U 5:00 AM-5:01 AM; Main Campus, Online Courses, Online - Asynchronous Course",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 334,A,Intr to Ope Sys,"Amin, Awatif T.","TR 1:30 PM-2:45 PM; Main Campus, Online Courses, Online - Synchronous Course",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 335,A,Internet Progr,"Chatterjee, Sanchari","TR 3:00 PM-4:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 336,A,Intro to Bioinf,"Otienoburu, Sabina D.","MWF 1:00 PM-1:50 PM; Main Campus, New Science Hall, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 436,A,Topics in Compu,"Amin, Awatif T.","MWF 10:00 AM-10:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,F,CSC 438,A,Database Proces,"Stukes, Felesia Artis PhD","TR 9:30 AM-10:45 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 131,A,Computs Society,"Mazumder, Syeda Fatema","TR 9:30 AM-10:45 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 131,B,Computs Society,"Chatterjee, Sanchari","TR 12:00 PM-1:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 131,C,Computs Society,"Chatterjee, Sanchari","TR 1:30 PM-2:45 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 131,D,Computs Society,"Worrell, Sonya Michelle","MWF 10:00 AM-10:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 131,E,Computs Society,"Worrell, Sonya Michelle","MWF 11:00 AM-11:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 131,F,Computs Society,"Worrell, Sonya Michelle","MWF 1:00 PM-1:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 131,G,Computs Society,"Mazumder, Syeda Fatema","TR 1:30 PM-2:45 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 131,MO,Computs Society,"Blue, Lucinda","S 1:44 AM-1:45 AM; Main Campus, Online Courses, Online - Asynchronous Course",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 133,A,Web Design,"Stukes, Felesia Artis PhD","TR 9:30 AM-10:45 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 211,A,Career Prep II,"Chakraborty, Suryadip","R 11:00 AM-11:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Auditorium",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 234,A,Dat Str & Algor,"Stukes, Felesia Artis PhD","TR 12:00 PM-1:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 241,A,Computer Prg,"Mazumder, Syeda Fatema","M 12:00 PM-12:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom | TR 12:00 PM-1:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 242,A,Comp Prog II,"Amin, Awatif T.","MWF 10:00 AM-10:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom | W 2:00 PM-2:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 242,B,Comp Prog II,"Chakraborty, Suryadip","TR 12:00 PM-1:15 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom | W 11:00 AM-11:50 AM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 242,C,Comp Prog II,"Chakraborty, Suryadip","TR 1:30 PM-2:45 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom | W 1:00 PM-1:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Johnson C. Smith University,2024-25,S,CSC 330,A,Sys Analy & Des,"Amin, Awatif T.","MWF 1:00 PM-1:50 PM; Main Campus, Dr. Dorothy Cowser Yancy Technology Center, Classroom",https://my.jcsu.edu/ICS/Students/Student_Resources/Default_Page.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
