college,academic_year,term,course_code,section,course_name,instructor,time,url
Juniata College,2025-26,S,CS-110,02,Computer Science I,"Wright, J.",M/W/F 12:20 PM - 1:10 PM,
Juniata College,2026-27,F,CS-110,01,Computer Science I,"Wright, J.",M/W/F 3:20 PM - 4:10 PM,
Juniata College,2026-27,S,CS-110,01,Computer Science I,FAC Comp Sci,M/W/F 12:20 PM - 1:10 PM,
Juniata College,2026-27,F,CS-220,01,Computer Organization,"Kruse, G.",M/W/F 10:30 AM - 11:40 AM,
Juniata College,2025-26,S,CS-240,01,Computer Science II,"Neville, E.",M/W/F 10:30 AM - 11:40 AM,
Juniata College,2026-27,S,CS-240,01,Computer Science II,"Kruse, G.",M/W/F 10:30 AM - 11:40 AM,
Juniata College,2025-26,S,CS-255C,01,C++ Programming,"Neville, E.",T 12:20 PM - 1:10 PM,
Juniata College,2026-27,S,CS-255C,01,C++ Programming,"Neville, E.",T 12:20 PM - 1:10 PM,
Juniata College,2026-27,F,CS-255U,01,Unix Programming,"Neville, E.",Th 12:20 PM - 1:10 PM,
Juniata College,2025-26,S,CS-300,01,Software Engineering,"Thomas, W.",M/W/F 1:20 PM - 2:10 PM,
Juniata College,2026-27,S,CS-300,01,Software Engineering,"Thomas, W.",M/W/F 1:20 PM - 2:10 PM,
Juniata College,2026-27,F,CS-305,01,Software Models,"Neville, E.",M/W/F 10:30 AM - 11:20 AM,
Juniata College,2026-27,S,CS-320,01,Operating Systems,"Kruse, G.",M/W/F 9:00 AM - 10:10 AM,
Juniata College,2025-26,S,CS-360,01,Programming Languages,"Kruse, G.",T/Th 9:00 AM - 10:15 AM,
Juniata College,2026-27,F,CS-370,01,Database Mgmt Sys,"Neville, E.",T/Th 1:20 PM - 2:35 PM,
Juniata College,2026-27,S,CS-390,01,CS in Germany Seminar,"Kruse, G.",TBD,
Juniata College,2025-26,S,CS-480,01,Comp Sci Sem I,"Wright, J.",T 12:20 PM - 1:10 PM,
Juniata College,2026-27,F,CS-480,01,Comp Sci Sem I,"Kruse, G.",T 12:20 PM - 1:10 PM,
Juniata College,2026-27,S,CS-480,01,Comp Sci Sem I,"Kruse, G.",T 12:20 PM - 1:10 PM,
Juniata College,2025-26,S,CS-485,01,Comp Sci Research,"Wright, J.",T 12:20 PM - 1:10 PM,
Juniata College,2026-27,F,CS-485,01,Comp Sci Research,"Kruse, G.",T 12:20 PM - 1:10 PM,
Juniata College,2026-27,S,CS-485,01,Comp Sci Research,"Kruse, G.",T 12:20 PM - 1:10 PM,
