college,academic_year,term,course_code,section,course_name,instructor,time,url
Kalamazoo College,2025-26,W,COMP-101,01,Intro to Computers & Computing,Nicholas Polanco,M/F 8:15 AM - 9:30 AM,
Kalamazoo College,2025-26,W,COMP-102,01,Prog. Basics: JavaScript/WebD,Nicholas Polanco,T/Th 12:30 PM - 2:00 PM,
Kalamazoo College,2025-26,W,COMP-150,01,Object Oriented Programming,Tasnim H Gharaibeh,M/W/F 9:40 AM - 10:55 AM,
Kalamazoo College,2025-26,W,COMP-150L,01,Object Oriented Program Lab,Nicholas Polanco,T 2:10 PM - 4:00 PM,
Kalamazoo College,2025-26,W,COMP-315,01,Computer Organization,Alyce Brady,T/Th 9:30 AM - 11:20 AM,
Kalamazoo College,2025-26,W,COMP-320,01,Princ of Programming Languages,Alyce Brady,M/W/F 9:40 AM - 10:55 AM,
Kalamazoo College,2025-26,W,COMP-483,01,Cryptography,Pamela A Cutter,T/Th 9:30 AM - 11:20 AM,
Kalamazoo College,2025-26,W,COMP-483,02I,IS: Cryptography,,Meeting Times TBD,
Kalamazoo College,2025-26,W,COMP-486,01,Machine Learning,Tasnim H Gharaibeh,M/W/F 11:55 AM - 1:10 PM,
Kalamazoo College,2025-26,S,COMP-101,01,Intro to Computers & Computing,Tasnim H Gharaibeh,M/F 8:15 AM - 9:30 AM,
Kalamazoo College,2025-26,S,COMP-103,01,Prog Basics: Python/Multimedia,Pamela A Cutter,T/Th 2:10 PM - 3:40 PM,
Kalamazoo College,2025-26,S,COMP-150,01,Object Oriented Programming,Alyce Brady,M/W/F 9:40 AM - 10:55 AM,
Kalamazoo College,2025-26,S,COMP-150,02I,Is: Object Oriented Prog,,Meeting Times TBD,
Kalamazoo College,2025-26,S,COMP-150L,01,Object Oriented Program Lab,Pamela A Cutter,T 9:30 AM - 11:20 AM,
Kalamazoo College,2025-26,S,COMP-210,01,Data Structures,Alyce Brady,M/W/F 1:20 PM - 2:35 PM,
Kalamazoo College,2025-26,S,COMP-215,01,Design & Anal. of Algorithms,Tasnim H Gharaibeh,M/W/F 11:55 AM - 1:10 PM,
Kalamazoo College,2025-26,S,COMP-265,01,Cognitive Science,Peter Erdi,M/W/F 2:45 PM - 4:00 PM,
Kalamazoo College,2025-26,S,COMP-265,02,Cognitive Science,Peter Erdi,M/W/F 11:55 AM - 1:10 PM,
Kalamazoo College,2025-26,S,COMP-305,01,Software Development,Nicholas Polanco,M/W/F 2:45 PM - 4:00 PM,
Kalamazoo College,2025-26,S,COMP-482,01,Cybersecurity,Nicholas Polanco,M/W/F 11:55 AM - 1:10 PM,
Kalamazoo College,2025-26,S,COMP-483,01I,IS: Cryptography,,Meeting Times TBD,
Kalamazoo College,2026-27,F,COMP-101,01,Intro to Computers & Computing,Nicholas Polanco,M/F 8:15 AM - 9:30 AM,
Kalamazoo College,2026-27,F,COMP-101,02,Intro to Computers & Computing,Nicholas Polanco,M/F 9:40 AM - 10:55 AM,
Kalamazoo College,2026-27,F,COMP-102,01,Prog. Basics: JavaScript/WebD,Sandino Vargas-Perez,T/Th 12:30 PM - 2:00 PM,
Kalamazoo College,2026-27,F,COMP-104,01,Prog Basics:Python/Scien Comp,Pamela A Cutter,T/Th 9:30 AM - 11:00 AM,
Kalamazoo College,2026-27,F,COMP-210,01,Data Structures,Tasnim H Gharaibeh,M/W/F 9:40 AM - 10:55 AM,
Kalamazoo College,2026-27,F,COMP-480,01,ST: Game Des & Dev,Sandino Vargas-Perez,M/W/F 2:45 PM - 4:00 PM,
Kalamazoo College,2026-27,F,COMP-489,01,Mobile Computing,Pamela A Cutter,M/W/F 1:20 PM - 2:35 PM,
Kalamazoo College,2026-27,F,COMP-490,01,SRSM: Game Des & Dev,Sandino Vargas-Perez,M/W/F 2:45 PM - 4:00 PM,
Kalamazoo College,2026-27,F,COMP-490,02,SRSM: Mobile Computing,Pamela A Cutter,M/W/F 1:20 PM - 2:35 PM,
Kalamazoo College,2026-27,F,COMP-500,01,SIP Peer Review,Sandino Vargas-Perez,T 11:30 AM - 12:00 PM,
Kalamazoo College,2026-27,W,COMP-101,01,Intro to Computers & Computing,Sandino Vargas-Perez,M/F 8:15 AM - 9:30 AM,
Kalamazoo College,2026-27,W,COMP-102,01,Prog. Basics: JavaScript/WebD,Tasnim H Gharaibeh,T/Th 9:30 AM - 11:00 AM,
Kalamazoo College,2026-27,W,COMP-150,01,Object Oriented Programming,Nicholas Polanco,M/W/F 11:55 AM - 1:10 PM,
Kalamazoo College,2026-27,W,COMP-150L,01,Object Oriented Program Lab,Tasnim H Gharaibeh,T 12:30 PM - 3:00 PM,
Kalamazoo College,2026-27,W,COMP-150L,02,Object Oriented Program Lab,Sandino Vargas-Perez,T 9:00 AM - 11:30 AM,
Kalamazoo College,2026-27,W,COMP-315,01,Computer Organization,Sandino Vargas-Perez,T/Th 2:10 PM - 4:00 PM,
Kalamazoo College,2026-27,W,COMP-320,01,Princ of Programming Languages,Pamela A Cutter,M/W/F 9:40 AM - 10:55 AM,
Kalamazoo College,2026-27,W,COMP-482,01,Cybersecurity,Nicholas Polanco,M/W/F 2:45 PM - 4:00 PM,
Kalamazoo College,2026-27,W,COMP-486,01,Machine Learning,Tasnim H Gharaibeh,M/W/F 11:55 AM - 1:10 PM,
Kalamazoo College,2026-27,S,COMP-101,01,Intro to Computers & Computing,Nicholas Polanco,M/F 8:15 AM - 9:30 AM,
Kalamazoo College,2026-27,S,COMP-103,01,Prog Basics: Python/Multimedia,Pamela A Cutter,T/Th 9:30 AM - 11:00 AM,
Kalamazoo College,2026-27,S,COMP-150,01,Object Oriented Programming,Nicholas Polanco,M/W/F 11:55 AM - 1:10 PM,
