college,academic_year,term,course_code,section,course_name,instructor,time,url
Knox College,2021-22,F,CS 141,1,INTRO TO COMPUTER SCIENCE,R.Bose,Period 5 MWF,
Knox College,2021-22,F,CS 141,2,INTRO TO COMPUTER SCIENCE,V.Kazakova,Period 6 MWF,
Knox College,2021-22,F,CS 141L,A,Laboratory,R.Bose,Period 5 Th,
Knox College,2021-22,F,CS 141L,B,Laboratory,V.Kazakova,Period 6 Th,
Knox College,2021-22,F,CS 195B,1,PYTHON FOR DATA,O.Forsberg,Period 6 MWF,
Knox College,2021-22,F,CS 205,1,ALGORITHM DESIGN & ANALYSIS,D.Bunde,Period 5 MWTF,
Knox College,2021-22,F,CS 208,1,PROGRAMMING LANGUAGES,J.Spacco,Period 2 M W T F,
Knox College,2021-22,F,CS 335,1,INTERACTIVE DESIGN,T.Stedman; J.Spacco,"Period 3,4 MW",
Knox College,2021-22,F,CS 375,1,COMPUTING MODELS & COMPLEXITY,D.Bunde,Period 2 MWF,
Knox College,2021-22,W,CS 141,1,INTRO TO COMPUTER SCIENCE,J.Spacco,Period 2 MWF,
Knox College,2021-22,W,CS 141,2,INTRO TO COMPUTER SCIENCE,J.Spacco,Period 3 MWF,
Knox College,2021-22,W,CS 141L,A,Laboratory,J.Spacco,Period 2 Tu,
Knox College,2021-22,W,CS 141L,B,Laboratory,J.Spacco,Period 3 Tu,
Knox College,2021-22,W,CS 142,1,PROGRAM DESIGN & METHODOLOGY,D.Bunde,Period 3 MWF,
Knox College,2021-22,W,CS 142L,A,Laboratory,D.Bunde,Period 3 Th,
Knox College,2021-22,W,CS 142L,B,Laboratory,D.Bunde,Period 12-12:50 Th,
Knox College,2021-22,W,CS 214,1,INTRO TO COMPUTING SYSTEMS,D.Bunde,Period 2 MWF,
Knox College,2021-22,W,CS 292,1,SOFTWARE DEVELPMNT & PROF PRACT,V.Kazakova,"Period 4,5 MW",
Knox College,2021-22,W,CS 323,1,MACHINE LEARNING,K.Hastings,Period 6 MWTF,
Knox College,2021-22,W,CS 395M,1,NATURAL LANGUAGE PROCESSING,R.Bose,Period 5 MWF,
Knox College,2021-22,W,CS 395N,1,EVOLUTIONARY COMPUTATION,V.Kazakova,Period 3 MWF,
Knox College,2021-22,S,CS 142,1,PROGRAM DESIGN & METHODOLOGY,V. Kazakova,Period 2 MWF,
Knox College,2021-22,S,CS 142L,A,Laboratory,V. Kazakova,Period 2 Th,
Knox College,2021-22,S,CS 142L,B,Laboratory,V. Kazakova,Period 3 Th,
Knox College,2021-22,S,CS 220,1,APPLIED DATA STRUCTURES,J. Spacco,Period 2 MWF,
Knox College,2021-22,S,CS 322,1,SOFTWARE ENGINEERING,R. Bose,"Period 4,5 MW",
Knox College,2021-22,S,CS 399,1,RESEARCH SEMINAR IN COMP SCI,R. Bose,Period 2 MWF,
Knox College,2022-23,F,CS 141,1,INTRO TO COMPUTER SCIENCE,V.Kazakova,Period 2 MWF,
Knox College,2022-23,F,CS 141,2,INTRO TO COMPUTER SCIENCE,V.Kazakova,Period 3 MWF,
Knox College,2022-23,F,CS 141L,A,Laboratory,V.Kazakova,Period 2 Th,
Knox College,2022-23,F,CS 141L,B,Laboratory,V.Kazakova,Period 3 Th,
Knox College,2022-23,F,CS 141L,C,Laboratory,V.Kazakova,Period 12-1 pm Th,
Knox College,2022-23,F,CS 205,1,ALGORITHM DESIGN & ANALYSIS,D.Bunde,Period 5 MWTF,
Knox College,2022-23,F,CS 208,1,PROGRAMMING LANGUAGES,R.Bose,Period 2 MTWF,
Knox College,2022-23,F,CS 309,1,PARALLEL PROGRAMMING,D.Bunde,Period 4 MWF,
Knox College,2022-23,W,CS 141,1,INTRO TO COMPUTER SCIENCE,R.Bose,Period 2 MWF,
Knox College,2022-23,W,CS 141,2,INTRO TO COMPUTER SCIENCE,R.Bose,Period 3 MWF,
Knox College,2022-23,W,CS 141L,A,Laboratory,R.Bose,Period 2 Th,
Knox College,2022-23,W,CS 141L,B,Laboratory,R.Bose,Period 3 Th,
Knox College,2022-23,W,CS 142,1,PROGRAM DESIGN & METHODOLOGY,D.Bunde,Period 4 MWF,
Knox College,2022-23,W,CS 142L,A,Laboratory,D.Bunde,Period 3 Tu,
Knox College,2022-23,W,CS 142L,B,Laboratory,D.Bunde,Period 5 Tu,
Knox College,2022-23,W,CS 214,1,INTRO TO COMPUTING SYSTEMS,D.Bunde,Period 2 MWF,
Knox College,2022-23,W,CS 214L,A,Laboratory,D.Bunde,Period 2 Th,
Knox College,2022-23,W,CS 214L,B,Laboratory,D.Bunde,Period 3 Th,
Knox College,2022-23,W,CS 292,1,SOFTWARE DEVELPMNT & PROF PRACT,V.Kazakova,"Period 4,5 MW",
Knox College,2022-23,W,CS 312,1,DATA MINING & STATISTICAL COMP.,O.Forsberg,Period 5 MWTF,
Knox College,2022-23,W,CS 317,1,ARTIFICIAL INTELLIGENCE,V.Kazakova,Period 6 MWF,
Knox College,2022-23,S,CS 141,1,INTRO TO COMPUTER SCIENCE,D.Bunde,Period 2 MWF,
Knox College,2022-23,S,CS 141L,A,Laboratory,D.Bunde,Period 2 Th,
Knox College,2022-23,S,CS 142,1,PROGRAM DESIGN & METHODOLOGY,V.Kazakova,Period 5 MWF,
Knox College,2022-23,S,CS 142L,A,Laboratory,V.Kazakova,Period 5 Th,
Knox College,2022-23,S,CS 220,1,APPLIED DATA STRUCTURES,R.Bose,Period 3 MWF,
Knox College,2022-23,S,CS 320,1,DATABASE SYSTEMS,J.Spacco,Period 3 MWF,
Knox College,2022-23,S,CS 320,2,DATABASE SYSTEMS,J.Spacco,Period 2 MWF,
Knox College,2022-23,S,CS 322,1,SOFTWARE ENGINEERING,R.Bose,Period 3s TT,
Knox College,2022-23,S,CS 395N,1,EVOLUTIONARY COMPUTATION,V.Kazakova,Period 6 MWF,
Knox College,2023-24,F,CS 141,1,INTRO TO COMPUTER SCIENCE,V.Kazakova,Period 5 MWF,
Knox College,2023-24,F,CS 141,2,INTRO TO COMPUTER SCIENCE,V.Kazakova,Period 6 MWF,
Knox College,2023-24,F,CS 141L,A,Laboratory,V.Kazakova,Period 5 Th,
