college,academic_year,term,course_code,section,course_name,instructor,time,url
Lafayette College,2023-24,F,CS 104,01,Computer Gaming,Jon Dahl,TTh 13:10-15:00 (RISC 460),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 104,02,Computer Gaming,Jon Dahl,TTh 09:00-10:50 (RISC 460),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 104,03,Computer Gaming,Lauren Biernacki,MW 08:00-09:50 (RISC 460),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 105,01,Digital Media,Justin Smith,MW 10:00-11:50 (RISC 562),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 150,01,Data Structures & Algorithms,Jia Tao,MWF 10:00-10:50 (RISC 460),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 150,02,Data Structures & Algorithms,Jia Tao,MWF 13:10-14:00 (RISC 562),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 150L,01,Lab,Jon Dahl,MW 11:00-12:15 (RISC 460),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 150L,02,Lab,Jon Dahl,MW 14:10-15:25 (RISC 460),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 202,01,Analysis of Algorithms,Ge Xia,MWF 14:10-15:00 (RISC 104),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 202,02,Analysis of Algorithms,Ge Xia,,https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 203,01,Computer Organization,Jeffrey Pfaffmann,MW 11:00-12:15 (AEC 511),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 203L,01,Lab,Jeffrey Pfaffmann,TTh 09:30-10:45 (RISC 360),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 203L,02,Lab,Jeffrey Pfaffmann,TTh 14:45-16:00 (RISC 360),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 320,01,Database Management System,Jia Tao,MWF 15:10-16:00 (RISC 562),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 390,01,Independent Study,Christian Lopez Bencosme,,https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 413,01,ST: Human Computer Interfaces,Justin Smith,MWF 13:10-14:00 (RISC 460),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 420,01,Artificial Intelligence,Jeffrey Pfaffmann,TTh 11:00-12:15 (RISC 562),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,F,CS 495,01,Thesis,Jeffrey Pfaffmann,,https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 104,01,Computer Gaming,Christian Lopez Bencosme,MWF 11:40-12:55 (RISC 562),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 104,02,Computer Gaming,Christian Lopez Bencosme,MWF 14:45-16:00 (RISC 562),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 150,01,Data Structures & Algorithms,Jon Dahl,TTh 09:30-10:45 (RISC 462),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 150,02,Data Structures & Algorithms,Jon Dahl,TTh 11:00-12:15 (RISC 462),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 150L,01,Lab,Jon Dahl,TTh 13:15-14:30 (RISC 462),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 150L,02,Lab,Jon Dahl,TTh 14:45-16:00 (RISC 462),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 200,01,Computers and Society,Justin Smith,MWF 09:30-10:20 (RISC 460),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 200,02,Computers and Society,Christian Lopez Bencosme,MWF 08:25-09:15 (RISC 562),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Lafayette College,2023-24,S,CS 205,01,Software Engineering,Justin Smith,MW 14:45-16:00 (RISC 262),https://selfservice.lafayette.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
