college,academic_year,term,course_code,section,course_name,instructor,time,url
Linfield University,2025-26,S,COMP*131,01,COMPUTERS IN MODERN SOCIETY,Francisco J. Mora,T/Th 10:00 AM - 11:35 AM,
Linfield University,2025-26,S,COMP*160,01,BEG PROG AND PROBLEM-SOLVING,Yujie Wang,M/W/F 8:00 AM - 8:50 AM,
Linfield University,2025-26,S,COMP*160L,01,LAB: BEG PROG & PROBLEM SOLV,Yujie Wang,W 6:00 PM - 8:00 PM,
Linfield University,2025-26,S,COMP*161,01,BEG PROG: OBJECTS,Yujie Wang,M/W/F 10:00 AM - 10:50 AM,
Linfield University,2025-26,S,COMP*161L,01,LAB: BEG PROG: OBJECTS,Yujie Wang,T 6:00 PM - 8:00 PM,
Linfield University,2025-26,S,COMP*305,01,SOFTWARE ENGINEERING,Daniel K. Ford,T/Th 1:00 PM - 2:15 PM,
Linfield University,2025-26,S,COMP*305L,01,LAB: SOFTWARE ENGINEERING,Daniel K. Ford,W 2:00 PM - 5:00 PM,
Linfield University,2025-26,S,COMP*377,01,COMPUTER ARCHITECTURE,Daniel K. Ford,M/W 12:45 PM - 2:00 PM,
Linfield University,2025-26,S,COMP*377L,01,LAB: COMPUTER ARCHITECTURE,Daniel K. Ford,Th 6:00 PM - 8:00 PM,
Linfield University,2025-26,S,COMP*404,AM,OPERATIONS MGMNT,Malek Daaboul ),,
Linfield University,2025-26,S,COMP*405,01,PLATFORM-BASED SOFTWARE DEVEL,Daniel K. Ford,M/W/F 9:00 AM - 9:50 AM,
Linfield University,2025-26,S,COMP*405L,01,LAB: PLATFORM-BASED SFTWR DEV,Daniel K. Ford,M 6:00 PM - 8:00 PM,
Linfield University,2025-26,S,COMP*430,AM,COMPUTER SECURITY,Vincent Tran ),,
Linfield University,2025-26,S,COMP*431,01,ADV NETWORK COMM & SECURITY,Francisco J. Mora,T/Th 2:45 PM - 4:20 PM,
Linfield University,2025-26,S,COMP*431L,01,LAB: ADV NETWRK COMM & SECRTY,Francisco J. Mora,M 2:00 PM - 5:00 PM,
Linfield University,2026-27,F,COMP*121,01,INTRO TO WEB DESIGN,Francisco J. Mora,T/Th 10:00 AM - 11:35 AM,
Linfield University,2026-27,F,COMP*160,01,BEG PROG AND PROBLEM-SOLVING,Yujie Wang,M/W/F 11:00 AM - 11:50 AM,
Linfield University,2026-27,F,COMP*160L,02,LAB: BEG PROG & PROBLEM SOLV,Yujie Wang,T 6:00 PM - 8:00 PM,
Linfield University,2026-27,F,COMP*260,01,DATABASE MGMNT SYSTEMS,Daniel K. Ford,T/Th 1:00 PM - 2:35 PM,
Linfield University,2026-27,F,COMP*260L,01,LAB: DATABASE MGMT SYSTEMS,Daniel K. Ford,M 6:00 PM - 8:00 PM,
Linfield University,2026-27,F,COMP*262,01,DATA STRUCTURES AND ALG,Yujie Wang,M/W/F 9:00 AM - 9:50 AM,
Linfield University,2026-27,F,COMP*262L,01,LAB: DATA STRUCTRS & ALGORITH,Yujie Wang,W 2:30 PM - 4:30 PM,
Linfield University,2026-27,F,COMP*370,01,ADV TOP: ALG/CMPLXTY/INTELL,Daniel K. Ford,M/W 12:45 PM - 2:20 PM,
Linfield University,2026-27,F,COMP*370L,01,LAB: ADV TOP ALG/COMPLX/INTLL,Daniel K. Ford,F 1:45 PM - 3:45 PM,
Linfield University,2026-27,F,COMP*430,01,COMPUTER SECURITY,Francisco J. Mora,T/Th 2:45 PM - 4:20 PM,
Linfield University,2026-27,F,COMP*430L,01,LAB: COMPUTER SECURITY,Francisco J. Mora,M 2:20 PM - 4:20 PM,
Linfield University,2026-27,F,COMP*490,01,CAPSTONE PROJECT,Daniel K. Ford,F 12:10 PM - 1:45 PM,
