college,academic_year,term,course_code,section,course_name,instructor,time,url
Lyon College,2021-22,F,CSC 115,01,Programming in Java,"Sonnier, David L.","MWF 11:00 AM-11:50 AM; Main Lyon Campus, Lyon Bus & Econ Bldg, LYON 104 computer lab/24 comp & portable proj",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,F,CSC 240,01,Data Structures with C++,"Sonnier, David L.","TR 9:30 AM-10:45 AM; Main Lyon Campus, Derby Science Center, DERBY 239 CSC Classroom/Open Lab overhead",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,F,CSC 255,01,Computer Architecture,"Sonnier, David L.","MWF 2:00 PM-2:50 PM; Main Lyon Campus, Derby Science Center, DERBY 011 Tiered seating overhead & computer",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,F,CSC 482,01,ST: Artificial Intelligence,"Birkenkrahe, Marcus","MWF 9:00 AM-9:50 AM; Main Lyon Campus, Derby Science Center, DERBY 209 Computer Science Research Lab",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,F,CSC 482,02,ST:Data Modeling,"Birkenkrahe, Marcus","TR 2:30 PM-3:45 PM; Main Lyon Campus, Derby Science Center, DERBY 209 Computer Science Research Lab",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,S,CSC 100,01,Introduction to Programming in C++,"Birkenkrahe, Marcus","MWF 11:00 AM-11:50 AM; Main Lyon Campus, Lyon Bus & Econ Bldg, LYON 104 computer lab/24 comp & portable proj",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,S,CSC 245,01,Introduction to Digital Logic,"Sonnier, David L.","TR 2:30 PM-3:45 PM; Main Lyon Campus, Derby Science Center, DERBY 207 Math/CS Classroom/overhead & comp",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,S,CSC 265,01,Algorithms,"Sonnier, David L.","MWF 1:00 PM-1:50 PM; Main Lyon Campus, Derby Science Center, DERBY 207 Math/CS Classroom/overhead & comp",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,S,CSC 301,01,Junior Internship,"Birkenkrahe, Marcus","By Arrangement; Main Lyon Campus, Derby Science Center",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Lyon College,2021-22,S,CSC 320,01,Programming Languages,"Sonnier, David L.","MWF 9:00 AM-9:50 AM; Main Lyon Campus, Lyon Bus & Econ Bldg, LYON 104 computer lab/24 comp & portable proj",https://my.lyon.edu/ICS/default.aspx?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
