college,academic_year,term,course_code,section,course_name,instructor,time,url
Macalester College,2021-22,F,COMP 112,01,Introduction to Data Science,David Shuman,T R 8:00 - 9:30 am,
Macalester College,2021-22,F,COMP 112,02,Introduction to Data Science,David Shuman,T R 9:40 - 11:10 am,
Macalester College,2021-22,F,COMP 123,01,Core Concepts in Computer Science,Lauren Milne,M W F 9:40 - 10:40 am,
Macalester College,2021-22,F,COMP 123,02,Core Concepts in Computer Science,Paul Cantrell,M W F 10:50 - 11:50 am,
Macalester College,2021-22,F,COMP 123,03,Core Concepts in Computer Science,Elizabeth Ernst,M W F 12:00 - 1:00 pm,
Macalester College,2021-22,F,COMP 123,04,Core Concepts in Computer Science,Elizabeth Ernst,M W F 1:10 - 2:10 pm,
Macalester College,2021-22,F,COMP 123,05,Core Concepts in Computer Science,Susan Fox,M W F 3:30 - 4:30 pm,
Macalester College,2021-22,F,COMP 127,02,Object-Oriented Programming and Abstraction,Joslenne Peña,M W F 1:10 - 2:10 pm,
Macalester College,2021-22,F,COMP 127,03,Object-Oriented Programming and Abstraction,Benjamin Hillmann,M W F 2:20 - 3:20 pm,
Macalester College,2021-22,F,COMP 127,04,Object-Oriented Programming and Abstraction,Benjamin Hillmann,M W F 3:30 - 4:30 pm,
Macalester College,2021-22,F,COMP 127,L2,Object-Oriented Prog/Abstr Lab,Joslenne Peña,R 3:00 - 4:30 pm,
Macalester College,2021-22,F,COMP 127,L3,Object-Oriented Prog/Abstr Lab,Benjamin Hillmann,R 1:20 - 2:50 pm,
Macalester College,2021-22,F,COMP 127,L4,Object-Oriented Prog/Abstr Lab,Benjamin Hillmann,R 3:00 - 4:30 pm,
Macalester College,2021-22,F,COMP 128,01,Data Structures,Irene Yuan,M W F 1:10 - 2:10 pm,
Macalester College,2021-22,F,COMP 128,02,Data Structures,Irene Yuan,M W F 2:20 - 3:20 pm,
Macalester College,2021-22,F,COMP 154,01,Digital Ethics,Diane Michelfelder,M W F 10:50 - 11:50 am,
Macalester College,2021-22,F,COMP 194,01,Introduction to Data in the Humanities,Aisling Quigley,M W F 9:40 - 10:40 am,
Macalester College,2021-22,F,COMP 221,01,Algorithm Design and Analysis,Lian Duan,M W F 9:40 - 10:40 am,
Macalester College,2021-22,F,COMP 225,01,Software Design and Development,Lian Duan,M W F 12:00 - 1:00 pm,
Macalester College,2021-22,F,COMP 225,02,Software Design and Development,Lian Duan,M W F 1:10 - 2:10 pm,
Macalester College,2021-22,F,COMP 240,01,Computer Systems Organization,Getiria Onsongo,M W F 10:50 - 11:50 am,
