college,academic_year,term,course_code,section,course_name,instructor,time,url
Maryville College,2025-26,F,CSC 130,01,Intro Computer Science/Programming,Barbara Johnson,F 8:00 AM - 8:50 AM (SSC 201); MW 2:00 PM - 3:15 PM (SSC 201),https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,F,CSC 260,01,Database Management Systems,Barbara Johnson,T 8:30 AM - 9:20 AM (SSC 231); MWF 9:00 AM - 9:50 AM (SSC 231),https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,F,CSC 299,01,Professional Practices in Math Scie,Dan Ross,W 8:00 AM - 8:50 AM (SSC 201),https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,F,CSC 319,01,User Interface Design and Implement,Barbara Johnson,TR 11:00 AM - 12:15 PM (SSC 231),https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,F,CSC 337,01,Internship,Leah Hadder,,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,F,CSC 343,01,Practicum,Barbara Johnson,,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,F,CSC 351,01,Senior Study I,Jeff Bay,,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,F,CSC 353,01,Senior Study,Jeff Bay,,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 130,01,Intro Computer Science/Programming,Barbara Johnson,F 8:00AM - 8:50AM; MW 2:00PM - 3:15PM,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 220,01,Computer Architecture & Systems,Barbara Johnson,F 2:00PM - 2:50PM; TR 2:00PM - 3:15PM,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 225,01,Data Structures,Barbara Johnson,F 2:00PM - 2:50PM; TR 2:00PM - 3:15PM,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 231,01,Discrete Structures,Jesse Smith,MWF 1:00PM - 1:50PM,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 314,01,Data Mining,Chathuri Perera,MWF 10:00AM - 10:50AM,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 337,01,Internship,Leah Hadder,,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 343,01,Programming Team Practicum,Barbara Johnson,,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 352,01,Senior Study II,Jeff Bay,,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
Maryville College,2025-26,S,CSC 381,01,Theory of Computation,Barbara Johnson,MWF 11:00AM - 11:50AM,https://docs.google.com/spreadsheets/d/1Ve6L8AgVhrE5sQ8BxG8tkHKmUx-PGxql/edit?usp=sharing&ouid=106662477818930081034&rtpof=true&sd=true
