college,academic_year,term,course_code,section,course_name,instructor,time,url,category
Massachusetts College of Liberal Arts,2021-22,F,CSCI 101,01,First Year Comp. Sci. Seminar,David Eve,TR 09:00am-10:15am (B-120),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60544,Core
Massachusetts College of Liberal Arts,2021-22,F,CSCI 122,01,Programming in Java II,Mark Cohen,ASYNC (ONLINE),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60552,Core
Massachusetts College of Liberal Arts,2021-22,F,CSCI 210,01,Networking Theory and Admin I,Guodong Wang,MWF 10:00am-10:50am (B-106),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60556,Computer networks
Massachusetts College of Liberal Arts,2021-22,F,CSCI 243,01,Database Development,David Eve,TR 10:30am-11:45am (B-120),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60542,Databases
Massachusetts College of Liberal Arts,2021-22,F,CSCI 247,01,Intro to Python Programming,Mark Cohen,ASYNC (ONLINE),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60535,Core
Massachusetts College of Liberal Arts,2021-22,F,CSCI 272,01,Electric Circuit Design II,Robert Mossman,MW 02:00pm-03:15pm (B-102),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60546,Unknown
Massachusetts College of Liberal Arts,2021-22,F,CSCI 330,01,Programming in C++,Mark Cohen,ASYNC (ONLINE),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60536,Core
Massachusetts College of Liberal Arts,2021-22,F,CSCI 360,01,Network Security I,Guodong Wang,MWF 11:00am-11:50am (B-106),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60558,Computer security & privacy
Massachusetts College of Liberal Arts,2021-22,F,CSCI 461,01,Senior Project,Guodong Wang,MW 02:00pm-03:15pm (B-106),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202160&subj_in=&crse_in=&crn_in=60554,Misc
Massachusetts College of Liberal Arts,2021-22,S,CSCI 121,01,Programming in Java I,David Eve,TR 09:00am-10:15am (B-120),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20093,Core
Massachusetts College of Liberal Arts,2021-22,S,CSCI 211,01,Networking Theory and Admin II,Guodong Wang,MWF 10:00am-10:50am (B-106),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20092,Computer networks
Massachusetts College of Liberal Arts,2021-22,S,CSCI 235,01,Digital Circuit Design,Guodong Wang,MWF 01:00pm-01:50pm (B-106),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20096,Design automation
Massachusetts College of Liberal Arts,2021-22,S,CSCI 302,01,Computer Triage,David Eve,R 06:30pm-09:15pm (B-106),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20101,Other
Massachusetts College of Liberal Arts,2021-22,S,CSCI 318,01,Computer Organization&Assembly,Guodong Wang,MW 02:00pm-03:15pm (B-102),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20492,Core
Massachusetts College of Liberal Arts,2021-22,S,CSCI 328,01,Object Oriented Design,Mark Cohen,ASYNC (ONLINE),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20102,Software engineering
Massachusetts College of Liberal Arts,2021-22,S,CSCI 352,01,Business Information Systems,David Eve,TR 01:00pm-02:15pm (B-106),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20100,Other
Massachusetts College of Liberal Arts,2021-22,S,CSCI 363,01,Network Security II,Guodong Wang,MWF 11:00am-11:50am (B-106),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20094,Computer security & privacy
Massachusetts College of Liberal Arts,2021-22,S,CSCI 420,01,Bioinformatics,Justin Golub,R 09:00am-11:45am (M-216),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20038,Computational bio & bioinformatics
Massachusetts College of Liberal Arts,2021-22,S,CSCI 462,01,Senior Seminar,David Eve,W 11:00am-11:50am (B-102),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202220&subj_in=&crse_in=&crn_in=20095,Misc
Massachusetts College of Liberal Arts,2021-22,Su,CSCI 236,01,Web Development,Guodong Wang,(HYBRID) 05/23-07/01 MW 09:00am-12:00pm (ONLINE),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202240&subj_in=&crse_in=&crn_in=40026,Software engineering
Massachusetts College of Liberal Arts,2021-22,Su,CSCI 336,01,Advanced Web Development,Guodong Wang,(HYBRID) 07/05-08/12 MW 09:00am-12:00pm (ONLINE),https://banweb.mcla.edu:8443/PRD8//bwckschd.p_disp_listcrse?term_in=202240&subj_in=&crse_in=&crn_in=40027,Software engineering
