college,academic_year,term,course_code,section,course_name,instructor,time,url
Middlebury College,2021-22,F,CSCI 0110,A,Programming through Simulation,Matthew Dickerson,TTh 1:30pm-2:45pm,https://catalog.middlebury.edu/offerings/view/section-202190-92809
Middlebury College,2021-22,F,CSCI 0110,Y,Programming Simulation Lab,Matthew Dickerson,W 12:30pm-1:20pm,https://catalog.middlebury.edu/offerings/view/section-202190-92810
Middlebury College,2021-22,F,CSCI 0110,Z,Programming Simulation Lab,Matthew Dickerson,W 1:45pm-2:35pm,https://catalog.middlebury.edu/offerings/view/section-202190-92811
Middlebury College,2021-22,F,CSCI 0145,A,Introduction to Computing,John Foley,TTh 9:30am-10:45am,https://catalog.middlebury.edu/offerings/view/section-202190-92035
Middlebury College,2021-22,F,CSCI 0145,B,Introduction to Computing,John Foley,TTh 11:00am-12:15pm,https://catalog.middlebury.edu/offerings/view/section-202190-92509
Middlebury College,2021-22,F,CSCI 0145,W,Introduction to Computing Lab,John Foley,F 8:00am-8:50am,https://catalog.middlebury.edu/offerings/view/section-202190-92036
Middlebury College,2021-22,F,CSCI 0145,X,Introduction to Computing Lab,John Foley,F 9:05am-9:55am,https://catalog.middlebury.edu/offerings/view/section-202190-92037
Middlebury College,2021-22,F,CSCI 0145,Y,Introduction to Computing Lab,John Foley,F 12:30pm-1:20pm,https://catalog.middlebury.edu/offerings/view/section-202190-92038
Middlebury College,2021-22,F,CSCI 0145,Z,Introduction to Computing Lab,John Foley,F 1:45pm-2:35pm,https://catalog.middlebury.edu/offerings/view/section-202190-92039
Middlebury College,2021-22,F,CSCI 0150,A,Computing for the Sciences,Michael Linderman,MWF 8:00am-8:50am,https://catalog.middlebury.edu/offerings/view/section-202190-91013
Middlebury College,2021-22,F,CSCI 0150,B,Computing for the Sciences,Michael Linderman,MWF 9:05am-9:55am,https://catalog.middlebury.edu/offerings/view/section-202190-92510
Middlebury College,2021-22,F,CSCI 0150,C,Computing for the Sciences,Amy Briggs,TTh 8:00am-9:15am,https://catalog.middlebury.edu/offerings/view/section-202190-93035
Middlebury College,2021-22,F,CSCI 0200,A,Math Foundations of Computing,Philip Caplan,MWF 10:10am-11:00am,https://catalog.middlebury.edu/offerings/view/section-202190-91357
Middlebury College,2021-22,F,CSCI 0200,B,Math Foundations of Computing,Philip Caplan,MWF 11:15am-12:05pm,https://catalog.middlebury.edu/offerings/view/section-202190-91540
Middlebury College,2021-22,F,CSCI 0201,A,Data Structures,"Matthew Dickerson , Ananya Das",TTh 11:00am-12:15pm,https://catalog.middlebury.edu/offerings/view/section-202190-90100
Middlebury College,2021-22,F,CSCI 0201,B,Data Structures,"Matthew Dickerson , Ananya Das",TTh 1:30pm-2:45pm,https://catalog.middlebury.edu/offerings/view/section-202190-92028
Middlebury College,2021-22,F,CSCI 0201,Y,Data Structures Lab,Ananya Das,M 12:30pm-1:20pm,https://catalog.middlebury.edu/offerings/view/section-202190-91379
Middlebury College,2021-22,F,CSCI 0201,Z,Data Structures Lab,Ananya Das,M 1:45pm-2:35pm,https://catalog.middlebury.edu/offerings/view/section-202190-91380
Middlebury College,2021-22,F,CSCI 0202,A,Computer Architecture,Andrea Vaccari,MWF 12:30pm-1:20pm,https://catalog.middlebury.edu/offerings/view/section-202190-90101
Middlebury College,2021-22,F,CSCI 0202,B,Computer Architecture,Andrea Vaccari,MWF 1:45pm-2:35pm,https://catalog.middlebury.edu/offerings/view/section-202190-91510
Middlebury College,2021-22,F,CSCI 0301,A,Theory of Computation,Amy Briggs,MWF 10:10am-11:00am,https://catalog.middlebury.edu/offerings/view/section-202190-90102
Middlebury College,2021-22,F,CSCI 0301,B,Theory of Computation,Amy Briggs,MWF 11:15am-12:05pm,https://catalog.middlebury.edu/offerings/view/section-202190-92511
Middlebury College,2021-22,F,CSCI 0302,A,Algorithms and Complexity,Matthew Dickerson,TTh 9:30am-10:45am,https://catalog.middlebury.edu/offerings/view/section-202190-91488
Middlebury College,2021-22,F,CSCI 0302,B,Algorithms and Complexity,Matthew Dickerson,TTh 11:00am-12:15pm,https://catalog.middlebury.edu/offerings/view/section-202190-91671
Middlebury College,2021-22,F,CSCI 0312,A,Software Development,Christopher Andrews,MW 8:40am-9:55am,https://catalog.middlebury.edu/offerings/view/section-202190-91729
Middlebury College,2021-22,F,CSCI 0312,B,Software Development,Christopher Andrews,MW 12:15pm-1:30pm,https://catalog.middlebury.edu/offerings/view/section-202190-92813
Middlebury College,2021-22,F,CSCI 0312,Y,Software Dev Lab - Section A,Christopher Andrews,F 8:00am-8:50am,https://catalog.middlebury.edu/offerings/view/section-202190-92815
Middlebury College,2021-22,F,CSCI 0312,Z,Software Dev Lab - Section B,Christopher Andrews,F 12:30pm-1:20pm,https://catalog.middlebury.edu/offerings/view/section-202190-92816
Middlebury College,2021-22,F,CSCI 0313,A,Programming Languages,Daniel Scharstein,MWF 11:15am-12:05pm,https://catalog.middlebury.edu/offerings/view/section-202190-91864
Middlebury College,2021-22,F,CSCI 0315,A,Systems Programming,Peter Johnson,TTh 9:30am-10:45am,https://catalog.middlebury.edu/offerings/view/section-202190-91557
Middlebury College,2021-22,F,CSCI 0315,Z,Systems Programming Lab,Peter Johnson,Th 1:30pm-4:15pm,https://catalog.middlebury.edu/offerings/view/section-202190-91730
Middlebury College,2021-22,F,CSCI 0318,A,OOP & GUI Application Dev,Frank Swenton,TTh 3:00pm-4:15pm,https://catalog.middlebury.edu/offerings/view/section-202190-92819
Middlebury College,2021-22,F,CSCI 0435,A,Embedded Systems,Andrea Vaccari,MWF 9:05am-9:55am,https://catalog.middlebury.edu/offerings/view/section-202190-92820
Middlebury College,2021-22,F,CSCI 0435,Z,Embedded Systems Lab,Andrea Vaccari,T 1:30pm-4:15pm,https://catalog.middlebury.edu/offerings/view/section-202190-92822
