college,academic_year,term,course_code,section,course_name,instructor,time,url
Oberlin College,2021-22,F,CSCI 150,01,Introduction to Computer Science,"Taggart, Sam",W 14:30-16:20 (STUOC 209); MWF 09:00-09:50 (KING 306),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 150,02,Introduction to Computer Science,"Taggart, Sam",Th 13:00-14:50 (STUOC 209); MWF 09:00-09:50 (KING 306),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 150,03,Introduction to Computer Science,"Rossetti, Blair",W 14:30-16:20 (KING 201); MWF 10:00-10:50 (KING 306),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 150,04,Introduction to Computer Science,"Feldman, Molly",Th 13:00-14:50 (KING 201); MWF 11:00-11:50 (KING 237),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 151,01,Data Structures,"Geitz, Bob",M 14:30-16:20 (KING 201); MWF 09:00-09:50 (KING 106),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 151,02,Data Structures,"Geitz, Bob",T 13:00-14:50 (KING 135); MWF 09:00-09:50 (KING 106),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 210,01,Introduction to Computer Architecture,"Checkoway, Stephen",MWF 11:00-11:50 (KING 101),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 241,01,Systems Programming,"Hoyle, Roberto",TTh 11:00-12:15 (KING 239),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 275,01,Programming Abstractions,"Checkoway, Stephen",MWF 15:30-16:20 (KING 343),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 280,01,Algorithms,"McKay, Dylan",MWF 10:00-10:50 (SEVE 108),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 311,01,Database Systems,"Hoyle, Roberto",TTh 15:00-16:15 (KING 241),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Oberlin College,2021-22,F,CSCI 364,01,Artificial Intelligence,"Eck, Adam",MWF 14:30-15:20 (KING 306),https://banner.cc.oberlin.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
