college,academic_year,term,course_code,section,course_name,instructor,time,url
Occidental College,2021-22,F,COMP 101,0,Justice and Equity in Technology,"Rabkina,I",02:45pm-03:40pm MWF,
Occidental College,2021-22,F,COMP 131,1,Fundamentals of Computer Science,"Chen,H",09:45am-10:40am MWF,
Occidental College,2021-22,F,COMP 131,2,Fundamentals of Computer Science,"David,P",11:00am-11:55am MWF,
Occidental College,2021-22,F,COMP 131,3,Fundamentals of Computer Science,"Schiffer,S",01:30pm-02:25pm MWF,
Occidental College,2021-22,F,COMP 146,1,Statistics,"Freiman,G",08:30am-09:25am MWF,
Occidental College,2021-22,F,COMP 146,2,Statistics,"David,P",09:45am-10:40am MWF,
Occidental College,2021-22,F,COMP 181,0,Advanced Programming,"Chen,C",10:15am-11:40am TR,
Occidental College,2021-22,F,COMP 229,1,Data Structures,"Rabkina,I",01:30pm-02:25pm MWF,
Occidental College,2021-22,F,COMP 229,2,Data Structures,"Chen,C",01:30pm-02:55pm TR,
Occidental College,2021-22,F,COMP 230,0,"Pollinator Drones, Wish Factories, & Robotic Dogs:`What-if? Scenarios as Drivers of Creative Prod","White,K",01:30pm-04:30pm W; 09:00am-11:00am F,
Occidental College,2021-22,F,COMP 239,0,Computer Organization,"Boscoe,B",09:45am-10:40am MWF,
Occidental College,2021-22,F,COMP 239L,1,Computer Organization Laboratory,"Boscoe,B",03:15pm-04:40pm W,
Occidental College,2021-22,F,COMP 239L,2,Computer Organization Laboratory,"Boscoe,B",01:30pm-02:55pm W,
Occidental College,2021-22,F,COMP 295,0,Topics in Computer Science: Computing in Real Life Internship,"Rabkina,I",04:00pm-04:55pm F,
Occidental College,2021-22,F,COMP 331,0,Natural Language Processing,"Chen,C",03:15pm-04:40pm TR,
Occidental College,2021-22,F,COMP 357,0,Networking,"Chen,H",01:30pm-02:25pm MWF,
Occidental College,2021-22,F,COMP 379,0,Operating Systems,"Boscoe,B",11:00am-11:55am MWF,
Occidental College,2021-22,F,COMP 490,1,Computer Science Senior Seminar,"Li,J",01:30pm-02:55pm TR,
Occidental College,2021-22,F,COMP 490,2,Computer Science Senior Seminar,"Li,J",03:15pm-04:40pm TR,
Occidental College,2021-22,S,COMP 101,0,Justice and Equity in Technology,"Rabkina,I",11:00am-11:55am MWF,
Occidental College,2021-22,S,COMP 131,1,Fundamentals of Computer Science,"Chen,H",09:45am-10:40am MWF,
Occidental College,2021-22,S,COMP 131,2,Fundamentals of Computer Science,"Schiffer,S",11:00am-11:55am MWF,
Occidental College,2021-22,S,COMP 146,1,Statistics,"David,P",09:45am-10:40am MWF,
Occidental College,2021-22,S,COMP 146,2,Statistics,"Knoerr,A",01:30pm-02:25pm MWF,
Occidental College,2021-22,S,COMP 149,0,Mathematical Foundations of Computer Science,"Chen,H",03:05pm-04:30pm MF,
Occidental College,2021-22,S,COMP 181,0,Advanced Programming,"Chen,C",01:30pm-02:55pm TR,
Occidental College,2021-22,S,COMP 229,1,Data Structures,"Rabkina,I",01:30pm-02:25pm MWF,
Occidental College,2021-22,S,COMP 229,2,Data Structures,"Chen,C",03:15pm-04:40pm TR,
