college,academic_year,term,course_code,section,course_name,instructor,time,url
Ohio Wesleyan University,2025-26,S,CS 110,1,Intro Computer Science & Programming,"Geis, Nicholas Stanley",TTh 10:00-11:50 (Schimmel/Conrades Science Center 389),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,S,CS 210,1,Intermediate Computer Science and Data S,"McCulloch, Sean T.",MW 14:10-16:00 (Schimmel/Conrades Science Center 393),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,S,CS 220,1,Foundations of Computer Science,"Jackson, Craig H.",MWF 13:10-14:00 (Schimmel/Conrades Science Center 393),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,S,CS 270,1,Paradigms of Computation,"McCulloch, Sean T.",TTh 10:00-11:50 (Schimmel/Conrades Science Center 393),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,S,CS 310,1,Database Systems,"McCulloch, Sean T.",TTh 13:10-14:30 (Schimmel/Conrades Science Center 393),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,S,CS 350,1,Operating Systems,"Wiebe, Harold D.",MWF 11:00-11:50 (Schimmel/Conrades Science Center 385),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,S,CS 490,1,Independent Study,"McCulloch, Sean T.",00:00-00:00 (Arranged ARR),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,S,CS 495,1,Internship,"Guo, Hanliang, Mascolino, Leigh E.",00:00-00:00 (Arranged ARR),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,S,CS 495,M,IRIIP Internship,"Jackson, Craig H., Guo, Hanliang, Markwardt, David D., Mascolino, Leigh E.",W 12:10-13:00 (Arranged ARR),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
Ohio Wesleyan University,2025-26,Su,CS 360,1,Algorithm Analysis and Design,"McCulloch, Sean T.",00:00-00:00 (Online Online),https://campus.owu.edu/selfserv/Search/Section?eventId=CS
