college,academic_year,term,course_code,section,course_name,instructor,time,url
Pomona College,2021-22,F,CSCI-051P,01,Intro to CS in Python w/Lab,"Zilong Ye, Tzu-Yi Chen",MWF 10:00-10:50,
Pomona College,2021-22,F,CSCI-051PL,01,"Lab, Intro to CS in Python","Zilong Ye, Tzu-Yi Chen",M 19:00-21:50,
Pomona College,2021-22,F,CSCI-051PL,02,"Lab, Intro to CS in Python","Tzu-Yi Chen, Zilong Ye",T 19:00-21:50,
Pomona College,2021-22,F,CSCI-054,01,Discrete Math and Func. Prog.,Joseph Osborn,TR 9:35-10:50,
Pomona College,2021-22,F,CSCI-062,01,Data Structures Adv Programming,"Alexandra Papoutsaki, Thomas Yeh",TR 13:20-14:35,
Pomona College,2021-22,F,CSCI-062L,01,Data Structures/Adv Program Lab,"Thomas Yeh, Alexandra Papoutsaki",W 13:20-16:20,
Pomona College,2021-22,F,CSCI-062L,02,Data Structures/Adv Program Lab,"Thomas Yeh, Alexandra Papoutsaki",W 13:20-16:20,
Pomona College,2021-22,F,CSCI-101,01,Intro to Languages and Theory,Kim Bruce,MW 11:10-12:25,
Pomona College,2021-22,F,CSCI-124,01,User Interfaces and Experience,Alexandra Papoutsaki,TR 14:55-16:10,
Pomona College,2021-22,F,CSCI-140,01,Algorithms,Anthony Clark,MW 13:20-14:35,
Pomona College,2021-22,F,CSCI-152,01,Neural Networks,Anthony Clark,TR 13:20-14:35,
Pomona College,2021-22,F,CSCI-181OR,01,Computer Architecture,Thomas Yeh,TR 9:35-10:50,
Pomona College,2021-22,F,CSCI-181SY,01,Managing Complex Systems,Michael Dickerson,MW 14:55-16:10,
Pomona College,2021-22,F,CSCI-188,01,Computer Science Colloquium,Joseph Osborn,,
Pomona College,2021-22,F,CSCI-190,01,Computer Science Senior Seminar,Joseph Osborn,T 11:10-12:25,
Pomona College,2021-22,F,CSCI-190,02,Computer Science Senior Seminar,Joseph Osborn,R 11:10-12:25,
