college,academic_year,term,course_code,section,course_name,instructor,time,url
Randolph College,2025-26,S,CSCI 1156,A,COMPUTER PROGRAMMING II,Brad Spendlove,MTTF 09:30 AM - 10:45 AM (Martin Science Building Lecture/Active Classroom),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2025-26,S,CSCI 1156L,A,COMPUTER PROGRAMMING II LAB,Brad Spendlove,MTh 01:15 PM - 02:30 PM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2025-26,S,CSCI 2225,A,MATLAB & LABVIEW,A. Katrin Schenk,TF 01:15 PM - 04:15 PM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2025-26,S,CSCI 2256,A,ALGORITHMS,Brad Spendlove,MTTF 10:55 AM - 12:10 PM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2025-26,S,CSCI 3336,A,OPERATING SYSTEMS,Brad Spendlove,MTTF 02:45 PM - 04:00 PM (Main Hall 138),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2025-26,Su,CSCI 1151,A,COMPUTER PROGRAMMING I,Jia Wan,TBA 12:00 AM - 12:00 AM (Online),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2025-26,Su,CSCI 1156,A,COMPUTER PROGRAMMING II,Jia Wan,TBA 12:00 AM - 12:00 AM (Online),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,F,CSCI 1151,A,COMPUTER PROGRAMMING I,Brad Spendlove,MTTF 10:55 AM - 12:10 PM (Leggett 537),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,F,CSCI 1151L,A,COMPUTER PROGRAMMING I LAB,Jia Wan,M 01:15 PM - 04:15 PM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,F,CSCI 1151L,B,COMPUTER PROGRAMMING I LAB,Jia Wan,TH 01:15 PM - 04:15 PM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,F,CSCI 2252,A,DATA STRUCTURES,Jia Wan,MTTF 10:55 AM - 12:10 PM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,F,CSCI 3344,A,COMPUTER GRAPHICS,Brad Spendlove,MTTF 09:30 AM - 10:45 AM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,F,CSCI 4492,A,PROFESSIONAL DEV SEM,"Marc Ordower, Jia Wan",TF 01:15 PM - 02:30 PM (Martin Science Building Seminar),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,S,CSCI 1156,A,COMPUTER PROGRAMMING II,Brad Spendlove,MTTF 09:30 AM - 10:45 AM (Martin Science Building Lecture/Active Classroom),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,S,CSCI 1156L,A,COMPUTER PROGRAMMING II LAB,Brad Spendlove,MTh 01:15 PM - 02:30 PM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
Randolph College,2026-27,S,CSCI 2256,A,ALGORITHMS,Brad Spendlove,MTTF 10:55 AM - 12:10 PM (Martin Science Building Seminar/PC Lab),https://inside.randolphcollege.edu/Course_Offerings.aspx
