college,academic_year,term,course_code,section,course_name,instructor,time,url
Randolph-Macon College,2021-22,F,CSCI 106,01,Exploring Quantitative Analysis,"Palesis, John A.",MWF 9:10 AM-10:10 AM — at 201 Copley Science Center on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20106%20%2001&add=T
Randolph-Macon College,2021-22,F,CSCI 106,02,Exploring Quantitative Analysis,"Tookes, La Toria",MWF 11:30 AM-12:30 PM — at 106 Fox Hall on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20106%20%2002&add=T
Randolph-Macon College,2021-22,F,CSCI 111,01,"Intro to Computer Science/5 FR, 10 New","McManus, John",MWF 8:00 AM-9:00 AM — at 201 Copley Science Center on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20111%20%2001&add=T
Randolph-Macon College,2021-22,F,CSCI 111,02,"Intro to Computer Science/5 FR, 10 New","McManus, John",MWF 10:20 AM-11:20 AM — at 201 Copley Science Center on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20111%20%2002&add=T
Randolph-Macon College,2021-22,F,CSCI 111,03,"Intro to Computer Science/5 FR, 10 New","Cooper, Victoria",MW 1:10 PM-2:40 PM — at 201 Copley Science Center on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20111%20%2003&add=T
Randolph-Macon College,2021-22,F,CSCI 111,04,Intro to Computer Science,"Palesis, John A.",MWF 11:30 AM-12:30 PM — at 201 Copley Science Center on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20111%20%2004&add=T
Randolph-Macon College,2021-22,F,CSCI 211,01,Computer Organization,"Necaise, Rance",TR 1:20 PM-2:50 PM — at 204 Copley Science Center on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20211%20%2001&add=T
Randolph-Macon College,2021-22,F,CSCI 212,01,Systems Programming,"Necaise, Rance",MWF 9:10 AM-10:10 AM — at 112 Haley Hall on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20212%20%2001&add=T
Randolph-Macon College,2021-22,F,CSCI 212,02,Systems Programming,"Necaise, Rance, ,, Cooper, Victoria",MWF 9:10 AM-10:10 AM — at 112 Haley Hall on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20212%20%2002&add=T
Randolph-Macon College,2021-22,F,CSCI 236,01,Database Systems,"Necaise, Rance",MWF 11:30 AM-12:30 PM — at 204 Copley Science Center on the Main Campus,https://mymaconweb.rmc.edu/m/d/m/5c62616e-9463-484d-8fd8-180250661411/MyCourses/CourseDetails?erpCourseKey=2021%3B22%3BCSCI%20236%20%2001&add=T
