college,academic_year,term,course_code,section,course_name,instructor,time,url
Roanoke College,2025-26,S,CPSC-170,A,Fundamentals Computer Science,"Sekoni, Adewale",M/W/F 10:50 AM - 11:50 AM,
Roanoke College,2025-26,S,CPSC-170L,1,Fundamentals Comp. Sci Lab,"Sekoni, Adewale",Th 2:50 PM - 5:50 PM,
Roanoke College,2025-26,S,CPSC-270,A,Software Eng & Project Design,"Bouchard, Durell",M/W/F 9:40 AM - 10:40 AM,
Roanoke College,2025-26,S,CPSC-370,A,Data Mining,"Sekoni, Adewale",M/W/F 1:10 PM - 2:10 PM,
Roanoke College,2025-26,S,CPSC-461,A,Architectr & Operating Systems,"Bouchard, Durell",T/Th 1:10 PM - 2:40 PM,
Roanoke College,2025-26,S,CPSC-471,A,Web Applications,"Bouchard, Durell",M/W/F 12:00 PM - 1:00 PM,
Roanoke College,2026-27,F,CPSC-120,A,Programming:,"Bouchard, Durell",M/W/F 8:30 AM - 9:30 AM,
Roanoke College,2026-27,F,CPSC-120,B,Programming:,"Bouchard, Durell",M/W/F 9:40 AM - 10:40 AM,
Roanoke College,2026-27,F,CPSC-120,C,Programming:,"Sekoni, Adewale",M/W/F 10:50 AM - 11:50 AM,
Roanoke College,2026-27,F,CPSC-120L,1,Programming Lab,"Bouchard, Durell",T 8:30 AM - 10:00 AM,
Roanoke College,2026-27,F,CPSC-120L,2,Programming Lab,"Bouchard, Durell",T 10:10 AM - 11:40 AM,
Roanoke College,2026-27,F,CPSC-120L,3,Programming Lab,"Sekoni, Adewale",Th 10:10 AM - 11:40 AM,
Roanoke College,2026-27,F,CPSC-250,A,Data Structures and Algorithms,"Sekoni, Adewale",M/W/F 1:10 PM - 2:10 PM,
Roanoke College,2026-27,F,CPSC-250L,1,Data Structures/Algorithms Lab,"Sekoni, Adewale",Th 2:50 PM - 5:50 PM,
Roanoke College,2026-27,F,CPSC-350,A,Database Systems,"Staff, SHSS",M/W 2:20 PM - 3:50 PM,
Roanoke College,2026-27,F,CPSC-450,A,Theory of Computation,"Sekoni, Adewale",T/Th 1:10 PM - 2:40 PM,
