college,academic_year,term,course_code,section,course_name,instructor,time,url
Saint Vincent College,2026-27,F,CS-102,01,FUNDAMENTALS OF IT & COMPUTIN,"Serapiglia, A",M/W/F 8:00 AM - 8:50 AM,
Saint Vincent College,2026-27,F,CS-110,01,C++ PROGRAMMING I,"Mera Trujillo, M",M/W/F 10:00 AM - 10:50 AM,
Saint Vincent College,2026-27,F,CS-170,01,DISCRETE STRUCTURES,"Carlson, D White, J",M/W/F 9:00 AM - 9:50 AM,
Saint Vincent College,2026-27,F,CS-190,01,PROGRAMMING LANG LAB:PYTHON,"Paredes Navia, S",T/Th 10:00 AM - 11:15 AM,
Saint Vincent College,2026-27,F,CS-205,01,WEBSITE DESIGN & PROGRAMMING,"Anderson, T",M 4:00 PM - 6:30 PM,
Saint Vincent College,2026-27,F,CS-221,01,DATA STRUCTURES,"Mera Trujillo, M",T/Th 11:30 AM - 12:45 PM,
Saint Vincent College,2026-27,F,CS-267,01,CLOUD FOUNDATIONS,"Serapiglia, A",M/F 1:00 PM - 2:15 PM,
Saint Vincent College,2026-27,F,CS-292,01,ENGINEERING & COMPUTER ETHICS,"Birmingham, S",M/W/F 8:00 AM - 8:50 AM,
Saint Vincent College,2026-27,F,CS-292,02,ENGINEERING & COMPUTER ETHICS,"Birmingham, S",M/W/F 10:00 AM - 10:50 AM,
Saint Vincent College,2026-27,F,CS-312,01,INTRODUCTION TO ALGORITHMS,"Mera Trujillo, M",M/W/F 12:00 PM - 12:50 PM,
Saint Vincent College,2026-27,F,CS-335,01,COMPUTER ORGANIZATION,"Jodis, S",T/Th 8:30 AM - 9:45 AM,
Saint Vincent College,2026-27,F,CS-357,01,COMPUTING SCIENCE PROJECT I,"Serapiglia, A",W 1:00 PM - 1:50 PM,
