college,academic_year,term,course_code,section,course_name,instructor,time,url
Skidmore College,2021-22,F,CS 106,001,Introduction to Computer Science I,"Reilly, Christine",Th 09:40-12:30 (CIS 237); WF 12:20-13:40 (CIS 348),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 106,002,Introduction to Computer Science I,"Prasad, Aarathi",T 12:40-15:30 (CIS 237); MW 14:30-15:50 (CIS 233),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 106,003,Introduction to Computer Science I,"Zinni, Mike",WF 08:40-10:00 (ANNEX 118); T 09:40-12:30 (CIS 237),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 209,001,Data Structures and Mathematical Foundations,"O'Connell, Tom",TTh 12:40-14:00 (CIS 233); W 14:30-17:20 (CIS 237),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 226,001,Software Design,"Read, David",MWF 12:20-13:15 (CIS 237); Th 14:10-16:00 (CIS 237),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 230,001,Programming Languages,"Read, David",WF 08:40-10:00 (CIS 237); M 09:05-10:00 (CIS 237),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 275H,001,Introduction to Research in Computer Science,"Eckmann, Mike",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 275H,002,Introduction to Research in Computer Science,"O'Connell, Tom",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 275H,003,Introduction to Research in Computer Science,"Reilly, Christine",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 275H,004,Introduction to Research in Computer Science,"Read, David",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 275H,005,Introduction to Research in Computer Science,"Prasad, Aarathi",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 305,001,Design and Analysis of Algorithms,"Eckmann, Mike",TTh 11:10-12:30 (ANNEX 119); M 11:15-12:10 (ANNEX 119),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 318,001,Introduction to Computer Organization,"Prasad, Aarathi",M 08:00-08:55 (CIS 237); TTh 08:10-09:30 (ANNEX 118),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 329,001,Operating Systems,"Reilly, Christine",WF 10:10-11:30 (CIS 237); Th 13:05-14:00 (CIS 237),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 376B,001,Machine Learning,"O'Connell, Tom",F 13:25-14:20 (CIS 233); TTh 15:40-17:00 (CIS 233),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 381,001,Senior Thesis,"Eckmann, Mike",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 381,002,Senior Thesis,"O'Connell, Tom",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 381,003,Senior Thesis,"Reilly, Christine",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 381,004,Senior Thesis,"Read, David",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,F,CS 381,005,Senior Thesis,"Prasad, Aarathi",,https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,S,CS 106,001,Introduction to Computer Science I,"Prasad, Aarathi",T 14:10-17:00 (CIS 237); MW 14:30-15:50 (CIS 233),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,S,CS 209,001,Data Structures and Mathematical Foundations,"Eckmann, Mike",T 09:40-12:30 (CIS 237); MWF 13:25-14:20 (CIS 233),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,S,CS 226,001,Software Design,"Reilly, Christine",WF 10:10-11:30 (CIS 233); Th 10:40-12:30 (CIS 237),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Skidmore College,2021-22,S,CS 230,001,Programming Languages,"Read, David",WF 12:20-13:40 (CIS 237); M 13:25-14:20 (CIS 237),https://bannerxe.skidmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
