college,academic_year,term,course_code,section,course_name,instructor,time,url
Smith College,2021-22,F,CSC 102,01,How the Internet Works,Pablo Frank Bolton,TTh 9:25 AM-10:40 AM (Ford 241),https://www.smith.edu/apps/course_search/#csc-102-01-202201
Smith College,2021-22,F,CSC 103,01,How Computers Work,Pablo Frank Bolton,TTh 9:25 AM-10:40 AM (Ford 241),https://www.smith.edu/apps/course_search/#csc-103-01-202201
Smith College,2021-22,F,CSC 109,01,Communicating with Data,Jordan Crouser,MW 1:20 PM-2:35 PM (Stoddard G2),https://www.smith.edu/apps/course_search/#csc-109-01-202201
Smith College,2021-22,F,CSC 111,01,Introduction to Computer Science Through Programming,Joseph O'Rourke,MWF 8:00 AM-9:15 AM (Ford 241),https://www.smith.edu/apps/course_search/#csc-111-01-202201
Smith College,2021-22,F,CSC 111,02,Introduction to Computer Science Through Programming,Joseph O'Rourke,MWF 9:25 AM-10:40 AM (Ford 241),https://www.smith.edu/apps/course_search/#csc-111-02-202201
Smith College,2021-22,F,CSC 111,03,Introduction to Computer Science Through Programming,Pablo Frank Bolton,MWF 9:25 AM-10:40 AM (Ford 342),https://www.smith.edu/apps/course_search/#csc-111-03-202201
Smith College,2021-22,F,CSC 111,04,Introduction to Computer Science Through Programming,Shinyoung Cho,MWF 1:20 PM-2:35 PM (Ford 241),https://www.smith.edu/apps/course_search/#csc-111-04-202201
Smith College,2021-22,F,CSC 212,01,Programming With Data Structures,Jordan Crouser,MWF 9:25 AM-10:40 AM (McConnell 103),https://www.smith.edu/apps/course_search/#csc-212-01-202201
Smith College,2021-22,F,CSC 212,02,Programming With Data Structures,Nicholas Read Howe,MWF 9:25 AM-10:40 AM (McConnell 104),https://www.smith.edu/apps/course_search/#csc-212-02-202201
Smith College,2021-22,F,CSC 220,01,Advanced Programming Techniques,Ileana Streinu,MWF 1:20 PM-2:35 PM (Ford 342),https://www.smith.edu/apps/course_search/#csc-220-01-202201
Smith College,2021-22,F,CSC 223,01,Introduction to Software Engineering,Johanna Brewer,Tuesday | 7:00 PM - 9:30 PM; Tuesday | 1:20 PM - 4:00 PM / Seelye 106,https://www.smith.edu/apps/course_search/#csc-223-01-202201
Smith College,2021-22,F,CSC 231,01,Microprocessors and Assembly Language,Jamie C. Macbeth,MWF 2:45 PM-4:00 PM (Ford 342),https://www.smith.edu/apps/course_search/#csc-231-01-202201
