college,academic_year,term,course_code,section,course_name,instructor,time,url
Southwestern University,2026-27,S,CSC54-144,01,Explorations in Computing,Dr. Barbara M. Anthony,T/Th 2:30 PM - 3:45 PM,
Southwestern University,2025-26,S,CSC54-184,01,Computer Science I,Dr. Jacob B. Schrum,M/W/F 11:00 AM - 12:15 PM,
Southwestern University,2026-27,F,CSC54-184,01,Computer Science I,Dr. Arjun Chandrasekhar,M/W/F 8:00 AM - 9:15 AM,
Southwestern University,2026-27,F,CSC54-184,02,Computer Science I,Dr. Arjun Chandrasekhar,M/W/F 9:30 AM - 10:45 AM,
Southwestern University,2026-27,S,CSC54-184,01,Computer Science I,Dr. Jacob B. Schrum,M/W/F 9:30 AM - 10:45 AM,
Southwestern University,2025-26,S,CSC54-284,01,Computer Science II,Dr. Jacob B. Schrum,M/W/F 2:00 PM - 3:15 PM,
Southwestern University,2026-27,S,CSC54-284,01,Computer Science II,Dr. Arjun Chandrasekhar,M/W/F 11:00 AM - 12:15 PM,
Southwestern University,2026-27,F,CSC54-384,01,Discrete Mathematics,Dr. Arjun Chandrasekhar,T/Th 11:30 AM - 12:45 PM,
Southwestern University,2026-27,F,CSC54-394,01,Computer Organization,Dr. Jacob B. Schrum,M/W/F 2:00 PM - 3:15 PM,
Southwestern University,2026-27,S,CSC54-424,01,Artificial Intelligence,Dr. Jacob B. Schrum,T/Th 1:00 PM - 2:15 PM,
Southwestern University,2025-26,S,CSC54-454,01,Algorithms,Dr. Barbara M. Anthony,T/Th 10:00 AM - 11:15 AM,
Southwestern University,2026-27,S,CSC54-454,01,Algorithms,Dr. Barbara M. Anthony,T/Th 10:00 AM - 11:15 AM,
Southwestern University,2026-27,F,CSC54-474,01,Programming Languages,Dr. Jacob B. Schrum,T/Th 2:30 PM - 3:45 PM,
Southwestern University,2026-27,F,CSC54-514,01,Database Management,Dr. Jacob B. Schrum,T/Th 1:00 PM - 2:15 PM,
Southwestern University,2025-26,S,CSC54-524,01,Intro to Numerical Analysis,Dr. Kendall C. Richards,T/Th 8:30 AM - 9:45 AM,
Southwestern University,2025-26,S,CSC54-644,01,Computer Systems,Dr. Jacob B. Schrum,T/Th 1:00 PM - 2:15 PM,
Southwestern University,2026-27,S,CSC54-644,01,Computer Systems,Dr. Arjun Chandrasekhar,T/Th 11:30 AM - 12:45 PM,
Southwestern University,2025-26,S,CSC54-894,01,Sr Sem in Software Engineering,Dr. Barbara M. Anthony,M/W/F 9:30 AM - 10:45 AM,
Southwestern University,2026-27,S,CSC54-894,01,Sr Sem in Software Engineering,Dr. Barbara M. Anthony,M/W/F 2:00 PM - 3:15 PM,
