college,academic_year,term,course_code,section,course_name,instructor,time,url
St. Mary's College of Maryland,2024-25,F,COSC 120,01,COMPUTER SCIENCE I (MA),"Lane,Chunchao",MoWeFr 9:30AM - 10:20AM,
St. Mary's College of Maryland,2024-25,F,COSC 120,02,COMPUTER SCIENCE I (MA),"Lane,Chunchao",TuTh 9:55AM - 11:10AM,
St. Mary's College of Maryland,2024-25,F,COSC 120,03,COMPUTER SCIENCE I (MA),"Lane,Chunchao",TuTh 1:45PM - 3:00PM,
St. Mary's College of Maryland,2024-25,F,COSC 120,04,COMPUTER SCIENCE I (MA),"Young,Richard",MoWe 6:10PM - 7:25PM,
St. Mary's College of Maryland,2024-25,F,COSC 130,01,INTRO TO COMPUTER SCIENCE II,"Webster,Ariel",TuTh 3:10PM - 4:25PM,
St. Mary's College of Maryland,2024-25,F,COSC 181,01,EMERGING SCHOLARS,"Webster,Ariel",MoWe 3:10PM - 4:25PM,
St. Mary's College of Maryland,2024-25,F,COSC 201,01,ALGORITHMS/DATA STRUCTURES,"Sharif,MD Haidar",MoWeFr 10:30AM - 11:20AM,
St. Mary's College of Maryland,2024-25,F,COSC 201,02,ALGORITHMS/DATA STRUCTURES,"Sharif,MD Haidar; Lane, Chunchao",MoWeFr 9:30AM - 10:20AM,
St. Mary's College of Maryland,2024-25,F,COSC 201,03,ALGORITHMS/DATA STRUCTURES,"Sharif,MD Haidar",MoWeFr 9:30AM - 10:20AM,
St. Mary's College of Maryland,2024-25,F,COSC 230,01,COMPUTER ARCHITECTURE,"Read,Simon",MoWeFr 1:10PM - 2:00PM,
St. Mary's College of Maryland,2024-25,F,COSC 301,01,SOFTWARE ENGINEERING I,"Tracy,Robert",TuTh 6:10PM - 7:25PM,
St. Mary's College of Maryland,2024-25,F,COSC 381,01,CODING INTERVIEW PRACTICUM,"Read,Simon",Mo 6:10PM - 7:25PM,
St. Mary's College of Maryland,2024-25,F,COSC 401,01,SOFTWARE STARTUP SIMULATOR CAPST ONE,"Read,Simon",MoWe 3:10PM - 4:25PM,
St. Mary's College of Maryland,2024-25,F,COSC 420,01,DISTRIBUTED/PARALLEL COMPUTING,"Sharif,MD Haidar",MoWeFr 2:10PM - 3:00PM,
St. Mary's College of Maryland,2024-25,F,COSC 435,01,ACCELERATION,"Read,Simon",MoWeFr 10:30AM - 11:20AM,
St. Mary's College of Maryland,2024-25,F,COSC 440,01,THEORY OF COMPUTATION,"Meadows,Alexander",TuTh 12:20PM - 1:35PM,
St. Mary's College of Maryland,2024-25,F,COSC 490,01,Artifical Intelligence & Natural,"Perez,Victor",MoWeFr 1:10PM - 2:00PM,
St. Mary's College of Maryland,2024-25,F,COSC307 ##,01,Classroom Assistantship,"Webster,Ariel",No Scheduled Meetings,
St. Mary's College of Maryland,2024-25,F,COSC398 ##,01,Off-Campus Internship,"Read,Simon",No Scheduled Meetings,
St. Mary's College of Maryland,2024-25,F,COSC498 ##,01,Off-Campus Internship,"Read,Simon",No Scheduled Meetings,
St. Mary's College of Maryland,2024-25,W,COSC 499,01,Composite Statistics,"Read,Simon",MoTuWeThFr 12:00AM - 12:05AM,
St. Mary's College of Maryland,2024-25,S,COSC 120,01,COMPUTER SCIENCE I (MA),"Lane,Chunchao",MoWeFr 9:30AM - 10:20AM,
St. Mary's College of Maryland,2024-25,S,COSC 120,02,COMPUTER SCIENCE I (MA),"Lane,Chunchao",MoWeFr 2:10PM - 3:00PM,
St. Mary's College of Maryland,2024-25,S,COSC 130,01,INTRO TO COMPUTER SCIENCE II,"Sharif,MD Haidar",TuTh 9:55AM - 11:10AM,
St. Mary's College of Maryland,2024-25,S,COSC 130,02,INTRO TO COMPUTER SCIENCE II,"Young,Richard; STAFF, STAFF",TuTh 6:10PM - 7:25PM,
St. Mary's College of Maryland,2024-25,S,COSC 201,01,ALGORITHMS/DATA STRUCTURES,"Sharif,MD Haidar",TuTh 12:20PM - 1:35PM,
St. Mary's College of Maryland,2024-25,S,COSC 251,01,PROGRAMMING LANGUAGES,"Read,Simon",MoWeFr 1:10PM - 2:00PM,
