college,academic_year,term,course_code,section,course_name,instructor,time,url
St. Olaf College,2021-22,F,CSCI 121,A,Principles Comp Sci,"Hall-Holt, Olaf A.",MWF 0905-1000,
St. Olaf College,2021-22,F,CSCI 121,B,Principles Comp Sci,"Jensen, Elizabeth A.",MWF 1150-1245PM,
St. Olaf College,2021-22,F,CSCI 202,,Top: Information Tech Management,"Brown, Richard",,
St. Olaf College,2021-22,F,CSCI 221,,Intro to Data Structures in C++,"Jensen, Elizabeth A.",MWF 1045-1140,
St. Olaf College,2021-22,F,CSCI 241,,Hardware Design,"Brown, Richard",MWF 0905-1000,
St. Olaf College,2021-22,F,CSCI 251,,Software Design,"Brown, Richard",MWF 1045-1140,
St. Olaf College,2021-22,F,CSCI 252,A,Software Design/Lab,"Brown, Richard",W 0300-0500PM,
St. Olaf College,2021-22,F,CSCI 252,B,Software Design/Lab,"Brown, Richard",Th 1245-0245PM,
St. Olaf College,2021-22,F,CSCI 263,,Ethical Issues in Software Design,"Huff, Charles",T 1145-0110PM<br>Th 1245-0205PM,
St. Olaf College,2021-22,F,CSCI 276,,Programming Languages,"Hall-Holt, Olaf A.",MWF 1045-1140,
St. Olaf College,2021-22,F,CSCI 284,,Mobile Computing Apps,"Brown, Richard",MWF 0200-0255PM,
St. Olaf College,2021-22,F,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2021-22,F,CSCI 298,,IS/,Staff,,
St. Olaf College,2021-22,F,CSCI 300,,Top: Artificial Intelligence,"Jensen, Elizabeth A.",T 0935-1100 <br>Th 0930-1050,
St. Olaf College,2021-22,F,CSCI 390,,Sem: Senior Capstone,"Hall-Holt, Olaf A.",MWF 1255-0150PM,
St. Olaf College,2021-22,F,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2021-22,F,CSCI 398,,IR/,Staff,,
St. Olaf College,2021-22,W,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2021-22,W,CSCI 298,,IS/,Staff,,
St. Olaf College,2021-22,W,CSCI 390,,Sem: Senior Capstone,"Brown, Richard",M-F 0800-1000 <br>M-F 0100-0300PM,
St. Olaf College,2021-22,W,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2021-22,W,CSCI 398,,IR/,Staff,,
St. Olaf College,2021-22,S,CSCI 121,,Principles Comp Sci,"Kondrakunta, Sravya",MWF 1045-1140,
St. Olaf College,2021-22,S,CSCI 125,,Comp Sci for Science/Math,"Kondrakunta, Sravya",MWF 0905-1000,
St. Olaf College,2021-22,S,CSCI 201,,Top: Advanced IT Management,"Brown, Richard",,
St. Olaf College,2021-22,S,CSCI 202,,Top: Advanced IT Management,"Brown, Richard",,
St. Olaf College,2021-22,S,CSCI 221,A,Intro to Data Structures in C++,"Jensen, Elizabeth A.",MWF 1045-1140,
St. Olaf College,2021-22,S,CSCI 221,B,Intro to Data Structures in C++,"Jensen, Elizabeth A.",MWF 1150-1245PM,
St. Olaf College,2021-22,S,CSCI 251,,Software Design,"Hall-Holt, Olaf A.",MWF 0905-1000,
St. Olaf College,2021-22,S,CSCI 263,,Ethical Issues in Software Design,"Huff, Charles",T 1145-0110PM<br>Th 1245-0205PM,
St. Olaf College,2021-22,S,CSCI 273,A,Operating Systems,"Brown, Richard",MWF 1255-0150PM,
St. Olaf College,2021-22,S,CSCI 273,B,Operating Systems,"Jensen, Elizabeth A.",MWF 0200-0255PM,
St. Olaf College,2021-22,S,CSCI 284,,Mobile Computing Apps,"Brown, Richard",MWF 0200-0255PM,
St. Olaf College,2021-22,S,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2021-22,S,CSCI 298,,IS/,Staff,,
St. Olaf College,2021-22,S,CSCI 353,,Analysis of Algorithms,"Hall-Holt, Olaf A.",MWF 1045-1140,
St. Olaf College,2021-22,S,CSCI 390,,Sem: Senior Capstone,"Hall-Holt, Olaf A.",MWF 1255-0150PM,
St. Olaf College,2021-22,S,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2021-22,S,CSCI 398,,IR/,Staff,,
St. Olaf College,2021-22,S,CSCI 398,A,IR/Proj Friendship Mobile App Devel,"Brown, Richard",,
St. Olaf College,2022-23,F,CSCI 121,,Principles Comp Sci,"Kondrakunta, Sravya",MWF 1150-1245PM,
St. Olaf College,2022-23,F,CSCI 125,A,Comp Sci for Science/Math,"Davila, Jaime I.",MWF 0905-1000,
St. Olaf College,2022-23,F,CSCI 125,B,Comp Sci for Science/Math,"Davila, Jaime I.",MWF 1045-1140,
St. Olaf College,2022-23,F,CSCI 221,,Intro to Data Structures in C++,"Jensen, Elizabeth A.",MWF 1150-1245PM,
St. Olaf College,2022-23,F,CSCI 241,,Hardware Design,"Jensen, Elizabeth A.",MWF 1045-1140,
St. Olaf College,2022-23,F,CSCI 251,,Software Design,"Hall-Holt, Olaf A.",MWF 0905-1000,
St. Olaf College,2022-23,F,CSCI 263,,Ethical Issues in Software Design,"Jensen, Elizabeth A.",T 0935-1100 <br>Th 0930-1050,
St. Olaf College,2022-23,F,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2022-23,F,CSCI 294,A,Academic Internship,"Matsuura, Ryota",,
St. Olaf College,2022-23,F,CSCI 294,B,Academic Internship,"Davila, Jaime I.",,
St. Olaf College,2022-23,F,CSCI 294,C,Academic Internship,"Kondrakunta, Sravya",,
St. Olaf College,2022-23,F,CSCI 298,,IS/,Staff,,
St. Olaf College,2022-23,F,CSCI 353,,Analysis of Algorithms,"Hall-Holt, Olaf A.",MWF 1255-0150PM,
St. Olaf College,2022-23,F,CSCI 379,A,Foundations of A.I.,"Kondrakunta, Sravya",T 0935-1100 <br>Th 0930-1050,
St. Olaf College,2022-23,F,CSCI 379,B,Foundations of A.I.,"Kondrakunta, Sravya",T 1145-0110PM<br>Th 1245-0205PM,
St. Olaf College,2022-23,F,CSCI 390,,Sem: Senior Capstone,"Hall-Holt, Olaf A.",MWF 0200-0255PM,
St. Olaf College,2022-23,F,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2022-23,F,CSCI 394,A,Academic Internship,"Hall-Holt, Olaf A.",,
St. Olaf College,2022-23,F,CSCI 398,,IR/,Staff,,
St. Olaf College,2022-23,F,CSCI 398,A,IR/Natural Language Understanding,"Richey, Matthew",,
St. Olaf College,2022-23,F,CSCI 398,B,IR/Robot Coverage and Connectivity,"Jensen, Elizabeth A.",,
St. Olaf College,2022-23,F,CSCI 398,C,IR/,Staff,,
St. Olaf College,2022-23,W,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2022-23,W,CSCI 298,,IS/,Staff,,
St. Olaf College,2022-23,W,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2022-23,W,CSCI 398,,IR/,Staff,,
St. Olaf College,2022-23,S,CSCI 121,A,Principles Comp Sci,"Kondrakunta, Sravya",MWF 0905-1000,
St. Olaf College,2022-23,S,CSCI 121,B,Principles Comp Sci,"Mandery, Kim",MWF 0200-0255PM,
St. Olaf College,2022-23,S,CSCI 221,A,Intro to Data Structures in C++,"Kondrakunta, Sravya",MWF 1045-1140,
St. Olaf College,2022-23,S,CSCI 221,B,Intro to Data Structures in C++,"Kondrakunta, Sravya",MWF 1255-0150PM,
St. Olaf College,2022-23,S,CSCI 241,,Hardware Design,"Jensen, Elizabeth A.",MWF 1150-1245PM,
St. Olaf College,2022-23,S,CSCI 251,,Software Design,"Hall-Holt, Olaf A.",MWF 0905-1000,
St. Olaf College,2022-23,S,CSCI 273,,Operating Systems,"Jensen, Elizabeth A.",MWF 1045-1140,
St. Olaf College,2022-23,S,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2022-23,S,CSCI 294,A,Academic Internship,"Matsuura, Ryota",,
St. Olaf College,2022-23,S,CSCI 294,B,Academic Internship,"Kondrakunta, Sravya",,
St. Olaf College,2022-23,S,CSCI 298,,IS/,Staff,,
St. Olaf College,2022-23,S,CSCI 298,A,IS/Computational Imaging,"Wright, Matthew",,
St. Olaf College,2022-23,S,CSCI 333,,Theory of Computation,"Richey, Matthew",MWF 1255-0150PM,
St. Olaf College,2022-23,S,CSCI 353,,Analysis of Algorithms,"Hall-Holt, Olaf A.",MWF 0200-0255PM,
St. Olaf College,2022-23,S,CSCI 390,A,Sem: Senior Capstone,"Hall-Holt, Olaf A.",MWF 0800-0855,
St. Olaf College,2022-23,S,CSCI 390,B,Sem: Senior Capstone,"Jensen, Elizabeth A.",MWF 0200-0255PM,
St. Olaf College,2022-23,S,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2022-23,S,CSCI 394,A,Academic Internship,"Kondrakunta, Sravya",,
St. Olaf College,2022-23,S,CSCI 398,,IR/,Staff,,
St. Olaf College,2022-23,S,CSCI 398,A,IR/Auto PDC on Cloud Containers,"Brown, Richard",,
St. Olaf College,2023-24,F,CSCI 121,,Principles Comp Sci,"Reinartz, T.J.",MWF 0800-0855,
St. Olaf College,2023-24,F,CSCI 125,,Comp Sci for Science/Math,"Reinartz, T.J.",MWF 0905-1000,
St. Olaf College,2023-24,F,CSCI 221,,Intro to Data Structures in C++,"Kondrakunta, Sravya",MWF 0905-1000,
St. Olaf College,2023-24,F,CSCI 241,,Hardware Design,"Lynn, Melissa K.",MWF 1150-1245PM,
St. Olaf College,2023-24,F,CSCI 251,A,Software Design,"Hall-Holt, Olaf A.",MWF 0800-0855,
St. Olaf College,2023-24,F,CSCI 251,B,Software Design,"Hall-Holt, Olaf A.",MWF 0800-0855,
St. Olaf College,2023-24,F,CSCI 263,,Ethical Issues in Software Design,"Huff, Charles",T 1145-0110PM<br>Th 1245-0205PM,
St. Olaf College,2023-24,F,CSCI 276,,Programming Languages,"Hall-Holt, Olaf A.",MWF 1045-1140,
St. Olaf College,2023-24,F,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2023-24,F,CSCI 294,A,Academic Internship,"Matsuura, Ryota",,
St. Olaf College,2023-24,F,CSCI 294,B,Academic Internship,"Kondrakunta, Sravya",,
St. Olaf College,2023-24,F,CSCI 298,,IS/,Staff,,
St. Olaf College,2023-24,F,CSCI 298,A,IS/Research on Genomics Analysis,"Davila, Jaime I.",,
St. Olaf College,2023-24,F,CSCI 353,,Analysis of Algorithms,"Lynn, Melissa K.",MWF 0200-0255PM,
St. Olaf College,2023-24,F,CSCI 379,,Foundations of A.I.,"Kondrakunta, Sravya",MWF 1255-0150PM,
St. Olaf College,2023-24,F,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2023-24,F,CSCI 398,,IR/,Staff,,
St. Olaf College,2023-24,W,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2023-24,W,CSCI 298,,IS/,Staff,,
St. Olaf College,2023-24,W,CSCI 391,,Ghana International Capstone,"Hall-Holt, Olaf A.",M-F 0100-0300PM<br>M-F 1040-1240PM,
St. Olaf College,2023-24,W,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2023-24,W,CSCI 398,,IR/,Staff,,
St. Olaf College,2023-24,S,CSCI 121,,Principles Comp Sci,"Reinartz, T.J.",MWF 0800-0855,
St. Olaf College,2023-24,S,CSCI 125,,Comp Sci for Science/Math,"Reinartz, T.J.",MWF 0905-1000,
St. Olaf College,2023-24,S,CSCI 200,,Top: Intro to Machine Learning,"Mandery, Kim",T 0120-0245PM<br>Th 0215-0335PM,
St. Olaf College,2023-24,S,CSCI 221,A,Intro to Data Structures in C++,"Kondrakunta, Sravya",MWF 0905-1000,
St. Olaf College,2023-24,S,CSCI 221,B,Intro to Data Structures in C++,"Kondrakunta, Sravya",MWF 1045-1140,
St. Olaf College,2023-24,S,CSCI 241,,Hardware Design,"Fyfe, Charles A.; Lynn, Melissa K.",MWF 1255-0150PM,
St. Olaf College,2023-24,S,CSCI 251,,Software Design,"Hall-Holt, Olaf A.",MWF 0200-0255PM,
St. Olaf College,2023-24,S,CSCI 263,,Ethical Issues in Software Design,"Lynn, Melissa K.; Johnson, Barbara Z.",MWF 1045-1140,
St. Olaf College,2023-24,S,CSCI 294,,Academic Internship,Staff,,
St. Olaf College,2023-24,S,CSCI 294,A,Academic Internship,"Kondrakunta, Sravya",,
St. Olaf College,2023-24,S,CSCI 298,,IS/,Staff,,
St. Olaf College,2023-24,S,CSCI 333,,Theory of Computation,"Lynn, Melissa K.",MWF 0200-0255PM,
St. Olaf College,2023-24,S,CSCI 353,,Analysis of Algorithms,"Hall-Holt, Olaf A.",MWF 0800-0855,
St. Olaf College,2023-24,S,CSCI 390,,Sem: Senior Capstone,"Kondrakunta, Sravya",MWF 1150-1245PM,
St. Olaf College,2023-24,S,CSCI 394,,Academic Internship,Staff,,
St. Olaf College,2023-24,S,CSCI 398,,IR/,Staff,,
St. Olaf College,2024-25,F,CSCI 121,A,Principles Comp Sci,"Mandery, Kim",MWF 0800-0855,
St. Olaf College,2024-25,F,CSCI 121,B,Principles Comp Sci,"Mandery, Kim",MWF 0905-1000,
St. Olaf College,2024-25,F,CSCI 125,,Comp Sci for Science/Math,"Mandery, Kim",MWF 1045-1140,
St. Olaf College,2024-25,F,CSCI 221,,Intro to Data Structures in C++,"Johnson, Barbara Z.",MWF 0905-1000,
St. Olaf College,2024-25,F,CSCI 241,,Hardware Design,"Lynn, Melissa K.",MWF 0200-0255PM,
St. Olaf College,2024-25,F,CSCI 251,A,Software Design,"Leeson, Will E.",MWF 1045-1140,
St. Olaf College,2024-25,F,CSCI 251,B,Software Design,"Leeson, Will E.",MWF 1150-1245PM,
St. Olaf College,2024-25,F,CSCI 263,,Ethical Issues in Software Design,"Huff, Charles",T 1145-0110PM<br>Th 1245-0205PM,
St. Olaf College,2024-25,F,CSCI 276,,Programming Languages,"Leeson, Will E.",MWF 0200-0255PM,
St. Olaf College,2024-25,F,CSCI 294,A,Academic Internship,"Mandery, Kim",,
St. Olaf College,2024-25,F,CSCI 298,A,IS/Quantum Computing,"Haydock, Michael",,
