college,academic_year,term,course_code,section,course_name,instructor,time,url
Stonehill College,2021-22,F,CSC 102,A,Introduction to Programming,"Balint, John",MWF 10:30-11:20 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 102,B,Introduction to Programming,"Balint, John",MWF 09:30-10:20 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 103,A,Computer Science I,"Brown-Sederberg, Janet",TWTh 14:30-15:45 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 103,B,Computer Science I,"Brown-Sederberg, Janet",MW 16:00-17:50 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 103,C,Computer Science I,"Brown-Sederberg, Janet",TTh 16:00-17:50 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 201,A,Discrete Mathematics for Computer Science I,"Simonson, Charles",MWF 09:30-10:20 (CC 215),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 211,A,Data Structures,"Bravaco, Ralph",TTh 11:30-12:45 (CC 215),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 221,A,Computer Logic & Organization,"Simonson, Charles",MWF 10:30-11:20 (CC 215),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 312,A,Compiler Design,"Bravaco, Ralph",TTh 10:00-11:15 (CC 215),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 322,A,Machine Learning,"Balint, John",MW 13:00-14:15 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 475,A,Internship in Computer Science,"Balint, John",,https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 475,A1,Internship in Computer Science,"Schnitzer, Cheryl",,https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 475,B,Internship in Computer Science,"Bravaco, Ralph",,https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,F,CSC 496,A,Independent Research in Computer Science,"Balint, John",,https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,S,CSC 102,A,Introduction to Programming,"Brown-Sederberg, Janet",MW 16:00-17:15 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,S,CSC 104,A,Computer Science II,"Bravaco, Ralph",W 08:00-09:15 (CC 228); TTh 10:00-11:15 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,S,CSC 104,B,Computer Science II,"Bravaco, Ralph",TWTh 11:30-12:45 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,S,CSC 195,A,How Computers Work,"Simonson, Charles",MTTh 13:00-13:50 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,S,CSC 202,A,Discrete Mathematics for Computer Science II,"Simonson, Charles",TTh 10:00-11:15 (CC 215),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,S,CSC 304,A,Computer Architecture,"Simonson, Charles",TTh 08:30-09:45 (CC 215),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,S,CSC 310,A,Cybersecurity,"Brown-Sederberg, Janet",TTh 16:00-17:15 (CC 228),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Stonehill College,2021-22,S,CSC 393,A,Numerical Analysis,"Lee, Jane Hyo Jin",MW 14:30-15:45 (DU 115),https://xessb.stonehill.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
