college,academic_year,term,course_code,section,course_name,instructor,time,url
Susquehanna University,2021-22,F,CSCI-181,01,Principles of Computer Science,"Jensen, Alathea I.",M/W/F 12:30 PM - 1:35 PM,
Susquehanna University,2021-22,F,CSCI-181,02,Principles of Computer Science,"Upton-Azzam, Joy",T/Th 12:35 PM - 2:15 PM,
Susquehanna University,2021-22,F,CSCI-281,01,Data Structures,"Upton-Azzam, Joy",T/Th 8:15 AM - 9:50 AM,
Susquehanna University,2021-22,F,CSCI-282,01,Computer Organization,"Chang, Hojin",M/W/F 8:45 AM - 9:50 AM,
Susquehanna University,2021-22,F,CSCI-460,01,Windows Programming,"Chang, Hojin",T/Th 2:25 PM - 4:05 PM,
Susquehanna University,2021-22,F,CSCI-486,R1,Intro to Operating Systems,"Chang, Hojin",M/W/F 3:00 PM - 4:05 PM,
Susquehanna University,2021-22,F,CSCI-487,S1,Operating Systems,"Chang, Hojin",M/W/F 3:00 PM - 4:05 PM,
Susquehanna University,2021-22,F,CSCI-500,01,Senior Colloquium,"Jensen, Alathea I.",TBD,
Susquehanna University,2021-22,F,CSCI-502,01,Windows Programming,"Chang, Hojin",TBD,
Susquehanna University,2021-22,F,CSCI-502,02,Computer Organization,"Chang, Hojin",TBD,
Susquehanna University,2021-22,S,CSCI-181,01,Principles of Computer Science,"Upton-Azzam, Joy",M/W/F 1:45 PM - 2:50 PM,
Susquehanna University,2021-22,S,CSCI-281,01,Data Structures,"Upton-Azzam, Joy",T/Th 2:25 PM - 4:05 PM,
Susquehanna University,2021-22,S,CSCI-301,01,Data Mining,"Lo, Edisanter",M/W/F 8:45 AM - 9:50 AM,
Susquehanna University,2021-22,S,CSCI-381,01,Algorithms,"Chang, Hojin",M/W/F 12:30 PM - 1:35 PM,
Susquehanna University,2021-22,S,CSCI-391,R1,Data Commun/Networks I,"Brakke, Kenneth A.",M/W/F 3:00 PM - 4:05 PM,
Susquehanna University,2021-22,S,CSCI-392,S1,Data Commun/Networks II,"Brakke, Kenneth A.",M/W/F 3:00 PM - 4:05 PM,
Susquehanna University,2021-22,S,CSCI-471,01,Software Engineer:Methodology,"Chang, Hojin",T/Th 8:15 AM - 9:50 AM,
Susquehanna University,2021-22,S,CSCI-500,01,Senior Colloquium,"Jensen, Alathea I.",TBD,
Susquehanna University,2021-22,S,CSCI-501,01,Topics in Computer Science,"Chang, Hojin",T/Th 10:00 AM - 11:35 AM,
Susquehanna University,2021-22,S,CSCI-502,01,Computer Security & Networks,"Jensen, Alathea I.",TBD,
Susquehanna University,2021-22,S,CSCI-502,02,Algorithms,"Chang, Hojin",TBD,
Susquehanna University,2021-22,S,CSCI-599,01,"Internship: CATI, Inc.","Chang, Hojin",TBD,
Susquehanna University,2021-22,Su,CSCI-151,01,Introduction to Programming,"Graham, Jeffrey A.",TBD,
Susquehanna University,2021-22,Su,CSCI-502,01,Senior Colloquium,"Chang, Hojin",TBD,
Susquehanna University,2022-23,F,CSCI-181,01,Principles of Computer Science,"Chang, Hojin",T/Th 12:35 PM - 2:15 PM,
Susquehanna University,2022-23,F,CSCI-181,02,Principles of Computer Science,"Graham, Jeffrey A.",M/W/F 10:00 AM - 11:05 AM,
Susquehanna University,2022-23,F,CSCI-281,01,Data Structures,"Upton-Azzam, Joy",M/W/F 12:30 PM - 1:35 PM,
Susquehanna University,2022-23,F,CSCI-282,01,Computer Organization,"Upton-Azzam, Joy",T/Th 10:00 AM - 11:35 AM,
Susquehanna University,2022-23,F,CSCI-301,01,Data Mining,"Chang, Hojin",T/Th 8:15 AM - 9:50 AM,
Susquehanna University,2022-23,F,CSCI-370,01,Cryptology & Number Theory,"Kaufmann, Noah J.",TBD,
Susquehanna University,2022-23,F,CSCI-481,R1,Programming Languages,"Chang, Hojin",M/W/F 1:45 PM - 2:50 PM,
Susquehanna University,2022-23,F,CSCI-484,S1,Computer Graphics,"Chang, Hojin",M/W/F 1:45 PM - 2:50 PM,
Susquehanna University,2022-23,F,CSCI-500,01,Senior Colloquium,"Wilce, Alexander G.",TBD,
Susquehanna University,2022-23,F,CSCI-502,01,Data Mining,"Chang, Hojin",TBD,
Susquehanna University,2022-23,F,CSCI-502,02,Algorithms,"Chang, Hojin",TBD,
Susquehanna University,2022-23,F,CSCI-502,R1,Logic Gates,"Graham, Jeffrey A.",TBD,
Susquehanna University,2022-23,F,CSCI-599,01,Internship: U.S. Dept of State,"Wilce, Alexander G.",TBD,
Susquehanna University,2022-23,S,CSCI-181,01,Principles of Computer Science,"Chang, Hojin",M/W/F 11:15 AM - 12:20 PM,
Susquehanna University,2022-23,S,CSCI-281,01,Data Structures,"Upton-Azzam, Joy",T/Th 12:30 PM - 2:15 PM,
Susquehanna University,2022-23,S,CSCI-351,R1,Numerical Computing,"Lo, Edisanter",M/W/F 1:45 PM - 2:50 PM,
Susquehanna University,2022-23,S,CSCI-352,S1,Numerical Analysis,"Lo, Edisanter",TBD,
Susquehanna University,2022-23,S,CSCI-381,01,Algorithms,"Upton-Azzam, Joy",M/W/F 8:45 AM - 9:50 AM,
Susquehanna University,2022-23,S,CSCI-391,R1,Data Commun/Networks I,"Chang, Hojin",T/Th 8:15 AM - 9:50 AM,
Susquehanna University,2022-23,S,CSCI-392,S1,Data Commun/Networks II,"Chang, Hojin",T/Th 2:45 PM - 4:05 PM,
Susquehanna University,2022-23,S,CSCI-401,01,Machine Learning,"Lo, Edisanter",M/W/F 3:00 PM - 4:05 PM,
Susquehanna University,2022-23,S,CSCI-483,01,Compiler Theory,"Upton-Azzam, Joy",M/W/F 12:30 PM - 1:35 PM,
Susquehanna University,2022-23,S,CSCI-500,01,Senior Colloquium,"Wilce, Alexander G.",TBD,
Susquehanna University,2022-23,S,CSCI-501,01,Topics in Computer Science,"Chang, Hojin",T/Th 10:00 AM - 11:05 AM,
Susquehanna University,2022-23,S,CSCI-502,01,Algorithms,"Upton-Azzam, Joy",TBD,
Susquehanna University,2022-23,S,CSCI-502,02,Data Analytics Basics,"Jensen, Alathea I.",TBD,
Susquehanna University,2022-23,S,CSCI-502,03,Algorithms,"Jensen, Alathea I.",TBD,
Susquehanna University,2022-23,S,CSCI-502,S1,Hand-Held Gaming Device,"Graham, Jeffrey A.",TBD,
Susquehanna University,2022-23,S,CSCI-502,S2,C++ Programming,"Jensen, Alathea I.",TBD,
Susquehanna University,2022-23,S,CSCI-599,01,Internship: Nycrypto,"Jensen, Alathea I.",TBD,
Susquehanna University,2022-23,Su,CSCI-151,01,Introduction to Programming,"Graham, Jeffrey A.",TBD,
Susquehanna University,2022-23,Su,CSCI-502,01,USDA Research,"Wilce, Alexander G.",TBD,
Susquehanna University,2022-23,Su,CSCI-599,01,Internship: Susquehanna Univ.,"Jensen, Alathea I.",TBD,
Susquehanna University,2022-23,Su,CSCI-599,02,Internship: ClearEdge IT Sol,"Jensen, Alathea I.",TBD,
Susquehanna University,2022-23,Su,CSCI-599,03,Internship:Bank of NY Mellon,"Jensen, Alathea I.",TBD,
Susquehanna University,2023-24,F,CSCI-181,01,Principles of Computer Science,"Jensen, Alathea I.",M/W/F 10:00 AM - 11:05 AM,
Susquehanna University,2023-24,F,CSCI-181,02,Principles of Computer Science,"Upton-Azzam, Joy",M/W/F 3:00 PM - 4:05 PM,
Susquehanna University,2023-24,F,CSCI-281,01,Data Structures,"Upton-Azzam, Joy",M/W/F 12:30 PM - 1:35 PM,
Susquehanna University,2023-24,F,CSCI-282,01,Computer Organization,"Upton-Azzam, Joy",T/Th 10:00 AM - 11:35 AM,
Susquehanna University,2023-24,F,CSCI-301,01,Data Mining,"Veluswamy, Anusha S.",M/W/F 11:15 AM - 12:20 PM,
Susquehanna University,2023-24,F,CSCI-382,R1,Theory of Computation,"Kaufmann, Noah J.",M/W/F 12:30 PM - 1:35 PM,
Susquehanna University,2023-24,F,CSCI-460,01,Applications Programming,"Veluswamy, Anusha S.",T/Th 2:25 PM - 4:05 PM,
Susquehanna University,2023-24,F,CSCI-485,R1,Artificial Intelligence,"Veluswamy, Anusha S.",M/W/F 1:45 PM - 2:50 PM,
Susquehanna University,2023-24,F,CSCI-488,S1,Computer Architecture,"Veluswamy, Anusha S.",M/W/F 1:45 PM - 2:50 PM,
Susquehanna University,2023-24,F,CSCI-500,01,Senior Colloquium,"Graham, Jeffrey A.",Th 3:00 PM - 4:05 PM,
Susquehanna University,2023-24,F,CSCI-501,S1,Topics in Computer Science,"Kaufmann, Noah J.",M/W/F 12:30 PM - 1:35 PM,
Susquehanna University,2023-24,F,CSCI-502,01,CompTIAA+ Certification,"Jensen, Alathea I.",TBD,
Susquehanna University,2023-24,F,CSCI-502,02,Ind St: USDA Research,"Wilce, Alexander G.",TBD,
Susquehanna University,2023-24,F,CSCI-599,01,Internship: Blough-Weis Lib.,"Jensen, Alathea I.",TBD,
Susquehanna University,2023-24,F,CSCI-599,02,Internship: IT,"Jensen, Alathea I.",TBD,
Susquehanna University,2023-24,S,CSCI-181,01,Principles of Computer Science,"Jensen, Alathea I.",T/Th 12:35 PM - 2:15 PM,
Susquehanna University,2023-24,S,CSCI-182,01,Object Oriented Prog & Design,"Upton-Azzam, Joy",M/W/F 12:30 PM - 1:35 PM,
Susquehanna University,2023-24,S,CSCI-301,01,Data Mining,"Veluswamy, Anusha S.",T/Th 10:00 AM - 11:35 AM,
Susquehanna University,2023-24,S,CSCI-381,01,Algorithms,"Upton-Azzam, Joy",M/W/F 3:00 PM - 4:05 PM,
