college,academic_year,term,course_code,section,course_name,instructor,time,url
Swarthmore College,2021-22,F,CPSC 016SR,01,StuRun:Critical Theory of Tech,"Webb, Kevin, Mayorga, Edwin",TTh 09:55-11:10 (SCI 102),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 021,01,Intro to Computer Science,"Brody, Joshua",MWF 09:30-10:20 (SCI 256); M 14:00-17:00 (SCI CHANGHOU),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 021,02,Intro to Computer Science,"Webb, Kevin",MWF 10:30-11:20 (SCI 256); M 14:00-17:00 (SCI CHANGHOU),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 021,03,Intro to Computer Science,"Qu, Xiaodong",MWF 11:30-12:20 (SCI 256); M 14:00-17:00 (SCI CHANGHOU),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 021,A,Intro to Computer Sci-Lab,"Webb, Kevin",T 13:05-14:35 (SCI 256),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 021,B,Intro to Computer Sci-Lab,"Kazer, Charles",T 14:45-16:15 (SCI 256),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 021,C,Intro to Computer Sci-Lab,"Brody, Joshua",W 13:15-14:45 (SCI 256),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 021,D,Intro to Computer Sci-Lab,"Qu, Xiaodong",W 15:00-16:30 (SCI 256),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 031,01,Intro to Computer Systems,"Wicentowski, Richard",TTh 09:55-11:10 (SCI CHANGHOU); Su 19:00-22:00 (SCI CHANGHOU),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 031,A,Intro to Computer Systems-Lab,"Danner, Andrew",W 08:50-10:20 (SCI 240),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 031,B,Intro to Computer Systems-Lab,"Wicentowski, Richard",W 13:15-14:45 (SCI 240),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 031,C,Intro to Computer Systems-Lab,"Wicentowski, Richard",W 15:00-16:30 (SCI 240),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 035,01,Data Structures and Algorith,"Meeden, Lisa",Sa 09:00-12:00 (SCI CHANGHOU); TTh 09:55-11:10 (SCI CUNNIFF),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 035,02,Data Structures & Algorithms,"Caplan, Spencer",Sa 09:00-12:00 (SCI CHANGHOU); TTh 13:15-14:30 (SCI CUNNIFF),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 035,A,Data Struct/Algorithms-Lab,"Meeden, Lisa",Th 13:05-14:35 (SCI 240),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 035,B,Data Struct/Algorithms-Lab,"Caplan, Spencer",Th 14:45-16:15 (SCI 256),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 035,C,Data Struct/Algorithms-Lab,"Kazer, Charles",Th 14:45-16:15 (SCI 240),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 035,D,Data Struct/Algorithms-Lab,"Kazer, Charles",F 14:15-15:45 (SCI 240),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 035,E,Data Struct/Algorithms-Lab,"Kazer, Charles",F 16:00-17:30 (SCI 240),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
Swarthmore College,2021-22,F,CPSC 041,01,Algorithms,"Fontes, Lila",MWF 09:30-10:20 (SCI CHANGHOU); M 14:00-17:00 (SCI CUNNIFF),https://studentregistration.swarthmore.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
