college,academic_year,term,course_code,section,course_name,instructor,time,url
Tougaloo College,2025-26,S,CSC 112,01,Computer Fund,"White, Demetria Howard","MWF 2:00 PM-2:50 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 222,01,Fund Prog II,"Wu, Yu; Wang, Xiuquan","MWF 10:00 AM-10:50 AM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105 | MF 3:00 PM-3:50 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 230,01,Security Aware,"Tanner, April L.","MWF 1:00 PM-1:50 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 226",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 329,01,Comp Organizati,"White, Demetria Howard","TR 1:00 PM-2:20 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 338,01,Numer Analysis,"Wang, Xiuquan","TR 11:00 AM-12:20 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105-B",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 340,01,Java Prog Lang,"Wu, Yu; Wang, Xiuquan","TR 8:00 AM-9:30 AM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 350,CR,Prin Prgrm Lang,"England, Pamela R","Online Course; Tougaloo College - Main Campus, Online",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 422,01,Database System,"White, Demetria Howard","MWF 9:00 AM-9:50 AM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 430,01,Internship,"White, Demetria Howard","MWF 7:00 AM-7:50 AM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 435,01,Data Communicat,"Wu, Yu; Wang, Xiuquan","TR 9:30 AM-10:50 AM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 440,01,Comp Forensics,"Wu, Yu; Wang, Xiuquan","MWF 4:00 PM-4:50 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105-B",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 455,01,ST: Adv Cyberse,"Tanner, April L.; Wang, Xiuquan","TR 3:00 PM-4:20 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 460,01,Intro Geo Info,"Wang, Xiuquan","TR 1:00 PM-2:20 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105-B",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
Tougaloo College,2025-26,S,CSC 492,01,Sr Seminar II,"Wang, Xiuquan","W 3:00 PM-3:50 PM; Tougaloo College - Main Campus, Kincheloe, KINCHELOE 105",https://theloo.tougaloo.edu/ICS/Academics/Academics_Homepage.jnz?portlet=AddDrop_Courses&screen=Advanced+Course+Search&screenType=next
