college,academic_year,term,course_code,section,course_name,instructor,time,url
Transylvania University,2025-26,Su,CS-3234,IND,Principles of Prog. Language,"Moorman, Kenny",TBD,
Transylvania University,2026-27,F,CS-1124,01,CS1: Intro to Comp Science,"Instructor Newhire,",M/W/F 8:30 AM - 9:20 AM,
Transylvania University,2026-27,F,CS-1124,02,CS1: Intro to Comp Science,"England, Bobby",M/W/F 9:30 AM - 10:20 AM,
Transylvania University,2026-27,F,CS-1124,03,CS1: Intro to Comp Science,"England, Bobby",M/W/F 12:30 PM - 1:20 PM,
Transylvania University,2026-27,F,CS-1124L,01L,CS1: Intro Comp Science Lab,"Instructor Newhire,",W 9:30 AM - 10:20 AM,
Transylvania University,2026-27,F,CS-1124L,02L,CS1: Intro Comp Science Lab,"England, Bobby",W 10:30 AM - 11:20 AM,
Transylvania University,2026-27,F,CS-1124L,03L,CS1: Intro Comp Science Lab,"England, Bobby",W 1:30 PM - 2:20 PM,
Transylvania University,2026-27,F,CS-2344,01,Discrete Structures,"Instructor Newhire,",M/W/F 11:30 AM - 12:20 PM,
Transylvania University,2026-27,F,CS-2444,01,CS3: Data Structures,"England, Bobby",T/Th 9:30 AM - 10:45 AM,
Transylvania University,2026-27,F,CS-2444L,01L,CS3: Data Structures Lab,"England, Bobby",T 11:00 AM - 11:50 AM,
Transylvania University,2026-27,F,CS-3114,01,ST: AI Ethics,"Moorman, Kenny",M/W/F 10:30 AM - 11:20 AM,
Transylvania University,2026-27,F,CS-3234,IND,Principles of Prog. Language,"Moorman, Kenny",TBD,
Transylvania University,2026-27,F,CS-3434,01,Artificial Intelligence,"Moorman, Kenny",M/W/F 1:30 PM - 2:20 PM,
Transylvania University,2026-27,F,CS-3454,01,Software Engineering,"Moorman, Kenny",T/Th 1:30 PM - 2:45 PM,
Transylvania University,2026-27,W,CS-1124,01,CS1: Intro to Comp Science,"Instructor Newhire,",M/W/F 10:30 AM - 11:20 AM,
Transylvania University,2026-27,W,CS-1124,02,CS1: Intro to Comp Science,"England, Bobby",T/Th 9:30 AM - 10:45 AM,
Transylvania University,2026-27,W,CS-1124L,01L,CS1: Intro Comp Science Lab,"Instructor Newhire,",W 11:30 AM - 12:20 PM,
Transylvania University,2026-27,W,CS-1124L,02L,CS1: Intro Comp Science Lab,"England, Bobby",T 1:30 PM - 2:20 PM,
Transylvania University,2026-27,W,CS-2124,01,CS2: Object-Oriented Prog,"Instructor Newhire,",M/W/F 12:30 PM - 1:20 PM,
Transylvania University,2026-27,W,CS-2124L,01L,CS2: Object-Oriented Prog Lab,"Instructor Newhire,",W 1:30 PM - 2:20 PM,
Transylvania University,2026-27,W,CS-3014,01,Computer Graphics,"Moorman, Kenny",M/W/F 1:30 PM - 2:20 PM,
Transylvania University,2026-27,W,CS-3144,01,Database Management Systems,"Instructor Newhire,",T/Th 11:00 AM - 12:15 PM,
Transylvania University,2026-27,W,CS-3344,01,Theory of Computation,"England, Bobby",M/W/F 9:30 AM - 10:20 AM,
Transylvania University,2026-27,W,CS-4444,01,Senior Project,"Moorman, Kenny",T/Th 1:30 PM - 2:45 PM,
