college,academic_year,term,course_code,section,course_name,instructor,time,url
Trinity College,2022-23,F,CPSC-115,01,Introduction to Computing,"Islam, Maminur",MWF: 10:00AM-10:50AM,
Trinity College,2022-23,F,CPSC-115,20,Introduction to Computing,"Islam, Maminur",T: 1:30PM-4:10PM,
Trinity College,2022-23,F,CPSC-115,21,Introduction to Computing,"Islam, Maminur",W: 1:30PM-4:10PM,
Trinity College,2022-23,F,CPSC-215,01,Data Structures & Algorithms,"Johnson, Jonathan",MWF: 9:00AM-9:50AM,
Trinity College,2022-23,F,CPSC-215,20,Data Structures & Algorithms,"Johnson, Jonathan",R: 1:30PM-4:10PM,
Trinity College,2022-23,F,CPSC-215,21,Data Structures & Algorithms,"Islam, Maminur",F: 1:30PM-4:10PM,
Trinity College,2022-23,F,CPSC-275,01,Intro to Computer Systems,"Chakraborttii, Chandranil",MWF: 9:00AM-9:50AM,
Trinity College,2022-23,F,CPSC-275,20,Intro to Computer Systems,"Chakraborttii, Chandranil",M: 1:30PM-4:10PM,
Trinity College,2022-23,F,CPSC-275,21,Intro to Computer Systems,"Chakraborttii, Chandranil",T: 1:30PM-4:10PM,
Trinity College,2022-23,F,CPSC-340,01,Software Engineering,"Spezialetti, Madalene",W: 6:30PM-9:00PM,
Trinity College,2022-23,F,CPSC-385,01,Computer Security,"Syta, Ewa",TR: 10:50AM-12:05PM,
Trinity College,2022-23,F,CPSC-399,01,Independent Study,TBA,TBA,
Trinity College,2022-23,F,CPSC-403,01,Computer Science Seminar,"Chakraborttii, Chandranil",T: 9:25AM-10:40AM,
Trinity College,2022-23,F,CPSC-415,01,Spec Top: Building Cloud Nat,Cancelled,,
Trinity College,2022-23,F,CPSC-466,01,Teaching Assistant,TBA,TBA,
Trinity College,2022-23,F,CPSC-490,01,Research Assistantship,TBA,TBA,
Trinity College,2022-23,F,CPSC-498,01,Senior Project Part 1,TBA,TBA,
Trinity College,2022-23,S,CPSC-110,01,Principles of Computing,"Yoon, Peter",MW: 8:30AM-9:45AM,
Trinity College,2022-23,S,CPSC-115,01,Introduction to Computing,"Spezialetti, Madalene",TR: 10:50AM-12:05PM,
Trinity College,2022-23,S,CPSC-115,20,Introduction to Computing,"Spezialetti, Madalene",T: 1:30PM-4:10PM,
Trinity College,2022-23,S,CPSC-115,21,Introduction to Computing,"Spezialetti, Madalene",W: 1:30PM-4:10PM,
Trinity College,2022-23,S,CPSC-203,01,Math Foundatns of Comput,"Islam, Maminur",TR: 9:25AM-10:40AM,
Trinity College,2022-23,S,CPSC-203,02,Math Foundatns of Comput,"Islam, Maminur",TR: 6:30PM-7:45PM,
Trinity College,2022-23,S,CPSC-215,01,Data Structures & Algorithms,"Yoon, Peter",MWF: 11:00AM-11:50AM,
Trinity College,2022-23,S,CPSC-215,20,Data Structures & Algorithms,"Yoon, Peter",W: 1:30PM-4:10PM,
Trinity College,2022-23,S,CPSC-215,21,Data Structures & Algorithms,"Chakraborttii, Chandranil",R: 1:30PM-4:10PM,
Trinity College,2022-23,S,CPSC-320,01,Analysis of Algorithms,"Islam, Maminur",TR: 8:00AM-9:15AM,
Trinity College,2022-23,S,CPSC-372,01,Database Fundamentals,"Johnson, Jonathan",TR: 10:50AM-12:05PM,
Trinity College,2022-23,S,CPSC-395,01,Sensitive Info,"Syta, Ewa",M: 1:30PM-4:10PM,
Trinity College,2022-23,S,CPSC-399,01,Independent Study,TBA,TBA,
Trinity College,2022-23,S,CPSC-404,01,Computer Science Seminar,"Chakraborttii, Chandranil",R: 9:25AM-10:40AM,
Trinity College,2022-23,S,CPSC-415,01,Spec Top: Building Cloud Nat,"Johnson, Jonathan",R: 1:30PM-4:10PM,
Trinity College,2022-23,S,CPSC-466,01,Teaching Assistant,TBA,TBA,
Trinity College,2022-23,S,CPSC-499,01,Senior Project Part 2,TBA,TBA,
Trinity College,2023-24,F,CPSC-110,01,Essentials of Computing-Python,"Johnson, Jonathan",MW: 8:30AM-9:45AM,
Trinity College,2023-24,F,CPSC-115,01,Intro to Computer Science,"Islam, Maminur",MWF: 9:00AM-9:50AM,
Trinity College,2023-24,F,CPSC-115,20,Intro to Computer Science,"Islam, Maminur",T: 1:30PM-4:10PM,
Trinity College,2023-24,F,CPSC-115,21,Intro to Computer Science,"Spezialetti, Madalene",W: 1:30PM-4:10PM,
Trinity College,2023-24,F,CPSC-203,01,Math Foundatns of Comput,"Yoon, Peter",TR: 10:50AM-12:05PM,
Trinity College,2023-24,F,CPSC-215,01,Data Structures & Algorithms,"Johnson, Jonathan",MWF: 10:00AM-10:50AM,
Trinity College,2023-24,F,CPSC-215,20,Data Structures & Algorithms,"Johnson, Jonathan",W: 1:30PM-4:10PM,
Trinity College,2023-24,F,CPSC-215,21,Data Structures & Algorithms,"Chakraborttii, Chandranil",R: 1:30PM-4:10PM,
Trinity College,2023-24,F,CPSC-275,01,Intro to Computer Systems,"Yoon, Peter",MWF: 9:00AM-9:50AM,
Trinity College,2023-24,F,CPSC-275,20,Intro to Computer Systems,Cancelled,,
Trinity College,2023-24,F,CPSC-275,21,Intro to Computer Systems,"Yoon, Peter",T: 1:30PM-4:10PM,
Trinity College,2023-24,F,CPSC-310,01,Software Design,"Kousen, Kenneth",MW: 6:30PM-7:45PM,
Trinity College,2023-24,F,CPSC-320,01,Analysis of Algorithms,"Islam, Maminur",MWF: 10:00AM-10:50AM,
Trinity College,2023-24,F,CPSC-360,01,Deep Learning,"Chakraborttii, Chandranil",TR: 8:00AM-9:15AM,
Trinity College,2023-24,F,CPSC-399,01,Independent Study,TBA,TBA,
Trinity College,2023-24,F,CPSC-403,01,Computer Science Seminar,"Spezialetti, Madalene",T: 9:25AM-10:40AM,
Trinity College,2023-24,F,CPSC-466,01,Teaching Assistant,TBA,TBA,
Trinity College,2023-24,F,CPSC-490,01,Research Assistantship,TBA,TBA,
Trinity College,2023-24,F,CPSC-498,01,Senior Project Part 1,TBA,TBA,
Trinity College,2023-24,S,CPSC-103,01,Concept to Prototype,"Catrino, Joseph",M: 6:30PM-9:10PM,
Trinity College,2023-24,S,CPSC-110,01,Essentials of Computing-Python,"Johnson, Jonathan",TR: 10:50AM-12:05PM,
Trinity College,2023-24,S,CPSC-115,01,Intro to Computer Science,"Spezialetti, Madalene",TR: 10:50AM-12:05PM,
Trinity College,2023-24,S,CPSC-115,20,Intro to Computer Science,"Spezialetti, Madalene",T: 1:30PM-4:10PM,
Trinity College,2023-24,S,CPSC-115,21,Intro to Computer Science,"Spezialetti, Madalene",W: 1:30PM-4:10PM,
Trinity College,2023-24,S,CPSC-203,01,Math Foundatns of Comput,"Yoon, Peter",TR: 8:00AM-9:15AM,
Trinity College,2023-24,S,CPSC-215,01,Data Structures & Algorithms,"Chakraborttii, Chandranil",MWF: 9:00AM-9:50AM,
Trinity College,2023-24,S,CPSC-215,20,Data Structures & Algorithms,"Chakraborttii, Chandranil",W: 1:30PM-4:10PM,
Trinity College,2023-24,S,CPSC-215,21,Data Structures & Algorithms,"Chakraborttii, Chandranil",R: 1:30PM-4:10PM,
Trinity College,2023-24,S,CPSC-333,01,Computer Networks,"Yoon, Peter",TR: 10:50AM-12:05PM,
Trinity College,2023-24,S,CPSC-352,01,Artificial Intelligence,"Islam, Maminur",TR: 9:25AM-10:40AM,
Trinity College,2023-24,S,CPSC-399,01,Independent Study,TBA,TBA,
Trinity College,2023-24,S,CPSC-404,01,Computer Science Seminar,"Spezialetti, Madalene",R: 1:30PM-2:45PM,
Trinity College,2023-24,S,CPSC-415,01,Spec Top: Building Cloud Nat,"Johnson, Jonathan",T: 1:30PM-4:10PM,
Trinity College,2023-24,S,CPSC-415,02,Special Topics:Large Scale Dev,"Kousen, Kenneth",T: 6:30PM-9:10PM,
Trinity College,2023-24,S,CPSC-466,01,Teaching Assistant,TBA,TBA,
Trinity College,2023-24,S,CPSC-499,01,Senior Project Part 2,TBA,TBA,
