college,academic_year,term,course_code,section,course_name,instructor,time,url
Union College (NY),2025-26,S,CSC-084,01,Interactive Fiction Workshop,"McAuliffe, Shena M. Striegnitz, Kristina I.",M/W 3:05 PM - 4:45 PM,
Union College (NY),2025-26,W,CSC-103,01,Taming Big Data,"Webb, Nick",M/W/F 9:15 AM - 10:20 AM,
Union College (NY),2025-26,S,CSC-103,01,Taming Big Data,"Cass, Aaron G.",M/W/F 10:30 AM - 11:35 AM,
Union College (NY),2026-27,F,CSC-103,01,Taming Big Data,"Cass, Aaron G.",M/W/F 10:30 AM - 11:35 AM,
Union College (NY),2025-26,F,CSC-105,01,Game Development: Intro to CS,"Mahajan, Shruti",M/W/F 10:30 AM - 11:35 AM,
Union College (NY),2025-26,W,CSC-105,01,Game Development: Intro to CS,"Striegnitz, Kristina I.",M/W/F 10:30 AM - 11:35 AM,
Union College (NY),2026-27,F,CSC-105,01,Game Development: Intro to CS,"Schlueter, TJ",M/W/F 3:05 PM - 4:10 PM,
Union College (NY),2025-26,F,CSC-106,01,Can Computers Think? W/Lab,"Doing, Georgia",M/W/F 11:45 AM - 12:50 PM,
Union College (NY),2025-26,W,CSC-106,01,Can Computers Think? W/Lab,"Schlueter, TJ",M/W/F 3:05 PM - 4:10 PM,
Union College (NY),2025-26,S,CSC-106,01,Can Computers Think? W/Lab,"Doing, Georgia",M/W/F 1:50 PM - 2:55 PM,
Union College (NY),2026-27,F,CSC-106,01,Can Computers Think? W/Lab,"Doing, Georgia",M/W/F 1:50 PM - 2:55 PM,
Union College (NY),2025-26,F,CSC-107,01,Creative Computing,"Viswanathan, Arjun",M/W/F 1:50 PM - 2:55 PM,
Union College (NY),2025-26,S,CSC-107,01,Creative Computing,"Viswanathan, Arjun",M/W/F 11:45 AM - 12:50 PM,
Union College (NY),2025-26,F,CSC-120,01,Programming on Purpose,"Fernandes, Chris",M/W/F 9:15 AM - 10:20 AM,
Union College (NY),2025-26,W,CSC-120,01,Programming on Purpose,"Viswanathan, Arjun",M/W/F 11:45 AM - 12:50 PM,
Union College (NY),2025-26,S,CSC-120,01,Programming on Purpose,"Schlueter, TJ",M/W/F 3:05 PM - 4:10 PM,
Union College (NY),2026-27,F,CSC-120,01,Programming on Purpose,"Fernandes, Chris",M/W/F 9:15 AM - 10:20 AM,
Union College (NY),2025-26,S,CSC-120L,02,Programming on Purpose Lab,"Schlueter, TJ",Th 1:55 PM - 3:40 PM,
Union College (NY),2025-26,F,CSC-151,01,Data Structures,"Schlueter, TJ",M/W/F 3:05 PM - 4:10 PM,
Union College (NY),2025-26,W,CSC-151,01,Data Structures,"Cass, Aaron G.",M/W/F 1:50 PM - 2:55 PM,
Union College (NY),2025-26,S,CSC-151,01,Data Structures,"Striegnitz, Kristina I.",M/W/F 10:30 AM - 11:35 AM,
Union College (NY),2026-27,F,CSC-151,01,Data Structures,"Viswanathan, Arjun",M/W/F 11:45 AM - 12:50 PM,
Union College (NY),2025-26,W,CSC-212,01,Biomedical Data Science,"Chuah, Joshua",T/Th 1:55 PM - 3:40 PM,
