college,academic_year,term,course_code,section,course_name,instructor,time,url
University of Mary Washington,2021-22,F,CPSC 106,01,Digital Storytelling,"Bond, Paul H.",(ON LINE),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 110,01,Intro to Computer Science,"Cooper, Gusty A.",TTh 11:00-12:15 (MONR 116),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 110,02,Intro to Computer Science,"Wu, XinWen",MWF 11:00-11:50 (JFRM B7),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 110,03,Intro to Computer Science,"Chandrasekar, Prashant",MWF 13:00-13:50 (JFRM B52),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 110,04,Intro to Computer Science,"Solka, Jeffrey L.",Th 18:00-20:45 (ON LINE),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 110,05,Intro to Computer Science,"Schouweiler, Karen M.",(ON LINE),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 110,06,Intro to Computer Science,"Taft, Robert L.",TTh 18:00-19:15 (JFRM B6),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 110,07,Intro to Computer Science,"Rigsby, John T.",MW 18:00-19:15 (JFRM B6),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 220,01,Comp Progr & Problem Solving,"Anewalt, Karen M.",F 09:00-10:50 (JFRM B52); MW 10:00-10:50 (JFRM B52),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
University of Mary Washington,2021-22,F,CPSC 220,02,Comp Progr & Problem Solving,"Zeitz, Jessica",TTh 11:00-12:50 (MONR 240),https://reg-prod.ec.umw.edu/StudentRegistrationSsb/ssb/classSearch/classSearch
