college,academic_year,term,course_code,section,course_name,instructor,time,url,category
University of Minnesota Morris,2025-26,S,CSCI 1221,001 LEC,Introductory Programming Concepts I,Kristin Lamberty,MWF 02:15 PM – 03:20 PM (65 min),,Core
University of Minnesota Morris,2025-26,S,CSCI 1222,001 LEC,Introductory Programming Concepts II,Kristin Lamberty,MWF 02:15 PM – 03:20 PM (65 min),,Core
University of Minnesota Morris,2025-26,S,CSCI 1251,001 LEC,Computational Data Management and Manipulation,Nic McPhee,MW 10:30 AM – 11:35 AM (65 min) F 10:30 AM – 11:35 AM (65 min),,Data science
University of Minnesota Morris,2025-26,S,CSCI 1302,001 LEC,Foundations of Computer Science,Elena Machkasova,MWF 09:15 AM – 10:20 AM (65 min),,Core
University of Minnesota Morris,2025-26,S,CSCI 1993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2025-26,S,CSCI 2601,001 LEC,"Processes, Programming, and Languages: Introduction to Functional Programming",Elena Machkasova,TTh 02:40 PM – 03:30 PM (50 min),,Programming languages
University of Minnesota Morris,2025-26,S,CSCI 2701,001 LEC,Introduction to Data Science,Winnie Winikoff; Peter Dolan,MWF 04:45 PM – 05:50 PM (65 min),,Data science
University of Minnesota Morris,2025-26,S,CSCI 2993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2025-26,S,CSCI 3413,001 LEC,Computing Systems: Concepts,Nic McPhee,T 09:50 AM – 11:30 AM (100 min) Th 09:50 AM – 10:40 AM (50 min),,Computer architecture
University of Minnesota Morris,2025-26,S,CSCI 3601,001 LEC,Software Design and Development,Kristin Lamberty,MF 11:45 AM – 12:50 PM (65 min),,Software engineering
University of Minnesota Morris,2025-26,S,CSCI 3601,002 LAB,Software Design and Development,Kristin Lamberty,TTh 12:50 PM – 02:30 PM (100 min),,Software engineering
University of Minnesota Morris,2025-26,S,CSCI 3993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2025-26,S,CSCI 3993,002 IND,Directed Study,Elena Machkasova,,,Misc
University of Minnesota Morris,2025-26,S,CSCI 4555,001 LEC,Theory: Neural Networks and Machine Learning,Elena Machkasova,MWF 01:00 PM – 02:05 PM (65 min),,Machine learning
University of Minnesota Morris,2025-26,S,CSCI 4901,001 LEC,Senior Seminar,Kristin Lamberty,Th 04:30 PM – 05:20 PM (50 min),,Misc
University of Minnesota Morris,2025-26,S,CSCI 4993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2025-26,Su,CSCI 1251,098 LEC,Computational Data Management and Manipulation,Wenkai Guan,T 11:40 AM – 12:45 PM (65 min),,Data science
University of Minnesota Morris,2026-27,F,CSCI 1251,001 LEC,Computational Data Management and Manipulation,Wenkai Guan,MW 02:15 PM – 03:20 PM (65 min) F 02:15 PM – 03:20 PM (65 min),,Data science
University of Minnesota Morris,2026-27,F,CSCI 1301,001 LEC,Problem Solving and Algorithm Development,Elena Machkasova,MWF 09:15 AM – 10:20 AM (65 min),,Core
University of Minnesota Morris,2026-27,F,CSCI 1993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2026-27,F,CSCI 2101,001 LEC,Data Structures,Elena Machkasova,MWF 11:45 AM – 12:50 PM (65 min),,Core
University of Minnesota Morris,2026-27,F,CSCI 2101,002 LAB,Data Structures,Elena Machkasova,T 12:50 PM – 02:30 PM (100 min),,Core
University of Minnesota Morris,2026-27,F,CSCI 2993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2026-27,F,CSCI 3412,001 LEC,Computing Systems: Practicum,Wenkai Guan,TTh 09:50 AM – 11:30 AM (100 min),,Misc
University of Minnesota Morris,2026-27,F,CSCI 3501,001 LEC,Algorithms and Computability,Peter Dolan,MWF 01:00 PM – 02:05 PM (65 min),,Algorithms & complexity
University of Minnesota Morris,2026-27,F,CSCI 3501,002 LAB,Algorithms and Computability,Peter Dolan,Th 12:50 PM – 02:30 PM (100 min),,Algorithms & complexity
University of Minnesota Morris,2026-27,F,CSCI 3701,001 LEC,Intermediate Data Science,Peter Dolan,MWF 04:45 PM – 05:50 PM (65 min),,Data science
University of Minnesota Morris,2026-27,F,CSCI 3993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2026-27,F,CSCI 4462,001 LEC,Systems: Environmentally Sustainable Computing,Wenkai Guan,MWF 11:45 AM – 12:50 PM (65 min),,Other
University of Minnesota Morris,2026-27,F,CSCI 4901,001 LEC,Senior Seminar,Elena Machkasova,Th 04:30 PM – 05:20 PM (50 min),,Misc
University of Minnesota Morris,2026-27,F,CSCI 4993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2026-27,S,CSCI 1221,001 LEC,Introductory Programming Concepts I,Wenkai Guan,MWF 02:15 PM – 03:20 PM (65 min),,Core
University of Minnesota Morris,2026-27,S,CSCI 1222,001 LEC,Introductory Programming Concepts II,Wenkai Guan,MWF 02:15 PM – 03:20 PM (65 min),,Core
University of Minnesota Morris,2026-27,S,CSCI 1302,001 LEC,Foundations of Computer Science,Elena Machkasova,MWF 09:15 AM – 10:20 AM (65 min),,Core
University of Minnesota Morris,2026-27,S,CSCI 1993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2026-27,S,CSCI 2701,001 LEC,Introduction to Data Science,Peter Dolan,MWF 04:45 PM – 05:50 PM (65 min),,Data science
University of Minnesota Morris,2026-27,S,CSCI 2993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2026-27,S,CSCI 3413,001 LEC,Computing Systems: Concepts,Wenkai Guan,T 09:50 AM – 11:30 AM (100 min) Th 09:50 AM – 10:40 AM (50 min),,Computer architecture
University of Minnesota Morris,2026-27,S,CSCI 3601,001 LEC,Software Design and Development,Nic McPhee,MF 11:45 AM – 12:50 PM (65 min),,Software engineering
University of Minnesota Morris,2026-27,S,CSCI 3601,002 LAB,Software Design and Development,Nic McPhee,TTh 12:50 PM – 02:30 PM (100 min),,Software engineering
University of Minnesota Morris,2026-27,S,CSCI 3993,001 IND,Directed Study,,,,Misc
University of Minnesota Morris,2026-27,S,CSCI 4463,001 LEC,Systems: Computing Systems for Artificial Intelligence,Wenkai Guan,MWF 10:30 AM – 11:35 AM (65 min),,Computer architecture
University of Minnesota Morris,2026-27,S,CSCI 4553,001 LEC,Theory: Evolutionary Computation and Artificial Intelligence,Nic McPhee,MWF 03:30 PM – 04:35 PM (65 min),,Artificial intelligence
University of Minnesota Morris,2026-27,S,CSCI 4651,001 LEC,"Processes, Programming, and Languages: Programming Languages",Elena Machkasova,MWF 01:00 PM – 02:05 PM (65 min),,Programming languages
University of Minnesota Morris,2026-27,S,CSCI 4901,001 LEC,Senior Seminar,Elena Machkasova,Th 04:30 PM – 05:20 PM (50 min),,Misc
University of Minnesota Morris,2026-27,S,CSCI 4993,001 IND,Directed Study,,,,Misc
